院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
西安交通大学,工科试验班(智慧能源专业预选),none,none,none,none,none,none,5,644,1944,"C9,985,211",一流大学,公办,1944
西安交通大学,工科试验班(钱学森班之智慧能源动力Q),6,662,2231,6,647,1981,none,none,none,"C9,985,211",一流大学,公办,2106
华中科技大学,能源与动力工程(能源卓越计划实验班),2,662,2348,none,none,none,none,none,none,"985,211",一流大学,公办,2348
西安交通大学,工科试验班(越杰计划之智慧能源与智能制造类Q),7,661,2390,7,644,2482,none,none,none,"C9,985,211",一流大学,公办,2436
华中科技大学,能源动力类,none,none,none,10,641,2923,10,636,3023,"985,211",一流大学,公办,2973
西安交通大学,工科试验班(智慧能源与智能制造类),33,656,3247,57,637,3684,50,634,3404,"C9,985,211",一流大学,公办,3445
东南大学成贤学院,班(机械能源材料类),27,653,3989,none,none,none,none,none,none,none,none,民办,3989
东南大学,工科试验班(先进机械能源材料类),none,none,none,27,632,4623,none,none,none,"985,211",一流大学,公办,4623
厦门大学,能源动力类,none,none,none,3,631,4980,3,628,4803,"985,211",一流大学,公办,4892
厦门大学,新能源科学与工程,3,647,5207,none,none,none,none,none,none,"985,211",一流大学,公办,5207
天津大学,化工与制药类(化工能源与生命医药试验班),26,649,4722,20,629,5574,20,625,5548,"985,211",一流大学,公办,5281
西北工业大学,能源动力类(航空动力与新能源试验班),10,641,6736,10,625,6602,10,624,5933,"985,211",一流大学,公办,6424
北京交通大学,电气工程及其自动化(新能源国际班),3,640,7188,4,621,7724,none,none,none,211,一流学科,公办,7456
四川大学,材料类(新能源与纳米材料),none,none,none,10,622,7405,12,616,8295,"985,211",一流大学,公办,7850
山东大学,能源动力类,50,634,9258,60,615,9659,60,612,9769,"985,211",一流大学,公办,9562
中南大学,能源动力类(能源类),14,634,9043,14,615,9803,14,611,10317,"985,211",一流大学,公办,9721
湖南大学,能源与动力工程,2,631,10275,2,614,10116,2,611,10147,"985,211",一流大学,公办,10179
大连理工大学,能源与动力工程,8,633,9477,8,614,10182,15,609,10900,"985,211",一流大学,公办,10186
华北电力大学(北京),能源动力类(氢能),none,none,none,none,none,none,1,611,10285,211,一流学科,公办,10285
重庆大学,工科试验班(工程能源类),none,none,none,55,615,9654,60,609,11200,"985,211",一流大学,公办,10427
南京航空航天大学,能源与动力工程,3,629,10901,3,611,11560,3,608,11578,211,一流学科,公办,11346
吉林大学,新能源科学与工程,none,none,none,none,none,none,2,608,11370,"985,211",一流大学,公办,11370
哈尔滨工业大学(威海),新能源科学与工程,4,626,12086,4,610,11681,none,none,none,"C9,985,211",一流大学,公办,11884
哈尔滨工业大学(威海),能源与动力工程,8,625,12628,4,609,12188,none,none,none,"C9,985,211",一流大学,公办,12408
南京航空航天大学,新能源材料与器件,3,628,11278,3,607,12980,4,604,13127,211,一流学科,公办,12462
北京科技大学,能源动力类(能源、环境专业),11,629,11079,11,608,12675,13,603,13708,211,一流学科,公办,12487
华北电力大学(北京),能源动力类(新能源),3,626,12165,3,608,12854,3,605,12742,211,一流学科,公办,12587
华东理工大学,工科试验班(能源与环境),none,none,none,4,609,12430,6,605,13028,211,一流学科,公办,12729
湖南大学,建筑环境与能源应用工程(低碳建筑实验班),3,626,12025,3,607,13079,3,603,13853,"985,211",一流大学,公办,12986
华东理工大学,能源与动力工程(双学士学位项目),2,626,12268,3,606,13405,3,603,13624,211,一流学科,公办,13099
华北电力大学(北京),能源动力类(能动),10,626,12188,8,606,13373,8,602,14007,211,一流学科,公办,13189
华北电力大学(北京),能源动力类(储能),none,none,none,2,606,13610,2,605,13004,211,一流学科,公办,13307
吉林大学,能源与动力工程,12,625,12494,15,606,13811,15,601,14515,"985,211",一流大学,公办,13607
南京航空航天大学,建筑环境与能源应用工程,2,625,12552,2,603,14820,none,none,none,211,一流学科,公办,13686
南京理工大学,能源动力类,5,625,12424,5,605,14057,14,599,15587,211,一流学科,公办,14023
河海大学,新能源科学与工程,2,623,13343,2,605,14180,2,601,14734,211,一流学科,公办,14086
北京化工大学,工科试验班(绿色化工与新能源类),15,621,14531,none,none,none,none,none,none,211,一流学科,公办,14531
南京理工大学,新能源科学与工程,13,620,14692,8,602,15457,10,598,16149,211,一流学科,公办,15433
东华大学,物理学类(光电与能源新技术),4,620,15102,4,602,15579,3,599,15779,211,一流学科,公办,15487
河海大学,能源与动力工程,3,618,15757,5,600,16691,4,597,17052,211,一流学科,公办,16500
华北电力大学(保定),能源动力类,13,616,16797,none,none,none,none,none,none,211,一流学科,公办,16797
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工工科实验班),7,616,16788,9,598,17623,none,none,none,"985,211",一流大学,公办,17206
西南交通大学,能源动力类,1,617,16208,1,599,17238,3,595,18182,211,一流学科,公办,17209
东华大学,能源与环境系统工程,2,616,16813,2,599,17302,2,594,18523,211,一流学科,公办,17546
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工新工科实验班),none,none,none,none,none,none,10,595,18241,"985,211",一流大学,公办,18241
西南交通大学,新能源科学与工程,none,none,none,3,598,17571,8,593,18987,211,一流学科,公办,18279
华北电力大学(保定),能源动力类(储能),none,none,none,3,597,18260,3,594,18621,211,一流学科,公办,18441
河海大学,能源与动力工程(常州校区),2,614,18125,2,597,18471,2,593,19015,211,一流学科,公办,18537
东华大学,建筑环境与能源应用工程,2,617,16604,2,597,18434,2,590,20889,211,一流学科,公办,18642
华北电力大学(保定),能源动力类(能动),none,none,none,10,598,18052,8,593,19253,211,一流学科,公办,18653
华北电力大学(保定),能源动力类(氢能),none,none,none,none,none,none,4,593,19247,211,一流学科,公办,19247
南京师范大学,能源动力类,none,none,none,4,596,18685,4,591,20629,211,一流学科,公办,19657
中国石油大学(北京),新能源科学与工程,4,611,19672,4,595,19695,4,592,19949,211,一流学科,公办,19772
中国石油大学(华东),新能源科学与工程,4,608,21471,6,594,20390,6,592,19817,211,一流学科,公办,20559
中国矿业大学(北京),新能源科学与工程,2,609,20790,2,592,21419,3,590,20903,211,一流学科,公办,21037
中国石油大学(北京),能源与动力工程,none,none,none,none,none,none,4,590,21061,211,一流学科,公办,21061
河北工业大学,能源动力类,none,none,none,2,592,21248,2,589,21715,211,一流学科,公办,21482
中国石油大学(华东),能源与动力工程,9,605,23318,8,591,21749,8,590,21219,211,一流学科,公办,22095
合肥工业大学,能源与动力工程,4,605,23164,4,588,23806,4,587,23088,211,一流学科,公办,23353
哈尔滨工程大学,能源动力类,14,606,22561,16,587,24380,16,585,24239,211,一流学科,公办,23727
长安大学,新能源科学与工程,none,none,none,none,none,none,3,586,23827,211,一流学科,公办,23827
中国石油大学(华东),能源化学工程,10,604,23736,10,587,24532,10,586,23312,211,一流学科,公办,23860
长安大学,能源与动力工程,3,603,24767,2,587,24286,2,586,23752,211,一流学科,公办,24268
中国石油大学(华东),建筑环境与能源应用工程,2,603,24788,2,586,25559,2,585,24357,211,一流学科,公办,24901
中国矿业大学,新能源材料与器件,none,none,none,6,585,25989,5,583,25478,211,一流学科,公办,25734
大连海事大学,能源与动力工程,8,600,26490,none,none,none,none,none,none,211,一流学科,公办,26490
云南大学,新能源科学与工程,none,none,none,none,none,none,1,582,26649,211,一流大学,公办,26649
太原理工大学,能源与动力工程,4,600,26770,4,583,27336,4,582,26492,211,一流学科,公办,26866
中国地质大学(武汉),地质类(资源能源),9,604,24115,10,583,27184,13,578,29474,211,一流学科,公办,26924
中国矿业大学,能源动力类,12,599,27220,15,582,28183,18,582,26798,211,一流学科,公办,27400
合肥工业大学(宣城校区),新能源材料与器件,2,600,26397,3,581,28851,3,580,28280,211,一流学科,公办,27843
南京工业大学,新能源科学与工程,2,599,27436,2,581,28821,2,580,27771,省重点,none,公办,28009
沈阳航空航天大学,能源与动力工程,1,601,26080,1,580,29854,1,579,29111,none,none,公办,28348
陆军工程大学,建筑环境与能源应用工程(全国人防通风空调与给排水工程师),1,604,24292,1,580,29387,1,576,31703,none,none,军校,28461
合肥工业大学(宣城校区),能源化学工程,none,none,none,3,581,28736,3,579,29217,211,一流学科,公办,28977
上海电力大学,新能源科学与工程,2,597,28661,2,580,29381,3,577,30475,none,none,公办,29506
苏州大学,新能源材料与器件(中外合作办学),none,none,none,none,none,none,5,578,29529,211,一流学科,公办,29529
南京工业大学,能源动力类,3,598,28350,5,579,30398,5,576,31117,省重点,none,公办,29955
江苏大学,新能源科学与工程,2,597,28946,2,578,30985,2,577,30722,"全国重点,省重点",none,公办,30218
上海电力大学,能源与动力工程,5,597,29124,5,579,30342,4,576,31804,none,none,公办,30423
中国地质大学(北京),地质类(能源类),none,none,none,9,579,30434,9,577,30690,211,一流学科,公办,30562
贵州大学,新能源科学与工程,none,none,none,2,580,30085,3,576,31575,211,一流学科,公办,30830
上海海事大学,能源与动力工程,2,597,28810,2,578,30976,2,574,32843,省重点,none,公办,30876
太原理工大学,建筑环境与能源应用工程,6,595,30740,6,578,31016,2,576,31550,211,一流学科,公办,31102
