院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
阿坝师范学院,英语(师范类),1,499,172155,1,493,166517,1,494,164429,none,none,公办,167700
安徽财经大学,商务英语,4,562,64401,2,549,62640,2,547,63281,省重点,none,公办,63441
安徽大学,英语,2,620,15160,3,601,16388,3,596,17239,211,一流学科,公办,16262
安徽理工大学,英语,2,559,69080,4,546,66225,4,542,70194,省重点,none,公办,68500
安徽农业大学,英语,3,571,53749,3,555,54604,2,548,61664,省重点,none,公办,56672
安康学院,商务英语,none,none,none,none,none,none,2,486,183137,none,none,公办,183137
安康学院,英语(师范类),none,none,none,none,none,none,2,494,164371,none,none,公办,164371
安阳工学院,商务英语(民航服务英语方向),2,497,176274,2,488,177631,2,485,184848,none,none,公办,179584
鞍山师范学院,英语(师范类),2,512,147043,2,509,131362,1,507,134949,none,none,公办,137785
白城师范学院,商务英语,3,501,167471,3,490,172005,3,485,184981,none,none,公办,174819
百色学院,英语(商贸),none,none,none,2,485,185178,none,none,none,none,none,公办,185178
百色学院,英语(师范类，英语教育),none,none,none,none,none,none,2,492,169314,none,none,公办,169314
保定学院,英语(师范类),1,524,123963,1,516,117231,1,513,121118,none,none,公办,120771
北方工业大学,英语,2,596,30037,2,579,30815,2,577,30985,省重点,none,公办,30612
北方民族大学,商务英语,1,530,113913,none,none,none,none,none,none,省重点,none,公办,113913
北华大学,英语,9,537,100838,9,525,99967,4,523,102525,省重点,none,公办,101110
北华航天工业学院,英语,2,512,146786,2,503,143135,2,500,148694,none,none,公办,146205
北京大学医学部,英语(医学英语),5,674,883,5,667,431,5,665,346,"C9,985,211",一流大学,公办,553
北京第二外国语学院,商务英语(国际文化贸易),none,none,none,none,none,none,1,588,22474,省重点,none,公办,22474
北京第二外国语学院,英语(人文交流),2,618,15991,3,598,18051,2,591,20637,省重点,none,公办,18226
北京化工大学,英语,2,615,17567,2,598,17939,2,593,19032,211,一流学科,公办,18179
北京联合大学,英语,5,575,49081,4,560,49278,4,555,52745,none,none,公办,50368
北京林业大学,商务英语,2,618,15983,2,600,16895,2,593,19106,211,一流学科,公办,17328
北京林业大学,英语,3,617,16438,3,600,16623,3,596,17618,211,一流学科,公办,16893
北京体育大学,英语,2,608,21638,2,590,22892,2,587,23285,211,一流学科,公办,22605
北京外国语大学,英语,4,657,3188,3,639,3304,3,632,3761,211,一流学科,公办,3418
北京外国语大学,英语(中国政法大学联合培养涉外法治人才),none,none,none,none,none,none,2,633,3590,211,一流学科,公办,3590
北京外国语大学,英语(中央财经大学金融学联合培养),none,none,none,none,none,none,2,636,3169,211,一流学科,公办,3169
北京物资学院,商务英语,none,none,none,none,none,none,1,552,57488,none,none,公办,57488
北京物资学院,商务英语(实验班),2,573,51919,2,557,52249,1,550,59169,none,none,公办,54446
北京邮电大学,英语,4,636,8591,4,616,9403,4,608,11632,211,一流学科,公办,9875
北京语言大学,翻译(英语),2,625,12679,2,603,15257,1,600,15439,none,none,公办,14458
北京语言大学,英语,3,622,14159,none,none,none,none,none,none,none,none,公办,14159
北京语言大学,英语(英西复语),2,624,13218,none,none,none,none,none,none,none,none,公办,13218
北京中医药大学,英语(医学),4,610,20602,2,593,20654,2,589,21705,211,一流学科,公办,20987
北京中医药大学,英语(中医药国际传播),4,611,19747,1,596,18979,1,590,21067,211,一流学科,公办,19931
滨州学院,商务英语,25,505,159568,28,496,158165,30,494,164414,none,none,公办,160716
滨州学院,英语(师范类),8,524,124751,14,516,116614,29,514,120765,none,none,公办,120710
亳州学院,商务英语,none,none,none,none,none,none,3,486,181629,none,none,公办,181629
渤海大学,英语(师范类),8,544,90215,8,532,87793,8,529,92168,none,none,公办,90059
沧州师范学院,英语(师范类),2,516,138839,2,513,123176,2,512,124138,none,none,公办,128718
常熟理工学院,英语(师范类),2,541,95729,4,529,92294,4,526,97233,none,none,公办,95085
成都师范学院,英语(师范类),5,539,98907,5,528,94716,5,526,97547,none,none,公办,97057
成都体育学院,英语,4,524,123428,2,513,123578,2,513,122086,none,none,公办,123031
成都信息工程大学,英语,1,580,43645,none,none,none,none,none,none,省重点,none,公办,43645
成都中医药大学,英语,2,583,40842,5,567,41732,6,564,42936,省重点,一流学科,公办,41837
赤峰学院,英语(师范类),5,494,182994,5,487,180237,3,490,172047,none,none,公办,178426
滁州学院,商务英语,1,534,106625,1,520,108809,1,519,110747,none,none,公办,108727
滁州学院,英语,1,524,124614,1,515,119352,1,514,119941,none,none,公办,121302
楚雄师范学院,英语(师范类),8,494,183030,5,488,177304,none,none,none,none,none,公办,180167
大理大学,英语,2,540,97326,2,526,98501,2,522,103602,none,none,公办,99810
大连海事大学,英语,6,605,23150,7,591,22197,6,587,23126,211,一流学科,公办,22824
大连理工大学(盘锦校区),商务英语,3,615,17748,3,598,17492,6,594,18355,"985,211",一流大学,公办,17865
大连理工大学,英语,5,625,12801,2,609,12253,5,604,13485,"985,211",一流大学,公办,12846
大连民族大学,英语,2,551,80056,2,543,70801,3,539,75048,none,none,公办,75302
大连外国语大学,英语,12,597,29270,12,578,31525,12,572,34969,none,none,公办,31921
德州学院,商务英语,none,none,none,75,492,167732,80,489,174470,none,none,公办,171101
德州学院,英语(师范类),none,none,none,97,503,142577,84,503,142202,none,none,公办,142390
东北电力大学,英语,10,556,72911,10,541,73265,10,536,80573,省重点,none,公办,75583
东北林业大学,英语,6,597,29268,6,581,28691,4,579,28720,211,一流学科,公办,28893
东北农业大学,英语,4,597,29165,none,none,none,none,none,none,211,一流学科,公办,29165
东北师范大学,商务英语,2,610,20091,2,596,18986,2,592,20134,211,一流学科,公办,19737
东北师范大学,英语(师范类),1,636,8603,3,612,11160,2,609,11072,211,一流学科,公办,10278
东北石油大学,英语,2,542,93951,3,531,89084,3,529,91207,全国重点,none,公办,91414
东莞理工学院,英语,3,534,106952,3,522,105626,3,520,108731,省重点,none,公办,107103
东华大学,英语,6,617,16659,6,600,16900,4,594,18405,211,一流学科,公办,17321
东华理工大学,英语(外贸方向),3,549,83061,5,535,82882,4,531,88374,省重点,none,公办,84772
福建江夏学院,商务英语,6,503,164625,6,495,161834,5,493,166963,none,none,公办,164474
福建师范大学,英语,4,595,30914,none,none,none,none,none,none,省重点,none,公办,30914
