院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学医学部,药学,4,684,302,4,672,278,5,668,253,"C9,985,211",一流大学,公办,278
中国药科大学,药学(本博贯通强基拔尖实验班),none,none,none,none,none,none,2,628,4710,211,一流学科,公办,4710
华南理工大学,化工与制药类,none,none,none,1,629,5407,1,627,5082,"985,211",一流大学,公办,5245
天津大学,化工与制药类(化工能源与生命医药试验班),26,649,4722,20,629,5574,20,625,5548,"985,211",一流大学,公办,5281
厦门大学,药学,6,646,5381,3,629,5474,3,624,5696,"985,211",一流大学,公办,5517
四川大学,临床药学,2,648,5003,2,628,5669,2,623,6035,"985,211",一流大学,公办,5569
中国药科大学,药学(基础药学理科基地),2,649,4863,4,626,6152,3,622,6372,211,一流学科,公办,5796
北京中医药大学,中药学(时珍国药班),none,none,none,none,none,none,1,623,6130,211,一流学科,公办,6130
四川大学,药学,5,644,6107,6,626,6350,6,622,6394,"985,211",一流大学,公办,6284
山东大学,生物医药数据科学,none,none,none,none,none,none,4,619,7342,"985,211",一流大学,公办,7342
大连理工大学,化工与制药类(创新班),4,639,7412,4,621,7880,6,615,8609,"985,211",一流大学,公办,7967
中国药科大学,药学(国家生命科学与技术人才培养基地),4,633,9569,3,617,8976,3,613,9449,211,一流学科,公办,9331
山东大学,药学类,35,634,9089,36,616,9635,34,612,9751,"985,211",一流大学,公办,9492
中南大学,化工与制药类(化学生物环境类),12,636,8518,15,616,9442,15,609,10912,"985,211",一流大学,公办,9624
首都医科大学,临床药学,2,632,9665,2,614,10056,2,608,11660,省重点,none,公办,10460
大连理工大学,化工与制药类(智能化工、新材料与安全新工科实验班),21,630,10480,21,610,11983,12,606,12553,"985,211",一流大学,公办,11672
北京中医药大学,药学,1,629,10823,2,610,11701,2,606,12615,211,一流学科,公办,11713
华东理工大学,工科试验班(生物医药),5,630,10590,9,611,11466,9,604,13183,211,一流学科,公办,11746
苏州大学,药学,1,626,12089,2,609,12305,2,607,12135,211,一流学科,公办,12176
苏州大学,中药学,none,none,none,1,606,13393,none,none,none,211,一流学科,公办,13393
华东理工大学,化工与制药类,34,622,14021,none,none,none,none,none,none,211,一流学科,公办,14021
华东理工大学,化工与制药类(国际卓越工程师班),none,none,none,3,603,14906,3,603,13747,211,一流学科,公办,14327
中国海洋大学,药学,29,622,14106,28,604,14395,28,601,14712,"985,211",一流大学,公办,14404
中国药科大学,临床药学,2,622,14124,4,602,15422,2,603,13704,211,一流学科,公办,14417
吉林大学,药学,10,624,12952,10,604,14671,10,599,15709,"985,211",一流大学,公办,14444
南京医科大学,临床药学,2,620,14828,2,599,17284,2,603,13518,省重点,一流学科,公办,15210
天津医科大学,药学类,4,623,13513,4,602,15778,3,596,17482,211,一流学科,公办,15591
南京理工大学,化工与制药类,10,624,13248,13,601,16053,14,595,17711,211,一流学科,公办,15671
北京化工大学,制药工程,4,618,15673,none,none,none,none,none,none,211,一流学科,公办,15673
海军军医大学,药学(药剂师),2,619,15525,2,601,15929,2,594,18744,211,一流学科,军校,16733
北京中医药大学,法学(医药卫生),2,615,17534,1,600,16769,1,597,16659,211,一流学科,公办,16987
华东理工大学,药学,none,none,none,7,601,16383,7,595,18201,211,一流学科,公办,17292
兰州大学,化工与制药类,none,none,none,6,600,16810,6,595,18060,"985,211",一流大学,公办,17435
暨南大学,药学,2,621,14496,2,596,18867,2,593,19467,211,一流学科,公办,17610
南方医科大学,药学,2,621,14485,2,598,17946,2,591,20558,"全国重点,省重点",none,公办,17663
空军军医大学,药学,3,617,16493,3,598,17772,2,594,18746,211,一流学科,军校,17670
深圳大学,药学,1,616,16700,1,599,17384,1,593,19160,none,none,公办,17748
中国药科大学,药学类,43,615,17536,44,597,18316,45,595,17774,211,一流学科,公办,17875
北京中医药大学,药事管理,2,615,17695,1,597,18409,1,595,17875,211,一流学科,公办,17993
暨南大学,中药学,2,617,16584,2,598,17842,2,592,19883,211,一流学科,公办,18103
北京中医药大学,中药学,10,615,17554,9,598,17890,9,593,19408,211,一流学科,公办,18284
大连理工大学(盘锦校区),药学,5,614,18068,5,597,18294,5,594,18622,"985,211",一流大学,公办,18328
中国医科大学,临床药学,3,614,18218,3,597,18588,none,none,none,none,none,公办,18403
中国药科大学,生物制药,14,613,18436,10,596,18868,10,595,18150,211,一流学科,公办,18485
中国药科大学,海洋药学,5,612,19046,4,595,19798,4,594,18352,211,一流学科,公办,19065
海军军医大学,中药学(药剂师),1,616,17155,1,596,19004,1,588,22198,211,一流学科,军校,19452
西南大学,药学,2,612,19333,2,595,19583,3,592,19564,211,一流学科,公办,19493
北京中医药大学,中药制药,3,613,18561,4,594,19916,2,591,20561,211,一流学科,公办,19679
重庆医科大学,临床药学,1,613,18672,1,596,19081,1,589,21656,none,none,公办,19803
北京中医药大学,英语(中医药国际传播),4,611,19747,1,596,18979,1,590,21067,211,一流学科,公办,19931
