院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国传媒大学,广告学(数字营销方向),3,639,7332,3,623,7253,none,none,none,211,一流学科,公办,7293
中国海洋大学,市场营销,8,620,15159,8,602,15733,8,597,16953,"985,211",一流大学,公办,15948
暨南大学,市场营销,2,620,14763,2,599,17092,2,595,18176,211,一流学科,公办,16677
中国石油大学(华东),市场营销,8,606,22867,10,589,23206,10,586,23907,211,一流学科,公办,23327
北京第二外国语学院,市场营销(大数据应用),2,608,21621,2,581,28785,none,none,none,省重点,none,公办,25203
合肥工业大学,市场营销,2,599,27206,none,none,none,none,none,none,211,一流学科,公办,27206
西南财经大学,市场营销(中外合作办学)(金融服务与营销),10,594,31498,5,581,28799,6,579,28974,211,一流学科,公办,29757
南京财经大学,市场营销,4,599,27799,4,576,33031,4,570,37102,省重点,none,公办,32644
中国农业大学,市场营销,150,584,40193,109,577,32269,109,576,31535,"985,211",一流大学,公办,34666
西南大学(荣昌校区),市场营销,12,587,36878,12,574,35033,6,574,33383,211,一流学科,公办,35098
北京第二外国语学院,市场营销(一带一路营销管理),none,none,none,none,none,none,2,570,37038,省重点,none,公办,37038
天津师范大学,市场营销,none,none,none,2,574,34501,2,562,44566,省重点,none,公办,39534
上海海洋大学,市场营销(中外合作办学),5,579,45312,5,565,43802,5,560,46987,省重点,一流学科,公办,45367
南京中医药大学,市场营销,7,577,47167,5,563,45479,none,none,none,省重点,一流学科,公办,46323
辽宁大学,市场营销(中外合作办学),3,579,45278,5,561,48058,5,560,47297,211,一流学科,公办,46878
江西财经大学,市场营销(国际营销),2,592,33265,4,559,49534,4,542,71308,省重点,none,公办,51369
江苏大学,市场营销,none,none,none,none,none,none,3,554,54437,"全国重点,省重点",none,公办,54437
江西财经大学,市场营销(数字营销),none,none,none,none,none,none,2,554,54848,省重点,none,公办,54848
北京联合大学,市场营销,2,570,55303,none,none,none,none,none,none,none,none,公办,55303
成都信息工程大学,市场营销,1,569,55953,none,none,none,none,none,none,省重点,none,公办,55953
四川师范大学,市场营销,3,567,58147,2,557,52317,2,550,58933,省重点,none,公办,56466
江西师范大学,工商管理(大数据营销方向),none,none,none,2,550,60158,none,none,none,省重点,none,公办,60158
浙江财经大学,市场营销(中外合作办学),5,572,52623,7,550,60728,7,540,74057,省重点,none,公办,62469
南京工程学院,市场营销,2,562,64273,none,none,none,none,none,none,none,none,公办,64273
常州大学,市场营销,none,none,none,4,554,56248,7,536,79676,省重点,none,公办,67962
湖北中医药大学,市场营销,1,567,58760,1,547,65264,2,536,80186,省重点,none,公办,68070
湖南中医药大学,市场营销,1,559,67884,1,544,69297,1,539,75515,省重点,none,公办,70899
青岛科技大学,市场营销,24,557,70536,11,544,69445,14,540,73871,省重点,none,公办,71284
湖南科技大学,市场营销,2,557,71034,2,542,72377,none,none,none,省重点,none,公办,71706
陕西科技大学,市场营销,3,558,69699,3,543,70575,3,537,78543,全国重点,none,公办,72939
浙江中医药大学,市场营销,none,none,none,none,none,none,1,540,74127,省重点,none,公办,74127
西安财经大学,市场营销,4,556,73206,2,542,71328,2,537,78846,none,none,公办,74460
山西财经大学,市场营销,4,555,73945,3,543,70212,3,536,80072,省重点,none,公办,74743
金陵科技学院,市场营销,none,none,none,1,544,69491,1,531,88866,none,none,公办,79179
温州肯恩大学,市场营销(中外合作办学)(国际方向),6,553,76713,4,537,79935,4,534,83792,none,none,中外合作办学,80147
青岛理工大学,市场营销,27,552,78047,27,537,78980,30,532,85664,省重点,none,公办,80897
吉林财经大学,市场营销,2,549,82397,2,534,83606,2,531,87963,省重点,none,公办,84655
西藏大学,市场营销,none,none,none,none,none,none,2,530,89466,211,一流学科,公办,89466
兰州交通大学,市场营销,2,544,89591,2,526,96969,1,525,99455,省重点,none,公办,95338
河南农业大学,市场营销,2,539,98999,none,none,none,none,none,none,省重点,none,公办,98999
安徽理工大学,市场营销,4,542,93360,6,527,95855,8,520,108017,省重点,none,公办,99077
华北水利水电大学,市场营销,5,540,97101,5,526,98218,5,521,105964,省重点,none,公办,100428
嘉兴学院,市场营销,2,537,101209,2,528,93747,2,520,107999,none,none,公办,100985
大连民族大学,市场营销,2,531,111433,2,525,100236,2,520,108800,none,none,公办,106823
江苏理工学院,市场营销(师范),3,533,107731,none,none,none,none,none,none,none,none,公办,107731
鲁东大学,市场营销,36,533,108481,none,none,none,none,none,none,none,none,公办,108481
甘肃政法大学,市场营销,none,none,none,none,none,none,1,516,115634,none,none,公办,115634
兰州理工大学,市场营销,2,531,112345,2,517,115466,2,509,130632,none,none,公办,119481
中国民用航空飞行学院,市场营销,2,530,113338,4,513,122867,2,511,124992,省重点,none,公办,120399
青岛农业大学,市场营销,17,525,122999,none,none,none,none,none,none,省重点,none,公办,122999
山东理工大学,市场营销,42,526,121128,41,513,123163,41,509,130821,省重点,none,公办,125037
北华大学,市场营销,2,524,123413,2,511,127280,none,none,none,省重点,none,公办,125347
西南石油大学,市场营销(中外高水平大学学生交流计划),none,none,none,3,512,125428,none,none,none,省重点,一流学科,公办,125428
四川轻化工大学,市场营销,2,517,137024,3,514,119910,3,510,128679,none,none,公办,128538
渤海大学,市场营销,5,524,124624,6,511,126760,6,507,134846,none,none,公办,128743
长春大学,市场营销,3,522,128010,2,511,126715,2,508,132360,none,none,公办,129028
湖南财政经济学院,市场营销,2,530,113783,none,none,none,2,502,146014,none,none,公办,129899
沈阳师范大学,市场营销,7,516,138270,4,506,138076,4,503,142987,none,none,公办,139778
黑龙江科技大学,市场营销,none,none,none,2,504,142182,3,503,144217,省重点,none,公办,143200
景德镇陶瓷大学,市场营销,none,none,none,none,none,none,1,502,145529,省重点,none,公办,145529
山西农业大学,市场营销,none,none,none,none,none,none,2,501,148543,全国重点,none,公办,148543
内蒙古科技大学,市场营销,2,510,149412,1,503,144339,1,498,154243,none,none,公办,149331
徐州工程学院,市场营销,2,508,153630,2,499,151573,2,501,147295,none,none,公办,150833
天津体育学院,市场营销,3,509,151885,3,500,149768,4,499,153182,none,none,公办,151612
山东中医药大学,市场营销,55,510,150565,54,500,149770,54,498,154504,省重点,none,公办,151613
长江师范学院,市场营销,4,509,152355,3,500,150913,none,none,none,none,none,公办,151634
河南工业大学,市场营销(中外合作办学),6,509,151739,6,500,151045,6,497,156184,省重点,none,公办,152989
湖南第一师范学院,市场营销,3,503,164624,3,498,155037,4,504,140150,none,none,公办,153270
井冈山大学,市场营销,4,508,154025,none,none,none,none,none,none,none,none,公办,154025
哈尔滨理工大学,市场营销,13,511,148405,13,496,158005,14,496,158467,省重点,none,公办,154959
江西中医药大学,市场营销,2,507,156719,2,500,151004,2,497,157342,省重点,none,公办,155022
山东中医药大学,市场营销(地方专项计划),none,none,none,none,none,none,5,498,155135,省重点,none,公办,155135
山西中医药大学,市场营销,6,508,154721,6,499,153063,6,496,159935,none,none,公办,155906
广西民族大学,市场营销,none,none,none,none,none,none,2,497,156790,省重点,none,公办,156790
南昌工程学院,市场营销,2,505,160391,2,495,161245,2,496,159930,none,none,公办,160522
安徽科技学院,市场营销,none,none,none,none,none,none,2,495,160999,none,none,公办,160999
西安医学院,市场营销,4,503,164463,3,498,155308,3,494,163905,none,none,公办,161225
辽宁中医药大学,市场营销,5,503,163528,4,496,159027,3,494,162533,none,none,公办,161696
山东建筑大学,市场营销(校企合作，与中兴协力教育山东公司合作),none,none,none,70,496,159011,70,493,166602,省重点,none,公办,162807
齐鲁工业大学,市场营销(菏泽校区),120,505,160936,120,495,160915,132,492,167293,none,none,公办,163048
山东交通学院,市场营销,17,505,160074,21,495,160486,26,492,168841,none,none,公办,163134
赣南师范大学,市场营销,none,none,none,none,none,none,2,493,165142,none,none,公办,165142
贵州商学院,市场营销,2,502,165243,none,none,none,none,none,none,none,none,公办,165243
北华航天工业学院,市场营销,2,501,168199,2,494,164473,none,none,none,none,none,公办,166336
哈尔滨金融学院,市场营销,4,505,160478,4,494,163909,4,489,175358,none,none,公办,166582
湖南工程学院,市场营销,2,501,168384,none,none,none,none,none,none,none,none,公办,168384
山东工商学院,市场营销,34,502,165182,36,493,166150,36,489,176173,none,none,公办,169168
华北科技学院,市场营销,8,501,168237,12,492,168310,8,491,171673,none,none,公办,169407
潍坊医学院,市场营销,38,501,168088,38,492,168833,18,490,171930,none,none,公办,169617
潍坊学院,市场营销,20,502,166307,20,492,168495,44,489,174833,none,none,公办,169878
新疆财经大学,市场营销,3,504,162351,3,492,168153,3,486,181753,省重点,none,公办,170752
河北金融学院,市场营销,none,none,none,2,490,171853,none,none,none,none,none,公办,171853
商丘师范学院,市场营销,1,497,175145,1,490,172383,none,none,none,none,none,公办,173764
长春工程学院,市场营销,3,498,174550,3,490,173479,none,none,none,none,none,公办,174015
中原工学院,市场营销,8,498,174585,8,489,175535,4,488,178145,none,none,公办,176088
山东管理学院,市场营销,28,497,175681,80,487,180310,none,none,none,none,none,公办,177996
浙江工商大学杭州商学院,市场营销,2,505,159763,2,489,175399,2,478,201441,none,none,民办,178868
新余学院,市场营销,1,492,186337,1,489,174610,1,487,180960,none,none,公办,180636
齐鲁工业大学,市场营销(校企合作，与鼎利集团合作；菏泽校区),none,none,none,120,489,174266,240,484,187635,none,none,公办,180951
黑龙江工程学院,市场营销,2,496,178264,2,487,178414,2,483,189137,none,none,公办,181938
周口师范学院,市场营销,3,495,180906,2,485,183158,none,none,none,none,none,公办,182032
济宁医学院,市场营销,37,496,177905,37,487,179494,37,483,190260,none,none,公办,182553
吉林工商学院,市场营销,3,497,176035,3,487,178764,2,482,192905,none,none,公办,182568
厦门大学嘉庚学院,市场营销,5,506,158216,5,480,196968,4,480,196929,none,none,民办,184038
吉林化工学院,市场营销,4,496,178526,4,486,181301,2,482,192376,none,none,公办,184068
湖南女子学院,市场营销,3,494,183078,2,485,185340,2,485,185131,none,none,公办,184516
南开大学滨海学院,市场营销,2,493,184960,none,none,none,none,none,none,none,none,民办,184960
河南城建学院,市场营销,4,492,186488,4,484,185701,none,none,none,none,none,公办,186095
滨州学院,市场营销,none,none,none,40,486,182376,40,482,191882,none,none,公办,187129
宁德师范学院,市场营销,4,493,183670,4,485,183592,4,480,196405,none,none,公办,187889
山东女子学院,市场营销,17,494,181907,42,484,185641,69,480,196902,none,none,公办,188150
吉林农业科技学院,市场营销,2,491,188190,none,none,none,none,none,none,none,none,公办,188190
山东青年政治学院,市场营销,none,none,none,80,483,189243,70,483,190313,none,none,公办,189778
吉林医药学院,市场营销,2,490,190524,2,485,185109,2,480,196289,none,none,公办,190641
桂林航天工业学院,市场营销,3,492,187169,3,484,187453,2,479,199947,none,none,公办,191523
莆田学院,市场营销,3,489,192073,none,none,none,none,none,none,none,none,公办,192073
德州学院,市场营销(数字营销),none,none,none,none,none,none,40,482,192728,none,none,公办,192728
山东管理学院,市场营销(校企合作，与淄博开创盛世网络有限公司合作),none,none,none,40,481,192898,none,none,none,none,none,公办,192898
楚雄师范学院,市场营销,2,489,193195,none,none,none,none,none,none,none,none,公办,193195
百色学院,市场营销,2,489,191412,2,483,188949,2,478,200875,none,none,公办,193745
三明学院,市场营销,none,none,none,5,481,192502,2,481,195380,none,none,公办,193941
黑龙江工业学院,市场营销,3,491,188713,3,483,189896,3,477,204171,none,none,公办,194260
牡丹江师范学院,市场营销,4,485,200038,4,484,187461,4,480,195520,none,none,公办,194340
山西工学院,市场营销,none,none,none,6,483,189869,6,479,199854,none,none,公办,194862
山东青年政治学院,市场营销(校企合作，与慧科教育科技集团有限公司合作),none,none,none,80,480,195073,none,none,none,none,none,公办,195073
河南牧业经济学院,市场营销,none,none,none,3,482,191574,5,479,199011,none,none,公办,195293
德州学院,市场营销(校企合作，与济南文华管理咨询有限公司合作),60,487,195473,none,none,none,none,none,none,none,none,公办,195473
滨州学院,市场营销(校企合作，与中软创新国际信息研究院合作),30,489,193054,40,481,192947,40,477,204072,none,none,公办,196691
苏州科技大学天平学院,市场营销,2,489,193207,2,481,194330,2,477,204063,none,none,民办,197200
潍坊学院,市场营销(校企合作，与青岛英谷教育科技公司合作),none,none,none,70,481,193913,70,478,202576,none,none,公办,198245
东南大学成贤学院,市场营销,2,486,198873,1,480,196908,1,479,199520,none,none,民办,198434
济宁医学院,市场营销(校企合作，与山东开创集团股份有限公司合作),40,486,198234,40,480,195123,40,478,202753,none,none,公办,198703
北京理工大学珠海学院,市场营销,1,485,199804,none,none,none,none,none,none,none,none,民办,199804
大连理工大学城市学院,市场营销,1,490,190950,1,478,200706,1,475,208161,none,none,民办,199939
北京工业大学耿丹学院,市场营销(品牌管理与策划),1,482,206953,1,483,189735,1,475,209113,none,none,民办,201934
河北石油职业技术大学,市场营销,none,none,none,none,none,none,4,478,202525,none,none,公办,202525
泰山学院,市场营销(校企合作，与山东华仁教育发展公司合作),none,none,none,none,none,none,40,478,202717,none,none,公办,202717
茅台学院,市场营销,2,484,202215,2,480,196787,2,475,210066,none,none,民办,203023
山东管理学院,市场营销(校企合作，与淄博开创云计算有限公司合作),none,none,none,none,none,none,80,477,203717,none,none,公办,203717
新疆理工学院,市场营销,none,none,none,10,477,203617,2,477,204691,none,none,公办,204154
桂林旅游学院,市场营销,none,none,none,none,none,none,2,477,204311,none,none,公办,204311
扬州大学广陵学院,市场营销,3,483,205461,3,479,198522,3,475,209749,none,none,民办,204577
江苏大学京江学院,市场营销,3,483,204926,3,478,200006,3,475,209736,none,none,民办,204889
长沙理工大学城南学院,市场营销,2,483,204664,2,477,201856,2,474,210562,none,none,民办,205694
新疆科技学院,市场营销,3,481,209649,3,479,198928,7,475,209393,none,none,公办,205990
南京财经大学红山学院,市场营销,4,482,206736,4,477,201878,4,474,211456,none,none,民办,206690
珠海科技学院,市场营销,3,486,198067,3,475,206750,3,472,216878,none,none,民办,207232
烟台南山学院,市场营销,10,483,205299,20,478,201456,22,471,219194,none,none,民办,208650
新疆农业大学,市场营销,none,none,none,none,none,none,15,475,209130,省重点,none,公办,209130
青岛农业大学海都学院,市场营销,10,482,206494,none,none,none,10,474,212385,none,none,民办,209440
常州大学怀德学院,市场营销,2,479,213121,2,476,204137,2,473,214641,none,none,民办,210633
山西晋中理工学院,市场营销,none,none,none,none,none,none,2,474,210925,none,none,民办,210925
南昌航空大学科技学院,市场营销(数字营销),none,none,none,2,474,209379,3,474,212580,none,none,民办,210980
江西财经大学现代经济管理学院,市场营销,2,479,213496,2,476,205711,2,473,214020,none,none,民办,211076
烟台科技学院,市场营销,19,482,207336,20,476,204987,30,468,225179,none,none,民办,212501
烟台南山学院,市场营销(校企合作，与山东开创信息有限公司合作),none,none,none,25,473,213000,none,none,none,none,none,民办,213000
西安培华学院,市场营销,none,none,none,2,473,212283,2,473,213798,none,none,民办,213041
潍坊科技学院,市场营销,32,480,211287,32,475,207098,70,469,224144,none,none,民办,214176
山东财经大学东方学院,市场营销,none,none,none,none,none,none,10,473,214744,none,none,民办,214744
山东工商学院,市场营销(中外合作办学),none,none,none,16,473,210763,16,471,218949,none,none,公办,214856
海南热带海洋学院,市场营销(中外合作办学),6,477,216353,5,471,217438,5,473,213851,none,none,公办,215881
四川传媒学院,市场营销,none,none,none,5,471,216004,none,none,none,none,none,民办,216004
潍坊科技学院,市场营销(校企合作，与山东开创信息有限公司合作),none,none,none,50,471,216455,none,none,none,none,none,民办,216455
宁夏理工学院,市场营销,2,475,221954,3,473,210801,2,467,228188,none,none,民办,220314
北京中医药大学东方学院,市场营销,2,468,235430,2,477,203687,4,469,222906,none,none,民办,220674
齐鲁医药学院,市场营销,60,473,225610,50,473,211712,45,468,226284,none,none,民办,221202
郑州商学院,市场营销,none,none,none,none,none,none,5,469,223514,none,none,民办,223514
河北工程技术学院,市场营销,4,473,224363,none,none,none,none,none,none,none,none,民办,224363
广西外国语学院,市场营销,1,471,229677,1,472,213963,1,466,231816,none,none,民办,225152
荆州学院,市场营销,none,none,none,2,467,225631,2,468,225475,none,none,民办,225553
烟台理工学院,市场营销,none,none,none,37,471,217577,45,465,234311,none,none,民办,225944
北京理工大学珠海学院,市场营销(国际班),4,472,226658,none,none,none,none,none,none,none,none,民办,226658
云南经济管理学院,市场营销,none,none,none,2,470,219400,2,465,234751,none,none,民办,227076
成都锦城学院,市场营销,none,none,none,none,none,none,2,468,227087,none,none,民办,227087
