院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,计算机类,10,693,90,none,none,none,none,none,none,"C9,985,211",一流大学,公办,90
中国科学院大学,计算机科学与技术,4,684,293,3,672,290,3,667,278,none,一流学科,公办,287
北京航空航天大学,工科试验班类(计算机拔尖计划),none,none,none,1,668,421,1,660,519,"985,211",一流大学,公办,470
南京大学,计算机科学与技术,5,679,548,5,662,661,5,659,538,"C9,985,211",一流大学,公办,582
华中科技大学,计算机科学与技术(计算机卓越计划实验班),2,675,828,none,none,none,none,none,none,"985,211",一流大学,公办,828
华中科技大学,计算机科学与技术(启明本硕博实验班),2,673,927,none,none,none,none,none,none,"985,211",一流大学,公办,927
华中科技大学,计算机类(计算机学院),9,671,1171,21,655,1175,21,649,1284,"985,211",一流大学,公办,1210
国防科技大学,计算机科学与技术(天河拔尖班),none,none,none,none,none,none,4,650,1216,"985,211",一流大学,军校,1216
华中科技大学,计算机类(网安、软件学院),8,669,1418,none,none,none,none,none,none,"985,211",一流大学,公办,1418
武汉大学,计算机类(计算机学院),none,none,none,11,652,1423,14,648,1430,"985,211",一流大学,公办,1427
国防科技大学,计算机类(天河拔尖班),none,none,none,2,652,1474,none,none,none,"985,211",一流大学,军校,1474
武汉大学,计算机类(国家网络安全学院),10,666,1730,10,649,1704,13,645,1745,"985,211",一流大学,公办,1726
南开大学,计算机类(信息科学与技术类试验班),33,664,1982,none,none,none,none,none,none,"985,211",一流大学,公办,1982
北京邮电大学,计算机类(元班),none,none,none,none,none,none,8,643,2044,211,一流学科,公办,2044
电子科技大学,计算机科学与技术(智能金融与区块链金融双A联合学位实验班),none,none,none,2,644,2390,2,643,2097,"985,211",一流大学,公办,2244
东南大学,计算机类,20,662,2297,20,644,2452,20,639,2641,"985,211",一流大学,公办,2463
北京邮电大学,计算机类,17,661,2478,18,644,2360,14,638,2725,211,一流学科,公办,2521
电子科技大学,计算机科学与技术(互联网交叉复合型精英人才双学位培养计划),none,none,none,5,643,2607,5,639,2626,"985,211",一流大学,公办,2617
国防科技大学,计算机类,16,657,3054,14,642,2748,12,641,2312,"985,211",一流大学,军校,2705
中山大学,计算机类(广州),6,661,2471,19,641,2885,12,637,2990,"985,211",一流大学,公办,2782
哈尔滨工业大学,工科试验班(计算机与电子通信),26,659,2755,29,641,2932,28,637,2848,"C9,985,211",一流大学,公办,2845
电子科技大学,计算机类,6,659,2859,15,640,3055,12,637,2996,"985,211",一流大学,公办,2970
上海财经大学,计算机科学与技术,3,659,2698,3,641,2942,3,633,3612,211,一流学科,公办,3084
华东师范大学,计算机科学与技术,3,655,3485,5,640,3141,4,634,3433,"985,211",一流大学,公办,3353
西北工业大学,计算机类(本研衔接班),none,none,none,3,637,3599,3,635,3343,"985,211",一流大学,公办,3471
华南理工大学,计算机类,5,653,3852,4,637,3618,4,634,3551,"985,211",一流大学,公办,3674
中央财经大学,计算机类,4,658,2994,4,637,3676,4,629,4480,211,一流学科,公办,3717
中山大学,计算机类(深圳),8,653,3904,33,634,4181,18,630,4327,"985,211",一流大学,公办,4137
厦门大学,计算机类,14,651,4369,15,634,4223,18,630,4326,"985,211",一流大学,公办,4306
四川大学,计算机类,11,650,4583,11,633,4495,11,629,4643,"985,211",一流大学,公办,4574
西北工业大学,计算机类,26,646,5506,6,633,4467,6,632,3951,"985,211",一流大学,公办,4641
北京交通大学,计算机类,9,650,4571,9,631,4930,8,626,5237,211,一流学科,公办,4913
西北工业大学,计算机类(网络安全),none,none,none,7,629,5448,7,628,4686,"985,211",一流大学,公办,5067
大连理工大学,计算机科学与技术(国家基础学科拔尖学生培养计划基地班),none,none,none,none,none,none,3,627,5097,"985,211",一流大学,公办,5097
山东大学,计算机类(计算机与智能方向),90,646,5486,100,630,5181,122,626,5389,"985,211",一流大学,公办,5352
中国农业大学,计算机类,3,645,5808,3,630,5082,3,626,5386,"985,211",一流大学,公办,5425
西南交通大学,计算机类,2,649,4851,2,629,5316,4,623,6205,211,一流学科,公办,5457
中南大学,计算机类(计算机与通信类),none,none,none,24,629,5476,23,625,5460,"985,211",一流大学,公办,5468
