院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
上海财经大学,财政学类,3,664,2078,4,645,2310,4,639,2609,211,一流学科,公办,2332
中央财经大学,财政学(财政理论与政策),3,664,2058,3,643,2486,3,638,2707,211,一流学科,公办,2417
中央财经大学,财政学类,7,661,2513,8,641,2931,7,635,3376,211,一流学科,公办,2940
西南财经大学,财政学类,2,636,8477,3,618,8714,3,612,9853,211,一流学科,公办,9015
中南财经政法大学,财政学类,15,628,11385,14,610,12004,14,605,12875,211,一流学科,公办,12088
暨南大学,财政学,none,none,none,2,607,13146,2,602,14000,211,一流学科,公办,13573
西北大学,财政学,none,none,none,2,602,15664,2,597,16857,211,一流学科,公办,16261
东北财经大学,财政学类,2,614,18034,2,597,18293,2,593,19074,省重点,none,公办,18467
南京财经大学,财政学类,2,613,18599,3,596,19119,6,589,21781,省重点,none,公办,19833
南京审计大学,财政学,3,609,20888,3,593,21029,2,588,22183,none,none,公办,21367
广东外语外贸大学,财政学类,1,607,22210,1,587,24281,1,582,26328,省重点,none,公办,24273
江西财经大学,财政学类,2,604,23815,5,586,25555,none,none,none,省重点,none,公办,24685
天津财经大学,财政学类,5,602,25237,5,583,27531,5,579,29331,省重点,none,公办,27366
江西财经大学,财政学,none,none,none,none,none,none,3,580,27856,省重点,none,公办,27856
贵州大学,财政学类,none,none,none,2,583,27703,4,580,28204,211,一流学科,公办,27954
浙江财经大学,财政学类,4,600,26999,4,581,28943,6,578,29648,省重点,none,公办,28530
广东财经大学,财政学,1,594,31005,none,none,none,none,none,none,省重点,none,公办,31005
上海立信会计金融学院,财政学类,7,591,33897,5,574,34904,5,566,40388,none,none,公办,36396
重庆工商大学,财政学类,3,578,46379,1,567,41122,1,564,42807,省重点,none,公办,43436
山东财经大学,财政学类,190,577,47207,180,559,50201,135,556,52206,省重点,none,公办,49871
山西财经大学,财政学,2,576,48164,2,559,49925,2,555,53557,省重点,none,公办,50549
青岛大学,财政学,none,none,none,none,none,none,29,555,52952,省重点,none,公办,52952
山东财经大学,财政学类(地方专项计划),none,none,none,10,557,52569,20,553,55447,省重点,none,公办,54008
安徽财经大学,财政学类,6,570,54483,7,555,54491,4,552,56740,省重点,none,公办,55238
河南财经政法大学,财政学类,2,568,57260,2,554,56091,2,552,56444,none,none,公办,56598
河北经贸大学,财政学类,4,565,61034,4,549,61472,none,none,none,省重点,none,公办,61253
吉林财经大学,财政学,3,563,62688,3,549,62080,2,547,64032,省重点,none,公办,62933
云南财经大学,财政学,4,555,73610,4,544,68102,4,540,73660,省重点,none,公办,71791
湖北经济学院,财政学类,2,551,79759,2,541,72861,4,539,75112,none,none,公办,75911
河南工业大学,财政学,2,549,82823,2,537,78616,2,536,80205,省重点,none,公办,80548
兰州财经大学,财政学,2,548,84494,2,535,82085,2,533,84496,none,none,公办,83692
西藏大学,财政学,4,535,105368,3,533,86276,3,537,78205,211,一流学科,公办,89950
山东科技大学,财政学(地方专项计划，就读地点泰安),none,none,none,15,525,100155,none,none,none,省重点,none,公办,100155
山东科技大学,财政学(就读地点泰安，地方专项计划),none,none,none,none,none,none,15,524,100564,省重点,none,公办,100564
湖南财政经济学院,财政学类,2,536,102591,2,524,101593,2,522,103488,none,none,公办,102557
哈尔滨商业大学,财政学类(财政与公共管理学院),18,538,99130,22,522,104947,22,515,118300,省重点,none,公办,107459
河北金融学院,财政学类,none,none,none,4,519,110996,none,none,none,none,none,公办,110996
哈尔滨商业大学,公共管理类(财政与公共管理学院),9,533,107683,13,518,113425,13,510,127881,省重点,none,公办,116330
河北金融学院,财政学,none,none,none,none,none,none,2,514,119882,none,none,公办,119882
山东科技大学,财政学(就读地点泰安),178,521,129357,103,515,118881,103,518,111865,省重点,none,公办,120034
山东工商学院,财政学,30,513,144369,31,506,138064,31,505,138643,none,none,公办,140359
河南财政金融学院,财政学,2,514,142112,4,505,139458,2,503,143441,none,none,公办,141670
新疆财经大学,财政学,8,500,169579,8,493,166669,2,501,147178,省重点,none,公办,161142
吉林工商学院,财政学,4,503,162957,5,494,163329,2,493,165201,none,none,公办,163829
集美大学诚毅学院,财政学,2,486,197759,2,480,194869,2,473,214988,none,none,民办,202539
武汉学院,财政学类,5,482,206334,10,477,203657,10,472,217399,none,none,民办,209130
