院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
武汉大学,国际经济与贸易(弘毅学堂数字贸易与金融试验班),none,none,none,2,652,1480,2,646,1617,"985,211",一流大学,公办,1549
上海财经大学,国际经济与贸易,3,662,2360,3,643,2544,3,636,3034,211,一流学科,公办,2646
对外经济贸易大学,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),3,659,2799,2,640,3014,3,636,3114,211,一流学科,公办,2976
对外经济贸易大学,国际商务(数字贸易方向),4,655,3548,5,632,4702,4,626,5205,211,一流学科,公办,4485
北京外国语大学,国际经济与贸易,none,none,none,2,633,4436,2,626,5434,211,一流学科,公办,4935
中国社会科学院大学,国际经济与贸易,2,646,5612,2,626,6115,2,624,5805,none,none,公办,5844
上海外国语大学,国际经济与贸易,2,641,6863,2,623,7112,1,622,6455,211,一流学科,公办,6810
上海外国语大学,国际经济与贸易(日语),2,642,6459,2,620,7957,none,none,none,211,一流学科,公办,7208
中央财经大学,国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),10,641,6934,9,620,8134,8,615,8639,211,一流学科,公办,7902
北京外国语大学,国际经济与贸易(中外合作办学),2,639,7559,2,614,10072,none,none,none,211,一流学科,公办,8816
湖南大学,国际经济与贸易(实验班),1,633,9521,1,618,8560,6,612,10030,"985,211",一流大学,公办,9370
西南财经大学,经济与贸易类,3,635,8760,5,616,9509,5,609,11153,211,一流学科,公办,9807
西北工业大学,经济与贸易类(国贸、法学、行管),4,633,9523,4,612,10875,4,607,11857,"985,211",一流大学,公办,10752
湖南大学,国际经济与贸易,6,630,10514,6,612,11087,none,none,none,"985,211",一流大学,公办,10801
中南财经政法大学,经济与贸易类,12,626,12105,11,608,12920,11,602,14274,211,一流学科,公办,13100
南京航空航天大学,经济与贸易类,6,626,12199,5,605,14153,none,none,none,211,一流学科,公办,13176
中国海洋大学,国际经济与贸易,19,625,12764,18,607,12939,18,602,14291,"985,211",一流大学,公办,13331
东华大学,经济与贸易类,5,624,13223,4,605,14093,4,600,15055,211,一流学科,公办,14124
暨南大学,国际经济与贸易,2,623,13509,2,604,14573,2,600,15205,211,一流学科,公办,14429
南京航空航天大学,英语(民航业务、国际贸易),4,622,14194,4,603,14902,2,599,15854,211,一流学科,公办,14983
上海对外经贸大学,国际经济与贸易(全英语),2,622,14097,2,603,15007,2,592,20044,none,none,公办,16383
北京林业大学,国际经济与贸易,4,617,16187,4,600,16487,3,595,18228,211,一流学科,公办,16967
西南交通大学,经济与贸易类,3,616,16901,3,600,16692,3,595,17968,211,一流学科,公办,17187
河海大学,国际经济与贸易(常州校区),2,616,17179,2,598,17532,2,597,17035,211,一流学科,公办,17249
上海大学,国际经济与贸易(中外合作办学),2,618,16011,3,600,16507,2,593,19312,211,一流学科,公办,17277
深圳大学,国际经济与贸易,2,617,16367,2,598,17665,2,592,19553,none,none,公办,17862
北京化工大学,国际经济与贸易,3,614,18089,none,none,none,none,none,none,211,一流学科,公办,18089
江南大学,国际经济与贸易,13,611,19680,14,594,20315,12,589,21932,211,一流学科,公办,20642
西南政法大学,国际经济与贸易,none,none,none,none,none,none,2,590,20980,全国重点,none,公办,20980
湖南师范大学,国际经济与贸易,2,608,21657,none,none,none,none,none,none,211,一流学科,公办,21657
中国农业大学,国际经济与贸易(中外合作办学),7,610,20224,7,590,23002,7,588,22125,"985,211",一流大学,公办,21784
东北财经大学,国际经济与贸易,1,612,19010,3,591,22208,2,584,25428,省重点,none,公办,22215
大连海事大学,国际经济与贸易,3,607,22217,none,none,none,none,none,none,211,一流学科,公办,22217
北京第二外国语学院,商务英语(国际文化贸易),none,none,none,none,none,none,1,588,22474,省重点,none,公办,22474
南京农业大学,国际经济与贸易,7,607,22229,7,590,22790,7,586,23936,211,一流学科,公办,22985
北京语言大学,国际经济与贸易,2,613,18791,2,589,23116,2,580,28462,none,none,公办,23456
首都经济贸易大学,贸易经济,none,none,none,none,none,none,3,585,24032,省重点,none,公办,24032
广东外语外贸大学,国际经济与贸易,1,608,21771,1,588,23924,1,581,27191,省重点,none,公办,24295
中国矿业大学,经济与贸易类,16,603,24539,20,588,24268,none,none,none,211,一流学科,公办,24404
南京财经大学,国际经济与贸易,2,604,23738,2,587,24631,3,581,27466,省重点,none,公办,25278
太原理工大学,国际经济与贸易,3,602,25280,3,586,25501,3,583,25589,211,一流学科,公办,25457
南京邮电大学,国际经济与贸易,none,none,none,6,585,25738,none,none,none,省重点,一流学科,公办,25738
海南大学,国际经济与贸易,3,602,25466,5,585,26231,4,582,26919,211,一流学科,公办,26205
江西财经大学,经济与贸易类,3,601,26214,none,none,none,none,none,none,省重点,none,公办,26214
北京第二外国语学院,贸易经济(国际文化贸易),none,none,none,2,587,24743,2,579,29291,省重点,none,公办,27017
南京信息工程大学,国际经济与贸易,2,599,27227,3,581,28845,3,579,28905,全国重点,一流学科,公办,28326
西南大学(荣昌校区),国际经济与贸易,none,none,none,none,none,none,2,580,28524,211,一流学科,公办,28524
江苏大学,国际经济与贸易,3,601,25940,2,582,28278,2,575,31987,"全国重点,省重点",none,公办,28735
宁波大学,机械设计制造及其自动化(国际贸易班),none,none,none,2,581,28659,2,579,28976,省重点,一流学科,公办,28818
北京工商大学,经济与贸易类,5,599,27735,5,581,28920,5,576,31379,省重点,none,公办,29345
浙江工业大学,经济与贸易类,5,597,28964,5,579,30503,none,none,none,省重点,none,公办,29734
江西财经大学,国际经济与贸易(CITF方向),none,none,none,2,581,29079,2,577,30783,省重点,none,公办,29931
贵州大学,经济与贸易类,none,none,none,2,580,29623,4,577,30725,211,一流学科,公办,30174
西安外国语大学,国际经济与贸易,1,598,28194,2,580,29312,2,573,34269,none,none,公办,30592
