院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
复旦大学,软件工程(国家示范性软件学院),1,684,315,none,none,none,none,none,none,"C9,985,211",一流大学,公办,315
南京大学,软件工程,6,677,699,7,661,760,7,655,752,"C9,985,211",一流大学,公办,737
华中科技大学,计算机类(网安、软件学院),8,669,1418,none,none,none,none,none,none,"985,211",一流大学,公办,1418
华东师范大学,软件工程,6,655,3503,7,641,2829,6,637,2849,"985,211",一流大学,公办,3060
北京邮电大学,软件工程,6,656,3232,none,none,none,9,634,3527,211,一流学科,公办,3380
华南理工大学,软件工程,4,653,3977,4,636,3821,4,632,3868,"985,211",一流大学,公办,3889
电子科技大学(沙河校区),软件工程(互联网交叉培养实验班),none,none,none,3,635,4164,none,none,none,"985,211",一流大学,公办,4164
四川大学,软件工程,6,649,4835,6,632,4603,8,629,4681,"985,211",一流大学,公办,4706
厦门大学,软件工程(含软件、数媒技术),8,649,4794,8,632,4807,none,none,none,"985,211",一流大学,公办,4801
电子科技大学(沙河校区),软件工程(工业软件),none,none,none,none,none,none,5,628,4863,"985,211",一流大学,公办,4863
电子科技大学(沙河校区),软件工程(国家示范性软件学院),18,649,4788,20,631,4986,15,628,4856,"985,211",一流大学,公办,4877
西北工业大学,软件工程,none,none,none,15,628,5638,15,626,5356,"985,211",一流大学,公办,5497
北京交通大学,软件工程,8,646,5517,6,628,5634,6,624,5879,211,一流学科,公办,5677
中南大学,软件工程,7,643,6301,10,627,6003,10,624,5807,"985,211",一流大学,公办,6037
山东大学,计算机类(软件数媒与大数据方向),155,639,7425,150,623,7132,160,620,7050,"985,211",一流大学,公办,7202
南京航空航天大学,软件工程,3,638,7744,3,621,7814,4,618,7801,211,一流学科,公办,7786
湖南大学,软件工程,6,633,9505,6,619,8285,6,617,8092,"985,211",一流大学,公办,8627
大连理工大学,软件工程,28,634,9261,28,616,9331,32,614,9262,"985,211",一流大学,公办,9285
哈尔滨工业大学(威海),软件工程,45,630,10647,46,615,9915,62,612,9943,"C9,985,211",一流大学,公办,10168
吉林大学,软件工程,28,628,11317,22,614,10372,24,612,9982,"985,211",一流大学,公办,10557
暨南大学,软件工程,none,none,none,2,607,13330,2,607,12195,211,一流学科,公办,12763
河海大学,软件工程,3,622,13942,3,608,12744,2,606,12410,211,一流学科,公办,13032
西南大学,软件工程,none,none,none,2,606,13738,2,603,13615,211,一流学科,公办,13677
