院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
哈尔滨工业大学,工科试验班(计算机与电子通信),26,659,2755,29,641,2932,28,637,2848,"C9,985,211",一流大学,公办,2845
北京邮电大学,通信工程(大类招生),20,658,2869,20,638,3366,22,633,3719,211,一流学科,公办,3318
电子科技大学,电子信息类(信息与通信),14,655,3432,20,638,3426,16,635,3261,"985,211",一流大学,公办,3373
华东师范大学,通信工程(双学位),none,none,none,none,none,none,2,631,4106,"985,211",一流大学,公办,4106
电子科技大学,电子信息类(光通信与显示、智能感知、智慧照明),8,652,4173,none,none,none,none,none,none,"985,211",一流大学,公办,4173
华东师范大学,通信工程,3,652,4162,4,633,4440,2,629,4581,"985,211",一流大学,公办,4394
中南大学,计算机类(计算机与通信类),none,none,none,24,629,5476,23,625,5460,"985,211",一流大学,公办,5468
北京交通大学,电子信息类(通信与控制),17,644,5906,17,626,6248,17,620,6875,211,一流学科,公办,6343
山东大学,电子信息类(通信电子与光电方向),103,640,7018,110,622,7320,120,619,7423,"985,211",一流大学,公办,7254
湖南大学,通信工程,4,634,9007,4,618,8674,4,616,8464,"985,211",一流大学,公办,8715
电子科技大学(沙河校区),电子信息类(中外合作办学)(通信、微电子),9,633,9538,9,618,8837,9,609,10954,"985,211",一流大学,公办,9776
北京科技大学,通信工程,6,633,9480,6,615,9938,6,611,10212,211,一流学科,公办,9877
吉林大学,通信工程,18,628,11230,16,612,11240,16,609,11144,"985,211",一流大学,公办,11205
中国传媒大学,通信工程,2,630,10633,2,609,12159,3,607,12182,211,一流学科,公办,11658
苏州大学,轨道交通信号与控制,1,628,11265,1,609,12485,none,none,none,211,一流学科,公办,11875
武汉理工大学,电子信息类(通信本硕实验班),none,none,none,none,none,none,4,607,11878,211,一流学科,公办,11878
西南交通大学,通信工程,4,622,13756,8,605,14144,6,603,13830,211,一流学科,公办,13910
河海大学,通信工程,4,621,14230,2,606,13786,none,none,none,211,一流学科,公办,14008
深圳大学,通信工程,none,none,none,none,none,none,1,600,15138,none,none,公办,15138
南京邮电大学,通信工程,9,620,15049,9,602,15612,9,598,16093,省重点,一流学科,公办,15585
河海大学,通信工程(常州校区),3,617,16602,3,601,16086,4,601,14637,211,一流学科,公办,15775
西南交通大学,轨道交通信号与控制,6,619,15520,6,602,15708,4,598,16098,211,一流学科,公办,15775
江南大学,通信工程,6,616,17161,none,none,none,none,none,none,211,一流学科,公办,17161
合肥工业大学,通信工程,5,613,18807,5,597,18448,4,595,18267,211,一流学科,公办,18507
华南师范大学,通信工程,4,612,18909,none,none,none,none,none,none,211,一流学科,公办,18909
杭州电子科技大学,电子信息类(通信学院),none,none,none,6,594,20106,6,590,21163,省重点,none,公办,20635
中国石油大学(华东),通信工程,38,609,21089,38,593,20611,38,591,20452,211,一流学科,公办,20717
杭州电子科技大学,通信工程,6,608,21275,none,none,none,none,none,none,省重点,none,公办,21275
西安电子科技大学,通信工程(中外合作办学),15,607,22146,15,589,23261,15,586,23608,211,一流学科,公办,23005
湖南师范大学,通信工程,3,604,23799,4,588,23646,4,586,23667,211,一流学科,公办,23704
太原理工大学,通信工程,4,603,24777,4,588,23732,4,587,23143,211,一流学科,公办,23884
大连海事大学,通信工程,10,602,25020,none,none,none,none,none,none,211,一流学科,公办,25020
重庆邮电大学,电子信息类(通信与信息类),10,600,26480,12,584,26552,12,582,26230,省重点,none,公办,26421
江苏大学,通信工程,2,600,26625,none,none,none,none,none,none,"全国重点,省重点",none,公办,26625
天津工业大学,通信工程,6,598,28188,6,582,27896,6,582,26746,省重点,一流学科,公办,27610
北方工业大学,通信工程,2,598,28230,2,581,28547,3,579,29011,省重点,none,公办,28596
东北大学秦皇岛分校,通信工程(中外合作办学),10,594,31241,10,579,30522,10,577,30627,"985,211",一流大学,公办,30797
西安邮电大学,通信工程,7,595,30156,7,578,31245,6,576,31862,none,none,公办,31088
上海工程技术大学,轨道交通信号与控制,1,598,28338,1,578,31456,1,573,34220,none,none,公办,31338
天津理工大学,通信工程,6,594,30955,8,576,32687,8,574,33259,none,none,公办,32300
沈阳航空航天大学,通信工程,1,589,35431,2,578,31136,2,577,30913,none,none,公办,32493
长沙理工大学,通信工程,2,593,31723,2,576,33141,2,574,33425,省重点,none,公办,32763
湘潭大学,通信工程,3,592,32640,4,575,33979,5,575,32317,全国重点,一流学科,公办,32979
河北大学,通信工程,2,590,34212,2,575,33809,2,573,34428,省重点,none,公办,34150
大连交通大学,轨道交通信号与控制,2,592,32749,2,574,34932,2,571,35937,省重点,none,公办,34539
西安科技大学,通信工程,2,586,38053,2,573,35290,2,574,33542,省重点,none,公办,35628
北京交通大学(威海校区),通信工程(中外合作办学),9,586,38118,8,572,36142,8,573,34347,211,一流学科,公办,36202
华侨大学,信息工程(移动通信技术方向),2,587,37032,none,none,none,none,none,none,"全国重点,省重点",none,公办,37032
西南石油大学,通信工程,6,582,42260,6,571,37619,4,573,34212,省重点,一流学科,公办,38030
苏州科技大学,通信工程,2,586,38155,3,571,37599,2,568,38491,none,none,公办,38082
天津科技大学,通信工程,none,none,none,none,none,none,4,568,38426,省重点,none,公办,38426
大连交通大学,通信工程,2,585,39184,2,568,39911,2,566,40993,省重点,none,公办,40029
长沙理工大学,轨道交通信号与控制,2,586,37884,2,568,40153,2,564,43171,省重点,none,公办,40403
武汉工程大学,通信工程(融合通信与智慧互联方向),none,none,none,none,none,none,3,566,40673,none,none,公办,40673
西安建筑科技大学,通信工程,none,none,none,2,568,40651,2,566,40972,省重点,none,公办,40812
中国民航大学,通信工程,12,582,41617,10,567,41521,none,none,none,省重点,none,公办,41569
山东师范大学,通信工程,5,581,42600,11,567,41690,12,566,40589,省重点,none,公办,41626
昆明理工大学,通信工程,3,583,41188,3,567,41000,3,564,43225,省重点,none,公办,41804
东北电力大学,通信工程,6,583,40788,5,566,42053,5,563,43382,省重点,none,公办,42074
成都信息工程大学,通信工程,3,582,42233,3,566,42332,3,564,42440,省重点,none,公办,42335
青岛大学,通信工程,none,none,none,none,none,none,77,561,45712,省重点,none,公办,45712
天津工业大学,通信工程(中外合作办学),12,579,44735,12,562,46797,12,561,45930,省重点,一流学科,公办,45821
新疆大学,通信工程,7,568,57243,2,565,42983,3,569,38034,211,一流大学,公办,46087
南昌航空大学,通信工程,2,576,47696,2,562,47079,2,562,45243,省重点,none,公办,46673
青岛大学,通信工程(地方专项计划),none,none,none,none,none,none,5,560,46907,省重点,none,公办,46907
哈尔滨理工大学,通信工程,3,577,46859,3,562,47038,2,559,48266,省重点,none,公办,47388
长春理工大学,通信工程,2,576,48401,2,560,49077,2,559,47836,省重点,none,公办,48438
华东交通大学,通信工程,3,576,48194,5,560,48553,5,558,49441,省重点,none,公办,48729
山东师范大学,通信工程(地方专项计划),9,569,55412,8,559,49820,8,560,46974,省重点,none,公办,50735
山东科技大学,通信工程,70,573,51481,62,558,50825,58,557,50215,省重点,none,公办,50840
延边大学,通信工程(中外合作办学),3,574,50605,3,556,53517,5,554,54901,211,一流学科,公办,53008
南京工程学院,通信工程,4,568,56518,2,556,53374,2,556,52160,none,none,公办,54017
湖南科技大学,通信工程,none,none,none,none,none,none,2,554,54898,省重点,none,公办,54898
西安石油大学,通信工程,1,566,59213,1,555,54778,1,556,51699,none,none,公办,55230
青岛科技大学,通信工程,26,569,55348,37,553,56367,40,551,57789,省重点,none,公办,56501
沈阳理工大学,通信工程,1,560,67258,1,548,63417,1,564,42668,省重点,none,公办,57781
兰州交通大学,轨道交通信号与控制,2,568,57339,2,551,58879,4,550,59485,省重点,none,公办,58568
兰州交通大学,通信工程,3,566,59945,3,549,61580,3,547,63906,省重点,none,公办,61810
大连工业大学,通信工程,1,565,61071,2,549,61457,3,546,64281,省重点,none,公办,62270
沈阳工业大学,通信工程,2,563,62705,2,549,62017,3,547,63622,省重点,none,公办,62781
华北理工大学,通信工程,3,563,62693,5,547,64264,none,none,none,省重点,none,公办,63479
辽宁科技大学,通信工程,1,560,67101,1,547,64984,1,546,65124,none,none,公办,65736
中北大学,轨道交通信号与控制,none,none,none,none,none,none,6,544,67087,省重点,none,公办,67087
河南工业大学,通信工程,2,554,75495,2,543,69822,2,543,69233,省重点,none,公办,71517
沈阳建筑大学,通信工程,1,555,73648,1,542,71898,1,542,70219,省重点,none,公办,71922
云南师范大学,通信工程,none,none,none,2,541,72948,none,none,none,省重点,none,公办,72948
