院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国人民大学,金融学类,8,682,380,8,665,519,none,none,none,"985,211",一流大学,公办,450
中国人民大学,金融学类(含双学士学位项目),none,none,none,none,none,none,8,661,476,"985,211",一流大学,公办,476
武汉大学,金融学类(弘毅学堂数理经济与数理金融试验班),none,none,none,3,656,1105,2,651,1089,"985,211",一流大学,公办,1097
上海财经大学,金融学,4,672,1094,4,656,1050,4,648,1378,211,一流学科,公办,1174
南开大学,金融学类,7,671,1150,8,654,1269,8,647,1492,"985,211",一流大学,公办,1304
中央财经大学,金融学类,7,670,1231,7,653,1371,7,647,1493,211,一流学科,公办,1365
上海财经大学,金融学(双学士学位、统计学和金融学),none,none,none,none,none,none,5,647,1534,211,一流学科,公办,1534
武汉大学,国际经济与贸易(弘毅学堂数字贸易与金融试验班),none,none,none,2,652,1480,2,646,1617,"985,211",一流大学,公办,1549
中央财经大学,经济学(数理经济与数理金融),3,669,1327,3,651,1558,3,643,2075,211,一流学科,公办,1653
中央财经大学,金融学(国际金融与公司理财),3,668,1495,3,649,1718,3,641,2246,211,一流学科,公办,1820
对外经济贸易大学,金融工程,2,663,2111,none,none,none,none,none,none,211,一流学科,公办,2111
电子科技大学,计算机科学与技术(智能金融与区块链金融双A联合学位实验班),none,none,none,2,644,2390,2,643,2097,"985,211",一流大学,公办,2244
对外经济贸易大学,金融学,7,662,2301,none,none,none,none,none,none,211,一流学科,公办,2301
对外经济贸易大学,金融工程(量化金融实验班),3,663,2094,4,645,2228,4,637,2878,211,一流学科,公办,2400
华东师范大学,金融学(双学位),3,658,2873,2,643,2586,2,641,2338,"985,211",一流大学,公办,2599
对外经济贸易大学,金融学类,4,661,2379,11,641,2823,19,634,3525,211,一流学科,公办,2909
北京外国语大学,英语(中央财经大学金融学联合培养),none,none,none,none,none,none,2,636,3169,211,一流学科,公办,3169
对外经济贸易大学,金融数学,2,658,2957,3,637,3540,4,629,4488,211,一流学科,公办,3662
华东师范大学,金融学类,3,655,3519,3,636,3848,3,633,3674,"985,211",一流大学,公办,3680
西南财经大学,金融学(智能金融与区块链金融),1,653,3850,1,635,4019,none,none,none,211,一流学科,公办,3935
四川大学,金融学类,3,655,3529,5,634,4230,5,628,4843,"985,211",一流大学,公办,4201
北京外国语大学,金融学,1,657,3151,none,none,none,3,623,6014,211,一流学科,公办,4583
西南财经大学,金融学(经管国际化创新实验班),none,none,none,1,629,5341,1,632,3942,211,一流学科,公办,4642
中国政法大学,金融工程(成思危现代金融菁英班),4,651,4303,4,631,5043,4,624,5728,211,一流学科,公办,5025
北京邮电大学,金融学类,none,none,none,5,630,5141,none,none,none,211,一流学科,公办,5141
华东政法大学,法学(涉外卓越国际金融法律人才实验班),none,none,none,none,none,none,3,626,5400,省重点,none,公办,5400
上海外国语大学,金融学,2,648,5090,2,629,5509,2,623,6223,211,一流学科,公办,5607
西南财经大学,金融科技,1,643,6234,1,628,5706,1,624,5949,211,一流学科,公办,5963
西南财经大学,金融学(双语实验班),3,644,5939,3,627,6104,2,622,6303,211,一流学科,公办,6115
中国人民大学(苏州校区),金融学(中外合作办学),8,646,5459,8,623,7176,7,624,5832,"985,211",一流大学,公办,6156
西南财经大学,法学(法学与金融学双学位),1,642,6552,1,626,6250,1,621,6823,211,一流学科,公办,6542
中南大学,金融学类(经济管理类),11,643,6237,10,624,6808,11,619,7371,"985,211",一流大学,公办,6805
苏州大学,金融学,1,644,6027,none,none,none,2,618,7651,211,一流学科,公办,6839
西南财经大学,金融学类,4,643,6336,8,623,7036,5,618,7701,211,一流学科,公办,7024
西南财经大学,金融数学,2,639,7360,2,621,7825,1,616,8399,211,一流学科,公办,7861
中央财经大学,国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),10,641,6934,9,620,8134,8,615,8639,211,一流学科,公办,7902
苏州大学,金融数学,1,638,7824,1,622,7486,3,615,8635,211,一流学科,公办,7982
西南财经大学,金融学类(保险方向),none,none,none,3,618,8687,3,612,9798,211,一流学科,公办,9243
湖南大学,金融学,10,633,9464,10,617,9088,11,613,9342,"985,211",一流大学,公办,9298
西南财经大学,计算金融,none,none,none,2,615,9768,1,610,10677,211,一流学科,公办,10223
中南财经政法大学,金融学类,16,632,9622,16,614,10186,12,609,11044,211,一流学科,公办,10284
暨南大学,金融学,2,630,10409,2,613,10579,none,none,none,211,一流学科,公办,10494
中国海洋大学,金融学,13,629,11060,12,613,10800,12,608,11431,"985,211",一流大学,公办,11097
中南财经政法大学,金融学类(保险精算),none,none,none,none,none,none,4,608,11621,211,一流学科,公办,11621
中南财经政法大学,金融数学,none,none,none,4,612,11241,4,605,12688,211,一流学科,公办,11965
暨南大学,金融工程,none,none,none,none,none,none,3,605,13047,211,一流学科,公办,13047
南京航空航天大学,金融学,none,none,none,none,none,none,2,603,13705,211,一流学科,公办,13705
深圳大学,金融学,2,620,14738,2,608,12776,2,603,13894,none,none,公办,13803
北京林业大学,金融学,4,623,13476,4,604,14487,3,600,15457,211,一流学科,公办,14473
东华大学,数学类(金融与统计),2,622,14130,2,603,14810,3,601,14906,211,一流学科,公办,14615
上海对外经贸大学,金融学(全英语),2,626,12325,2,605,13956,2,595,17745,none,none,公办,14675
上海对外经贸大学,金融学,2,620,14916,2,604,14493,2,598,16484,none,none,公办,15298
河海大学,金融工程,3,619,15209,2,603,15080,2,598,16258,211,一流学科,公办,15516
深圳大学,金融科技,none,none,none,1,601,15963,1,600,15220,none,none,公办,15592
上海大学,金融学(中外合作办学),3,619,15216,3,601,15961,3,599,15660,211,一流学科,公办,15612
上海对外经贸大学,金融工程,2,619,15390,2,601,16090,none,none,none,none,none,公办,15740
东北财经大学,金融学类,2,613,18420,2,600,16735,2,597,16829,省重点,none,公办,17328
江南大学,金融学,7,615,17374,8,599,17156,7,595,17840,211,一流学科,公办,17457
广东外语外贸大学,金融学类,1,617,16565,1,597,18174,1,594,18713,省重点,none,公办,17817
西南财经大学,金融数学(中外合作办学)(金融服务与量化分析方向),4,612,18898,3,599,17444,4,594,18581,211,一流学科,公办,18308
河北工业大学,金融学,2,612,19065,2,595,19246,none,none,none,211,一流学科,公办,19156
南昌大学,金融学,4,612,19185,4,596,18905,5,592,19614,211,一流学科,公办,19235
福州大学,金融学,2,611,19579,none,none,none,none,none,none,211,一流学科,公办,19579
南京农业大学,金融学,10,611,19500,10,595,19745,10,591,20479,211,一流学科,公办,19908
山东大学威海分校,金融学(中外合作办学),39,609,21043,39,594,19992,39,593,19067,"985,211",一流大学,公办,20034
浙江财经大学,金融学类,4,614,18277,3,594,20348,3,587,22965,省重点,none,公办,20530
安徽大学,金融学,none,none,none,none,none,none,7,590,20884,211,一流学科,公办,20884
湖南师范大学,金融学,2,609,20951,none,none,none,none,none,none,211,一流学科,公办,20951
东北财经大学,金融数学,1,609,21192,none,none,none,none,none,none,省重点,none,公办,21192
辽宁大学,金融学类,5,609,20871,5,592,21146,5,589,21664,211,一流学科,公办,21227
南昌大学,金融数学,3,608,21372,none,none,none,none,none,none,211,一流学科,公办,21372
南京审计大学,金融学,4,610,20509,3,592,21645,3,586,23568,none,none,公办,21907
大连海事大学,金融工程,4,607,21864,4,592,21398,4,588,22633,211,一流学科,公办,21965
中国矿业大学,金融学,none,none,none,none,none,none,4,589,21982,211,一流学科,公办,21982
北方工业大学,经济与金融,1,613,18763,1,592,21077,1,583,26160,省重点,none,公办,22000
浙江工商大学,金融学类,2,609,20684,2,590,22740,2,587,22984,省重点,none,公办,22136
哈尔滨工程大学,金融学,6,608,21291,8,590,22702,9,587,23237,211,一流学科,公办,22410
东北财经大学,金融科技,1,608,21325,2,590,22598,3,584,24826,省重点,none,公办,22916
合肥工业大学,金融工程,5,606,22942,5,590,22774,6,586,23672,211,一流学科,公办,23129
江西财经大学,金融学(CFA方向),2,609,21082,3,588,23898,4,583,25656,省重点,none,公办,23545
海南大学,金融学,2,605,23668,3,589,23265,4,585,24601,211,一流学科,公办,23845
北京语言大学,金融学,4,609,21104,4,588,23914,4,581,27043,none,none,公办,24020
武汉理工大学,金融学(中外合作办学),5,604,24340,5,589,23573,5,585,24553,211,一流学科,公办,24155
江苏大学,金融学,2,603,24830,none,none,none,none,none,none,"全国重点,省重点",none,公办,24830
北京语言大学,经济学(经济金融统计与分析),none,none,none,1,593,21045,2,579,28890,none,none,公办,24968
南京财经大学,金融工程,2,602,25025,none,none,none,none,none,none,省重点,none,公办,25025
南京邮电大学,金融工程,none,none,none,none,none,none,6,584,25253,省重点,一流学科,公办,25253
南京财经大学,金融学类,4,604,23731,6,586,25221,6,581,27473,省重点,none,公办,25475
江西财经大学,金融学(FRM方向),2,606,22553,5,585,25814,4,580,28071,省重点,none,公办,25479
四川农业大学,金融学,3,600,26790,3,586,25517,3,584,24974,211,一流学科,公办,25760
辽宁大学,金融学(中外合作办学),none,none,none,none,none,none,1,583,25897,211,一流学科,公办,25897
江西财经大学,金融学类,7,602,25630,8,584,26550,none,none,none,省重点,none,公办,26090
上海师范大学,数学与应用数学(数学金融AI实验班),6,602,24986,6,585,25903,7,579,28878,省重点,none,公办,26589
天津财经大学,金融学类,10,603,24558,10,584,26570,10,579,28718,省重点,none,公办,26615
