院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学医学部,预防医学,3,685,280,3,674,239,3,669,222,"C9,985,211",一流大学,公办,247
四川大学,预防医学,4,641,6766,3,625,6484,3,619,7235,"985,211",一流大学,公办,6828
山东大学,预防医学(五年制),25,637,8098,30,619,8392,30,613,9627,"985,211",一流大学,公办,8706
中南大学,公共卫生与预防医学类(非临床五年制医学类),8,636,8305,8,617,8973,8,610,10619,"985,211",一流大学,公办,9299
天津医科大学,预防医学,2,629,11108,2,611,11377,2,608,11651,211,一流学科,公办,11379
首都医科大学,预防医学,2,629,10795,3,610,11799,4,605,12858,省重点,none,公办,11817
苏州大学,预防医学,1,626,11991,1,608,12541,2,605,12768,211,一流学科,公办,12433
南京医科大学,预防医学,2,628,11275,2,607,13051,2,601,14676,省重点,一流学科,公办,13001
吉林大学,预防医学,12,626,12320,12,606,13750,12,601,14926,"985,211",一流大学,公办,13665
中国医科大学,预防医学,3,622,13769,3,602,15847,none,none,none,none,none,公办,14808
南方医科大学,预防医学,2,621,14366,2,601,16068,3,597,16556,"全国重点,省重点",none,公办,15663
重庆医科大学,预防医学,2,608,21533,2,590,22688,2,586,23721,none,none,公办,22647
郑州大学,预防医学,12,609,21191,12,590,22444,12,584,24891,211,一流大学,公办,22842
哈尔滨医科大学,预防医学,2,608,21690,2,589,23257,2,583,25635,省重点,none,公办,23527
河北医科大学,预防医学,2,601,26079,none,none,none,none,none,none,省重点,none,公办,26079
湖南师范大学,预防医学,none,none,none,4,584,26444,4,581,27157,211,一流学科,公办,26801
重庆医科大学,卫生检验与检疫,2,602,25485,2,580,29986,1,577,30571,none,none,公办,28681
中国计量大学,卫生检验与检疫,1,598,28514,1,577,31787,1,575,32542,省市共建,none,公办,30948
江苏大学,预防医学,none,none,none,none,none,none,2,576,31467,"全国重点,省重点",none,公办,31467
徐州医科大学,公共卫生与预防医学类,2,594,31112,2,573,35500,none,none,none,省重点,none,公办,33306
天津中医药大学,预防医学,none,none,none,none,none,none,3,574,33420,省重点,一流学科,公办,33420
河北医科大学,公共卫生与预防医学类,none,none,none,4,578,31075,3,570,36806,省重点,none,公办,33941
延边大学,预防医学,3,589,35086,3,573,35301,3,570,36588,211,一流学科,公办,35658
广东医科大学,预防医学,2,590,34353,2,574,34984,3,568,39234,省重点,none,公办,36190
昆明医科大学,预防医学,1,589,35634,1,575,33606,1,565,41649,省重点,none,公办,36963
青岛大学,预防医学,49,592,32635,49,573,35597,49,564,43030,省重点,none,公办,37087
福建医科大学,预防医学,2,589,35001,2,571,37785,2,565,41646,省重点,none,公办,38144
青海大学,预防医学,1,582,42463,2,567,41572,2,565,42066,211,一流学科,公办,42034
杭州师范大学,预防医学,none,none,none,5,569,39520,10,561,46566,省重点,none,公办,43043
广西医科大学,预防医学,none,none,none,2,568,40683,2,560,46879,省重点,none,公办,43781
徐州医科大学,预防医学,none,none,none,none,none,none,2,562,44913,省重点,none,公办,44913
浙江中医药大学,卫生检验与检疫,none,none,none,none,none,none,2,560,47612,省重点,none,公办,47612
贵州医科大学,卫生检验与检疫,1,578,46416,1,564,44709,1,556,51809,省重点,none,公办,47645
锦州医科大学,预防医学,2,575,49048,2,561,47320,2,557,50820,none,none,公办,49063
山西医科大学,预防医学,4,576,47800,4,560,48744,3,553,55762,省重点,none,公办,50769
福建医科大学,卫生检验与检疫,2,574,50338,2,558,51131,2,554,54812,省重点,none,公办,52094
湖北中医药大学,卫生检验与检疫,none,none,none,2,555,54953,3,549,61076,省重点,none,公办,58015
石河子大学,预防医学,8,561,66139,6,551,59018,6,557,51211,211,一流学科,公办,58789
宁夏医科大学,预防医学,2,568,57352,2,553,56493,4,547,63724,none,none,公办,59190
广东药科大学,预防医学,3,568,56745,6,552,58483,5,548,62440,none,none,公办,59223
山东第一医科大学,预防医学,75,567,58417,74,550,60456,109,546,64687,none,none,公办,61187
