院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
华南理工大学,风景园林,1,647,5192,1,634,4283,1,624,5743,"985,211",一流大学,公办,5073
中国农业大学,园艺,3,633,9467,3,615,9743,3,610,10805,"985,211",一流大学,公办,10005
北京林业大学,风景园林,6,629,10803,6,609,12158,9,603,13869,211,一流学科,公办,12277
华东理工大学,风景园林,2,625,12415,none,none,none,none,none,none,211,一流学科,公办,12415
苏州大学,风景园林,2,623,13697,2,606,13745,none,none,none,211,一流学科,公办,13721
华东理工大学,风景园林(景观建筑规划方向),none,none,none,2,603,14917,2,596,17253,211,一流学科,公办,16085
深圳大学,风景园林,1,615,17485,1,596,18724,none,none,none,none,none,公办,18105
暨南大学,风景园林,2,615,17465,2,598,17805,2,591,20467,211,一流学科,公办,18579
北京林业大学,园林,8,613,18373,8,596,18805,9,591,20713,211,一流学科,公办,19297
西南大学,风景园林,2,614,18001,2,594,20123,2,588,22349,211,一流学科,公办,20158
西北农林科技大学,风景园林,4,609,20670,4,595,19431,4,589,21543,"985,211",一流大学,公办,20548
北京建筑大学,风景园林,none,none,none,none,none,none,1,591,20697,省重点,none,公办,20697
北京林业大学,园艺(观赏园艺方向),3,613,18818,3,593,20723,3,586,23547,211,一流学科,公办,21029
华中农业大学,风景园林,2,608,21537,2,595,19738,2,589,21819,211,一流学科,公办,21031
南京农业大学,风景园林,4,610,20132,4,593,20712,4,587,23033,211,一流学科,公办,21292
合肥工业大学,风景园林,none,none,none,2,589,23232,none,none,none,211,一流学科,公办,23232
西北农林科技大学,园林,3,603,24753,3,588,23725,3,589,21699,"985,211",一流大学,公办,23392
南京农业大学,园林,none,none,none,2,590,22642,2,585,24219,211,一流学科,公办,23431
华中农业大学,园林(国家卓越农林人才计划),6,600,26448,6,584,26729,1,591,20594,211,一流学科,公办,24590
西安建筑科技大学,风景园林,3,608,21540,2,587,24405,2,579,29096,省重点,none,公办,25014
华中农业大学,园艺(国家卓越农林人才计划),3,601,25706,3,584,26928,3,585,24267,211,一流学科,公办,25634
西南大学,园林,none,none,none,none,none,none,1,582,26559,211,一流学科,公办,26559
南京农业大学,园艺,none,none,none,6,584,26777,6,581,27296,211,一流学科,公办,27037
南京林业大学,风景园林,none,none,none,2,584,26866,2,580,28308,省重点,一流学科,公办,27587
西北农林科技大学,园艺(园艺类),10,598,28022,11,582,28370,14,577,30964,"985,211",一流大学,公办,29119
南京林业大学,园林,none,none,none,2,582,27960,2,577,31098,省重点,一流学科,公办,29529
中国美术学院,风景园林,none,none,none,none,none,none,2,577,30423,省重点,一流学科,公办,30423
东北林业大学,风景园林,6,596,29343,6,580,29751,6,573,33781,211,一流学科,公办,30958
海南大学,风景园林,2,600,26874,2,580,29592,2,570,36677,211,一流学科,公办,31048
四川农业大学,园林,3,597,28935,3,580,29750,3,572,34972,211,一流学科,公办,31219
东北农业大学,园艺(本硕博班),2,591,33513,2,578,31214,2,576,31910,211,一流学科,公办,32212
