院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
华南理工大学,食品科学与工程类,3,645,5895,2,622,7346,2,620,7080,"985,211",一流大学,公办,6774
中国农业大学,食品科学与工程类,8,642,6493,4,623,7252,8,617,8209,"985,211",一流大学,公办,7318
四川大学,工科试验班(食品与发酵),none,none,none,8,618,8867,none,none,none,"985,211",一流大学,公办,8867
四川大学,工科试验班(食品健康与安全),none,none,none,none,none,none,6,614,9015,"985,211",一流大学,公办,9015
吉林大学,食品科学与工程类,10,620,14918,10,601,16290,10,597,17015,"985,211",一流大学,公办,16074
中国海洋大学,食品科学与工程类,none,none,none,28,601,16151,28,597,17071,"985,211",一流大学,公办,16611
江南大学,食品科学与工程,15,612,19233,6,595,19490,5,593,19062,211,一流学科,公办,19262
大连理工大学(盘锦校区),环境生态工程(生态与食品工科实验班),9,613,18472,8,596,19171,6,591,20317,"985,211",一流大学,公办,19320
南京师范大学,食品科学与工程,5,614,17844,3,595,19756,3,589,21522,211,一流学科,公办,19707
暨南大学,食品科学与工程,2,611,19468,2,591,21772,none,none,none,211,一流学科,公办,20620
北京林业大学,食品科学与工程,5,615,17675,5,593,20483,5,586,23899,211,一流学科,公办,20686
江南大学,食品质量与安全,5,611,19556,5,593,20751,5,588,22456,211,一流学科,公办,20921
中国农业大学,食品质量与安全(中外合作办学),none,none,none,4,592,21092,none,none,none,"985,211",一流大学,公办,21092
中国农业大学,食品科学与工程(中外合作办学),none,none,none,5,592,21586,none,none,none,"985,211",一流大学,公办,21586
西南大学,食品科学与工程类,3,607,22231,2,591,21705,2,587,23117,211,一流学科,公办,22351
西北农林科技大学,食品营养与健康(卓越班),none,none,none,6,588,24142,6,586,23643,"985,211",一流大学,公办,23893
西北农林科技大学,食品科学与工程类,18,601,25857,18,587,24796,19,583,25527,"985,211",一流大学,公办,25393
南京农业大学,食品科学与工程类,12,603,24839,10,586,25631,13,582,26361,211,一流学科,公办,25610
西北大学,食品科学与工程,none,none,none,3,585,26199,3,581,27248,211,一流学科,公办,26724
华中农业大学,食品科学与工程类,12,601,26355,12,583,27488,12,580,28269,211,一流学科,公办,27371
南京农业大学,食品营养与健康,none,none,none,none,none,none,3,581,27622,211,一流学科,公办,27622
重庆医科大学,食品卫生与营养学,1,606,22802,1,582,27997,1,575,32635,none,none,公办,27811
合肥工业大学(宣城校区),食品科学与工程,4,598,27892,none,none,none,none,none,none,211,一流学科,公办,27892
合肥工业大学,食品科学与工程类,16,600,26457,12,581,29028,15,576,31141,211,一流学科,公办,28875
陕西师范大学,食品科学与工程类,11,600,26675,10,580,29370,9,576,31461,211,一流学科,公办,29169
东北农业大学,食品科学与工程(本硕博班),2,595,30279,3,581,28815,3,579,28951,211,一流学科,公办,29348
南昌大学,食品科学与工程类,9,599,27249,10,580,29601,10,576,31487,211,一流学科,公办,29446
合肥工业大学(宣城校区),食品质量与安全,2,597,28731,6,580,29820,6,575,32347,211,一流学科,公办,30299
