专业代号及名称,院校代号及名称,投档计划数,投档最低位次
1P历史学类,A027北京师范大学,3,2575
3P历史学类,A055南开大学,3,3394
23历史学类,A610四川大学,1,3696
37历史学,A269华东师范大学,2,3794
03历史学(广州),A558中山大学,5,4223
05历史学,E596中国社会科学院大学,4,6556
58历史学,A532湖南大学,1,7633
09历史学类,A422山东大学,26,8438
20历史学类,A511华中师范大学,2,8859
08历史学类,A052中央民族大学,3,9240
0Y历史学类,A319南京师范大学,5,12198
32历史学,A635西南大学,1,12623
13历史学类,A697西北大学,4,13364
B3历史学(师范类),A200东北师范大学,3,13580
17历史学类,A730兰州大学,9,14260
1B历史学类,A718陕西师范大学,9,14950
14历史学类,A459郑州大学,2,15795
64历史学(师范类),A574华南师范大学,7,17066
08历史学(师范类),A065天津师范大学,1,19402
0Z历史学,A673云南大学,4,19464
0Z历史学类,A357安徽大学,3,20425
1H历史学,A126内蒙古大学,1,23276
1J历史学,A126内蒙古大学,2,25452
15历史学类,A475河南大学,6,26087
1C历史学,A657贵州大学,3,27618
03历史学,A530湘潭大学,4,28002
0Q历史学(师范类),A320江苏师范大学,5,28521
03历史学(师范),A749宁夏大学,3,29059
05中国共产党历史,A530湘潭大学,3,30050
S8历史学(师范类),A512湖北大学,3,31738
21历史学(师范类),A637重庆师范大学,2,31943
2U中国共产党历史,A445山东师范大学,4,33294
03历史学,A108山西大学,4,33624
04历史建筑保护工程,A703西安建筑科技大学,3,34517
06历史学(师范类),A445山东师范大学,150,35597
0P历史学,A636四川师范大学,3,36420
39历史学(师范类，地方专项计划),A445山东师范大学,6,36571
3B历史学,A755新疆大学,2,37130
0E历史学类,A094河北师范大学,5,39688
15历史学(师范类),A370安徽师范大学,2,40053
0Z中国共产党历史(地方专项计划),A445山东师范大学,6,42827
43历史学(师范类),A332苏州科技大学,4,43312
36历史学(师范类),A513湖北师范大学,1,45147
1G历史学类,A414江西师范大学,12,45780
59历史学(师范类),A534湖南科技大学,1,47237
1Z历史学(师范类),A759石河子大学,4,47678
02历史学(师范),A489长江大学,1,48521
1Z历史学(师范类),A427济南大学,33,48788
7N历史学(师范类),A231哈尔滨师范大学,3,51739
0L历史学(师范类),A118山西师范大学,2,52954
07历史学(师范类),A602广西师范大学,4,54837
1A历史学(师范类，地方专项计划),A446曲阜师范大学,10,55733
0L历史学(师范类),A681云南师范大学,2,55948
20历史学(师范类),Y017青岛大学,40,57400
31历史学(师范类),A203吉林师范大学,1,57577
2B历史学(师范类),A446曲阜师范大学,222,58099
29历史学(师范类),A166沈阳师范大学,2,58709
F1历史学(师范类),A201北华大学,2,61302
1A历史学(师范类，济南走读),Y016济南大学,5,65511
22历史学(师范类),A638西华师范大学,4,65525
16历史学(师范类),B658海南师范大学,2,70015
0T历史学(师范类),A205长春师范大学,4,71037
20历史学(师范类),A720陕西理工大学,1,72544
01历史学(师范类),A418赣南师范大学,4,78653
2E历史学(师范类),A451鲁东大学,125,78956
PC历史学,A742西北民族大学,2,81868
44历史学(师范),B318江西科技师范大学,2,82909
28历史学,B407北方民族大学,1,84811
3G历史学(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,85366
2U历史学(师范类),A452临沂大学,21,93963
2T历史学(师范类),A447聊城大学,135,95245
09历史学(师范类),A546衡阳师范学院,1,99355
06历史建筑保护工程,A073天津美术学院,3,101802
03中国共产党历史,A608广西民族大学,2,103091
40历史学(师范类),A746青海师范大学,4,104012
06历史学(师范类),B080西安文理学院,2,105105
31历史学(师范类),A096保定学院,1,110491
05历史学(师范类),A482洛阳师范学院,6,114308
0J历史学(师范类),A119太原师范学院,5,114775
0Z历史学,A672贵州民族大学,2,119635
55历史学(师范类),A762新疆师范大学,7,120330
1E历史学(师范类),E276齐鲁师范学院,80,121127
03历史学类,A479安阳师范学院,4,122562
2L历史学(师范类),B067潍坊学院,37,122568
11历史学(师范类),A514黄冈师范学院,4,123909
03历史学(师范类),A483商丘师范学院,2,124201
07历史学(师范类),A399泉州师范学院,2,124446
0X外国语言与外国历史,A447聊城大学,40,127154
0D历史学(师范类),A449滨州学院,42,132354
42历史学(师范类),A478周口师范学院,2,132796
28历史学(师范类),A455菏泽学院,7,137440
34历史学(师范类),A124忻州师范学院,3,142750
0V历史学(师范类),A454济宁学院,40,143602
12历史学(师范类),A904枣庄学院,29,145344
41历史学,A233牡丹江师范学院,3,148455
47历史学(师范类),A548怀化学院,3,148717
04历史学(师范类),A122长治学院,2,150782
11历史学类,B100海南热带海洋学院,3,152394
0H历史学(师范类),B393昆明学院,2,152509
12历史学(师范类),A644四川文理学院,4,154092
0M历史学(师范类),A684曲靖师范学院,2,154684
0T历史学类,A453泰山学院,119,155357
39历史学(师范类),A753宁夏师范学院,2,156231
08历史学(师范类),A812吕梁学院,5,156912
09历史学(师范类),G127内蒙古科技大学包头师范学院,2,161862
18历史学(师范类),A666兴义民族师范学院,1,163806
31历史学(师范类),D744黑河学院,3,165165
13中国共产党历史,B445黑龙江工业学院,1,167299
1J历史学(师范类),A670黔南民族师范学院,1,168676
H1历史学(师范类),A764伊犁师范大学,9,169814
19历史建筑保护工程,B653南阳理工学院,3,170619
74历史学(师范类),A757塔里木大学,10,176158
1K历史学(师范类),A763喀什大学,14,176310
73历史学,A757塔里木大学,10,178435
0E历史学,B838贺州学院,4,185550
03历史学(师范类),D439赣南师范大学科技学院,4,190145
50历史建筑保护工程,E043四川文化艺术学院,2,227088
