专业代号及名称,院校代号及名称,投档计划数,投档最低位次
52社会科学试验班(含政治及行政学、国政等专业),A246复旦大学,5,780
10国际政治(含双学士学位项目),A002中国人民大学,7,887
40政治学与行政学(双学位),A269华东师范大学,2,3845
08政治学类,A384厦门大学,4,4673
24政治学与行政学,A053中国政法大学,3,4826
23国际政治,A053中国政法大学,2,5678
14政治学与行政学,E596中国社会科学院大学,4,7722
X7政治学类,A422山东大学,20,7994
DC政治学与行政学,A271上海外国语大学,1,8435
B3国际政治,A271上海外国语大学,1,8891
42思想政治教育,A635西南大学,1,10718
78政治学与行政学(国家治理与政治传播方向),A033中国传媒大学,2,10728
43政治学与行政学,A183吉林大学,6,11569
52政治学类,A511华中师范大学,2,11649
A3政治学与行政学,A423中国海洋大学,7,13315
01国际政治,H422山东大学威海分校,4,13934
02国际政治,A520中南财经政法大学,4,14967
R1思想政治教育,A294河海大学,2,15686
C2政治学类,A200东北师范大学,4,15886
F2思想政治教育(师范类),A542湖南师范大学,3,16019
20国际政治,A559暨南大学,2,16338
0Q思想政治教育,A652西南政法大学,2,17140
64政治学与行政学,A613西南交通大学,1,18193
F6政治学与行政学,A542湖南师范大学,2,18225
25思想政治教育,B414中国石油大学(北京),5,18324
33思想政治教育,A497武汉理工大学,5,20063
63思想政治教育,A295江南大学,6,20137
3H思想政治教育,A491中国地质大学(武汉),3,20148
13政治学与行政学,A726西北政法大学,2,21047
34思想政治教育,A710长安大学,4,21359
0G政治学与行政学,A673云南大学,3,22343
3D思想政治教育,A589海南大学,2,22455
0L思想政治教育,A217哈尔滨工程大学,2,22586
27国际政治,A726西北政法大学,1,23087
2E思想政治教育,A112太原理工大学,4,24552
19国际政治,A032北京语言大学,1,24619
21国际政治,A140辽宁大学,3,25270
7C思想政治教育(师范类),A345浙江师范大学,3,26522
06思想政治教育,A530湘潭大学,3,26748
20政治学与行政学,A065天津师范大学,2,27586
10思想政治教育(师范类),A475河南大学,5,28356
46政治学与行政学,A225东北林业大学,4,28670
43思想政治教育,A593广西大学,5,29404
15政治学与行政学,A126内蒙古大学,1,29745
1P思想政治教育,A059中国民航大学,1,30079
18政治学、经济学与哲学,A126内蒙古大学,1,30082
0H思想政治教育(师范类),A445山东师范大学,110,31086
06思想政治教育(师范类),A320江苏师范大学,5,31839
14思想政治教育,B835上海政法学院,2,32392
0Z思想政治教育,A616成都理工大学,4,32593
09思想政治教育(师范),A749宁夏大学,3,32756
01思想政治教育,A755新疆大学,3,32999
0J思想政治教育(师范类，地方专项计划),A445山东师范大学,6,33554
S7思想政治教育(师范类),A512湖北大学,4,34311
43思想政治教育,A615西南石油大学,2,34343
20思想政治教育(师范类),A637重庆师范大学,2,34470
28国际政治,A068天津外国语大学,1,35336
05思想政治教育,A636四川师范大学,2,35444
1L思想政治教育(师范类),A414江西师范大学,8,38253
08政治学类,A108山西大学,11,38459
03思想政治教育(师范类),A370安徽师范大学,2,38553
09政治学与行政学,A755新疆大学,3,42995
45思想政治教育(师范类),A332苏州科技大学,2,43282
2P国际政治,B065青岛大学,17,43631
38思想政治教育(师范类),A513湖北师范大学,2,43729
D4思想政治教育,H414中国石油大学(北京)克拉玛依校区,6,44111
15国际政治,A755新疆大学,3,45750
2D思想政治教育(师范类),A476河南师范大学,5,46809
01思想政治教育,A524中南民族大学,3,47576
11思想政治教育(师范类),A602广西师范大学,2,47666
1V国际政治(地方专项计划),B065青岛大学,5,50051
06思想政治教育(师范类),A373淮北师范大学,1,50300
04思想政治教育(师范类),A118山西师范大学,3,53762
22政治学与行政学,A759石河子大学,6,54710
12思想政治教育(师范),A489长江大学,2,54814
1G思想政治教育(师范类),A446曲阜师范大学,142,55072
0C思想政治教育(师范类),A427济南大学,46,56365
03思想政治教育(师范类),Y017青岛大学,30,57127
0K思想政治教育(师范类),A681云南师范大学,4,57398
63思想政治教育(师范类),A534湖南科技大学,2,57863
21思想政治教育(师范类),A203吉林师范大学,1,58676
A5思想政治教育,A188东北电力大学,4,59737
24思想政治教育(师范类),A166沈阳师范大学,4,62406
51思想政治教育,A619西南科技大学,3,66845
33思想政治教育(师范类),A694西藏大学,3,71291
88思想政治教育,A537湖南农业大学,3,72687
0W思想政治教育(师范类),A205长春师范大学,3,72912
06政治学与行政学,B406甘肃政法大学,1,74152
08思想政治教育,B406甘肃政法大学,1,75792
0T政治学与行政学,A446曲阜师范大学,65,79878
03政治学与行政学,A361安徽理工大学,4,80585
1R思想政治教育(师范类),A451鲁东大学,131,81726
B1思想政治教育(师范类),A201北华大学,2,81944
12政治学与行政学,C453中国劳动关系学院,9,82248
1U政治学与行政学(地方专项计划),A446曲阜师范大学,10,82816
04思想政治教育(师范类),A418赣南师范大学,4,82951
14思想政治教育(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,85497
4T思想政治教育(师范),B318江西科技师范大学,2,89600
3P思想政治教育(师范类),A447聊城大学,115,90896
40思想政治教育(师范类),A167渤海大学,8,91286
1D思想政治教育(师范类),A452临沂大学,31,92197
51思想政治教育(师范类),C034湖南第一师范学院,2,93839
07思想政治教育(师范类),A546衡阳师范学院,1,99489
21思想政治教育(师范类),A096保定学院,1,101135
02政治学与行政学,A691云南民族大学,4,104657
16思想政治教育(师范类),E437南昌师范学院,1,106286
05思想政治教育,A127内蒙古科技大学,1,107880
01政治学与行政学,A608广西民族大学,2,108508
05政治学与行政学,B726长春大学,2,109489
01思想政治教育(师范类),A482洛阳师范学院,6,110190
0W思想政治教育,A193吉林农业大学,4,110562
02政治学、经济学与哲学(地方专项计划),A447聊城大学,5,114407
56思想政治教育,A219黑龙江科技大学,2,115351
06思想政治教育(师范类),A119太原师范学院,3,119596
18思想政治教育(师范类),E276齐鲁师范学院,75,120235
01思想政治教育(师范类),A762新疆师范大学,6,120730
01思想政治教育(师范类),A514黄冈师范学院,4,121430
28思想政治教育(师范类),B067潍坊学院,37,122468
23思想政治教育(师范类),A722咸阳师范学院,3,124542
01思想政治教育,A624中国民用航空飞行学院,2,126457
0R政治学与行政学(法治政务方向),E100山东政法学院,31,127572
70思想政治教育(师范类),A136内蒙古民族大学,3,128265
2X政治学、经济学与哲学,A447聊城大学,66,128554
14思想政治教育(师范类),A479安阳师范学院,4,132112
05政治学与行政学,A119太原师范学院,2,132737
1S思想政治教育(师范类),A449滨州学院,57,136055
13思想政治教育(师范类),A453泰山学院,60,137976
60思想政治教育(师范类),A102石家庄学院,5,138575
41思想政治教育(师范类),A478周口师范学院,2,141007
35思想政治教育(师范类),A124忻州师范学院,1,141226
08思想政治教育(师范类),A748青海民族大学,4,141883
11思想政治教育(师范类),A721宝鸡文理学院,2,141929
05思想政治教育(师范类),A101衡水学院,2,141965
1S思想政治教育(师范类),A448德州学院,69,141977
07政治学与行政学,B688山东工商学院,31,145383
5A思想政治教育(师范类),E458张家口学院,1,145443
D1思想政治教育(师范类),B527湖南城市学院,2,147204
07思想政治教育(师范类),A904枣庄学院,36,148178
1H思想政治教育(师范类),A454济宁学院,100,148184
11思想政治教育(师范类),A122长治学院,4,148337
01思想政治教育(师范类),A455菏泽学院,39,149424
0C思想政治教育,E277山东青年政治学院,65,150544
05思想政治教育(师范类),A640内江师范学院,2,150732
03政治学与行政学,A101衡水学院,2,150752
03思想政治教育(师范类),B390玉溪师范学院,2,151707
05思想政治教育(师范类),A104邢台学院,5,151900
HT思想政治教育(师范类),B709呼和浩特民族学院,1,153131
20思想政治教育(师范类),A553湖南人文科技学院,3,155171
06思想政治教育(师范类),A547邵阳学院,3,155684
11思想政治教育(师范类),A644四川文理学院,4,156178
02思想政治教育(师范类),A202通化师范学院,2,157531
09思想政治教育(师范类),A646阿坝师范学院,1,158970
03思想政治教育(师范类),B396商洛学院,2,159480
0T政治学与行政学,E277山东青年政治学院,100,159711
01思想政治教育(师范类),A812吕梁学院,5,159796
03思想政治教育(师范类),G127内蒙古科技大学包头师范学院,1,161179
01思想政治教育(师范类),B397安康学院,2,161985
01思想政治教育(师范类),A206白城师范学院,5,162285
21政治学与行政学,A481南阳师范学院,5,168995
01政治学与行政学,G127内蒙古科技大学包头师范学院,2,171361
04思想政治教育(师范类),A666兴义民族师范学院,1,172402
04思想政治教育(师范类),A605河池学院,3,173421
31思想政治教育(师范类),A764伊犁师范大学,5,173918
1C思想政治教育(师范类),B838贺州学院,5,177527
18思想政治教育(师范类),D411河北师范大学汇华学院,5,178568
07思想政治教育(师范类),A763喀什大学,30,185676
44思想政治教育(教师教育),D421南昌工学院,2,207427
4A思想政治教育,D671成都文理学院,8,209989
0H思想政治教育,D215辽宁师范大学海华学院,1,215050
04思想政治教育,E000潍坊理工学院,100,224028
