专业代号及名称,院校代号及名称,投档计划数,投档最低位次
21汉语言文学,A269华东师范大学,3,3448
01汉语言文学(广州),A558中山大学,5,3846
03汉语言文学,E596中国社会科学院大学,2,4790
22汉语国际教育,A269华东师范大学,3,4903
07汉语言文学,A030北京外国语大学,2,5110
11汉语言文学,A053中国政法大学,2,6685
9G汉语言文学,A183吉林大学,2,7192
08汉语国际教育,A030北京外国语大学,2,7300
47汉语言文学,A532湖南大学,3,7612
54汉语言,A033中国传媒大学,4,8065
11汉语言文学,A052中央民族大学,4,8556
C2汉语国际教育,A271上海外国语大学,2,9285
01汉语国际教育,A319南京师范大学,2,11060
B2汉语言文学(师范类),A200东北师范大学,3,11702
0W汉语言文学(文创实验班),A651西南财经大学,2,11750
10汉语国际教育,A052中央民族大学,3,11910
01汉语言文学,A559暨南大学,2,12121
9Z汉语言文学,A423中国海洋大学,16,12416
05汉语言文学,H422山东大学威海分校,49,13085
B2汉语言文学(师范类),A542湖南师范大学,4,13429
0H汉语言文学,A520中南财经政法大学,2,13537
10汉语言文学,A730兰州大学,9,14210
22汉语言文学,A613西南交通大学,3,14917
0U汉语言文学(威海走读),Y011山东大学威海分校,3,14963
01汉语言文学(师范类),A574华南师范大学,6,14987
61汉语国际教育,A559暨南大学,2,15248
65汉语言文学,A590深圳大学,1,16511
57汉语言文学(师范类),A295江南大学,13,16859
18汉语言文学,A032北京语言大学,3,16895
6U汉语言文学,A425中国石油大学(华东),16,17788
52汉语国际教育,A613西南交通大学,1,18105
05汉语国际教育,A712西北农林科技大学,2,18541
0N汉语言文学,A673云南大学,5,19278
01汉语言文学,A140辽宁大学,5,19279
B0汉语国际教育(师范类),A542湖南师范大学,4,19396
52汉语言文学(师范类),A270上海师范大学,5,19428
3Y汉语言文学(师范类),B117扬州大学,1,19490
36汉语国际教育,A032北京语言大学,3,20000
48汉语言文学,A043北京体育大学,2,21119
3Z汉语言文学,A589海南大学,2,21261
19汉语言文学,A126内蒙古大学,2,21969
1L汉语言文学(多语复合),A031北京第二外国语学院,2,22293
15汉语国际教育,A043北京体育大学,1,22670
74汉语言文学(师范类),A300南京信息工程大学,3,23188
48汉语国际教育,A140辽宁大学,3,23192
1A汉语言文学,A126内蒙古大学,2,23441
50汉语言文学,A300南京信息工程大学,2,23560
01汉语言文学(师范类),A065天津师范大学,11,24373
11汉语国际教育,A080河北工业大学,2,24444
08汉语言文学,A299江苏大学,2,24706
31汉语言文学,A068天津外国语大学,1,25287
09汉语言文学(师范类),A299江苏大学,2,25336
A5汉语言文学,A298南京林业大学,4,25432
31汉语言文学,A530湘潭大学,4,26628
M0汉语言文学(厦门大学马来西亚分校招生专业),A384厦门大学,1,26861
05汉语言文学,A009北方工业大学,2,27710
32汉语言文学,A593广西大学,10,27724
0D汉语言文学(师范类),A320江苏师范大学,5,28324
01汉语言文学(师范),A749宁夏大学,3,28650
1B汉语国际教育,A126内蒙古大学,1,29333
04汉语言文学,A216燕山大学,2,29716
39汉语言文学(师范类),A513湖北师范大学,2,29925
01汉语言文学,A560汕头大学,3,30246
18汉语国际教育,A068天津外国语大学,2,30573
0E汉语言文学,A636四川师范大学,3,31089
01汉语言文学,A108山西大学,8,31228
43汉语国际教育,A224东北农业大学,5,31911
02汉语言文学(师范类),A370安徽师范大学,2,31931
A7汉语言文学,A724西安外国语大学,2,31932
70汉语言文学,A390集美大学,2,32667
01汉语言文学(师范类),A304南通大学,2,33189
10汉语言文学,A212黑龙江大学,2,33389
96汉语言文学,A755新疆大学,9,33588
23汉语言文学,B065青岛大学,61,34420
51汉语言文学(师范类),A736西北师范大学,2,35771
W2汉语言文学,A703西安建筑科技大学,2,37166
32汉语言文学(地方专项计划),B065青岛大学,10,38212
B1汉语言文学,A592广东财经大学,1,38480
1U汉语言文学(师范类),A759石河子大学,4,39258
05汉语国际教育,A216燕山大学,2,39637
C5汉语言文学,H414中国石油大学(北京)克拉玛依校区,6,40171
55汉语言文学,A341浙江农林大学,1,40337
0X汉语言文学,B047上海立信会计金融学院,1,40608
16汉语言文学(师范类),E275浙江外国语学院,2,40713
10汉语国际教育,B835上海政法学院,3,40944
11汉语国际教育(师范类),A445山东师范大学,60,41270
K0汉语言文学,A060天津理工大学,6,41795
0F汉语国际教育(师范类),A320江苏师范大学,4,42018
10汉语言文学,A536长沙理工大学,2,42131
04汉语国际教育,A385华侨大学,5,42191
1Z汉语国际教育(师范类，地方专项计划),A445山东师范大学,5,42667
02汉语言文学(师范类),A602广西师范大学,6,42795
6E汉语国际教育,A755新疆大学,3,43019
1M汉语国际教育(含文化传播、智慧教学方向),A490武汉工程大学,3,43534
0F汉语国际教育,A636四川师范大学,2,44158
57汉语言文学(师范类),A534湖南科技大学,1,44951
0M汉语言文学,A424山东科技大学,28,45370
26汉语言文学(师范类),Y017青岛大学,65,46518
35汉语言文学(网络文学与创意写作),B647浙江传媒学院,2,46604
0A汉语言文学(师范类),A446曲阜师范大学,218,47441
40汉语国际教育(师范类),A513湖北师范大学,2,47586
16汉语言文学,A404华东交通大学,2,47721
12汉语言文学(师范类),A373淮北师范大学,2,48344
36汉语言文学,B647浙江传媒学院,5,48730
16汉语言文学(师范类，地方专项计划),A446曲阜师范大学,10,48773
40汉语国际教育,A057天津科技大学,5,48867
47汉语国际教育(商务方向),A421江西财经大学,4,49185
0W汉语言文学(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,49477
16汉语言文学,A705西安石油大学,2,49798
1U汉语言文学,A456山东财经大学,20,49888
11汉语言文学(师范类),A203吉林师范大学,2,51184
0D汉语言文学(师范类),A681云南师范大学,4,51358
07汉语国际教育(师范类),A736西北师范大学,2,51583
W3汉语国际教育,A703西安建筑科技大学,2,53627
1S汉语言文学,A426青岛科技大学,20,53707
