专业代号及名称,院校代号及名称,投档计划数,投档最低位次
08英语(医学英语),H001北京大学医学部,5,346
41英语(中央财经大学金融学联合培养),A030北京外国语大学,2,3169
10英语(中国政法大学联合培养涉外法治人才),A030北京外国语大学,2,3590
09英语,A030北京外国语大学,3,3761
23英语,A269华东师范大学,1,3933
01英语,A271上海外国语大学,2,5370
D2英语(教育),A271上海外国语大学,2,6214
D4商务英语,A271上海外国语大学,2,6850
12英语(法律英语实验班),A053中国政法大学,4,6945
QB英语,A610四川大学,5,7283
04英语,A319南京师范大学,2,9316
38商务英语,A561华南理工大学,2,10097
45英语(语言智能实验班),A532湖南大学,2,10538
29英语,A019中国农业大学,2,11058
B4英语(师范类),A200东北师范大学,2,11072
0F英语,A013北京邮电大学,4,11632
12英语,A183吉林大学,10,12631
0T英语(涉外法商),A276华东政法大学,3,12818
22英语,A635西南大学,2,13468
03英语,A141大连理工大学,5,13485
19外国语言文学类(英语),A718陕西师范大学,3,13819
96英语,A423中国海洋大学,15,14156
22英语,H213哈尔滨工业大学(威海),10,14197
14翻译(英语),A032北京语言大学,1,15439
1A英语(民航业务、国际贸易),A287南京航空航天大学,2,15854
11英语,A730兰州大学,7,16503
1F英语,A357安徽大学,3,17239
67商务英语,A559暨南大学,2,17415
40英语,A022北京林业大学,3,17618
47英语,A028首都师范大学,5,17699
S1英语,A294河海大学,3,17972
08英语,A559暨南大学,3,18281
12商务英语,H141大连理工大学(盘锦校区),6,18355
5N英语,A255东华大学,4,18405
26英语,B414中国石油大学(北京),4,18512
04英语,A712西北农林科技大学,5,18779
10英语,A010北京化工大学,2,19032
41商务英语,A022北京林业大学,2,19106
01国际经济与贸易(全英语),A273上海对外经贸大学,2,20044
B7商务英语,A200东北师范大学,2,20134
50英语,A425中国石油大学(华东),23,20345
5F英语,B415中国地质大学(北京),4,20566
01英语(人文交流),A031北京第二外国语学院,2,20637
2V英语(中医药国际传播),A026北京中医药大学,1,21067
92英语,B413中国矿业大学(北京),4,21069
59英语,A295江南大学,18,21299
18英语,A726西北政法大学,1,21693
19英语(医学),A026北京中医药大学,2,21705
41英语,A710长安大学,2,21900
5E英语(师范类),A270上海师范大学,4,22130
13英语,B846广东外语外贸大学,2,22395
04商务英语(国际文化贸易),A031北京第二外国语学院,1,22474
29英语,A140辽宁大学,5,22662
3D英语,A491中国地质大学(武汉),8,23012
MG英语(厦门大学马来西亚分校招生专业),A384厦门大学,1,23112
20英语,A151大连海事大学,6,23126
16英语,A043北京体育大学,2,23285
20英语,B646宁波大学,2,23515
42英语,A386福州大学,2,23530
27英语(师范类),A065天津师范大学,5,23751
0G英语(师范类),B117扬州大学,1,23846
22英语,A307南京农业大学,8,23882
0H英语,A217哈尔滨工程大学,4,23897
1A英语(师范类),A475河南大学,2,23925
75英语(师范类),A300南京信息工程大学,2,24116
15英语,A080河北工业大学,2,24322
42商务英语,B846广东外语外贸大学,1,24530
3B英语(英日),A403南昌大学,3,24740
0P英语,A673云南大学,4,25010
1K英语,A293南京邮电大学,5,25142
1D英语,A359合肥工业大学,8,25806
52英语,A300南京信息工程大学,2,25905
1J英语,A112太原理工大学,4,26102
0F英语,H359合肥工业大学(宣城校区),2,26236
1K英语(英俄双语方向),A112太原理工大学,2,26498
1L英语(英日双语方向),A112太原理工大学,4,26827
01外国语言文学类(英语类),A068天津外国语大学,6,27374
G8英语,A184延边大学,2,28402
47英语,A225东北林业大学,4,28720
1A英语,A589海南大学,14,29303
39英语,A058天津工业大学,4,29363
35英语,A530湘潭大学,5,29415
A9英语,A724西安外国语大学,12,29554
S6英语(师范类),A394福建师范大学,4,29635
AX商务英语,A724西安外国语大学,2,29943
23英语,A626四川农业大学,3,30205
1C英语,A126内蒙古大学,2,30963
06英语,A009北方工业大学,2,30985
27法学(涉外法务英语特色班),A560汕头大学,2,31037
0V英语,B065青岛大学,19,32710
0H英语,A636四川师范大学,3,32740
09英语,A108山西大学,3,32783
0H英语(师范类),A320江苏师范大学,5,33353
34英语(师范类),A637重庆师范大学,4,33444
0D英语(师范),A749宁夏大学,4,34443
13英语,A631重庆医科大学,1,34585
0B英语,A172大连外国语大学,12,34969
02英语,A560汕头大学,2,35008
13英语,A212黑龙江大学,2,35179
33英语,A650四川外国语大学,15,36317
02英语,E275浙江外国语学院,2,36991
0W英语,B835上海政法学院,3,37171
34英语,A385华侨大学,3,38103
48英语,B647浙江传媒学院,1,38288
35商务英语,A650四川外国语大学,4,38547
64英语,A390集美大学,2,38917
03英语(民航外语),A059中国民航大学,8,39271
01英语(师范类),E275浙江外国语学院,2,39303
A5商务英语,A592广东财经大学,1,39968
K1英语,A060天津理工大学,4,40397
23翻译(英语翻译方向),A212黑龙江大学,2,40668
1K英语(辅修法学专业双学位),A490武汉工程大学,2,40870
0E英语,A755新疆大学,4,40893
0N英语(师范类),A476河南师范大学,5,41261
06外国语言文学类(英语),A216燕山大学,6,41952
12英语,A536长沙理工大学,2,42235
KW英语,B664西安邮电大学,4,42431
2L英语(师范类),A414江西师范大学,24,42876
0X英语,A633成都中医药大学,6,42936
41英语,A057天津科技大学,4,43435
37商务英语,A421江西财经大学,3,45381
33商务英语,A304南通大学,2,45470
71英语,A700西安理工大学,5,45843
0P英语(中外合作办学)(中美合作),A252上海理工大学,5,46375
7H英语(师范类),A231哈尔滨师范大学,3,46541
1J英语(含文化传播、英语教育、商务方向),A490武汉工程大学,4,46543
56英语,A341浙江农林大学,2,46615
W4英语,A704西安科技大学,2,47648
C3英语,H414中国石油大学(北京)克拉玛依校区,5,48823
W4英语,A703西安建筑科技大学,2,49174
1R英语(师范类),A446曲阜师范大学,141,49820
32英语(应用翻译方向),A069天津商业大学,2,49855
39商务英语,B799重庆工商大学,2,49903
08英语(中外合作办学)(2加2),F301宁波诺丁汉大学,3,49954
50英语(师范类),A736西北师范大学,4,51715
24英语,A759石河子大学,6,52358
22英语,B417北京联合大学,4,52745
41英语(师范类),A203吉林师范大学,3,54470
07英语(中外合作办学),F301宁波诺丁汉大学,4,54483
0N商务英语,B047上海立信会计金融学院,2,54513
31英语(含师范类、非师范类),A681云南师范大学,2,55953
1D英语,A143沈阳航空航天大学,2,55965
1F英语(师范类),Y017青岛大学,60,56797
2T英语,A427济南大学,74,56800
27商务英语,A037北京物资学院,1,57488
29商务英语,E655深圳技术大学,4,57571
45英语,A702西安工业大学,2,58237
1Y英语(外语语种须为英语),A424山东科技大学,115,58501
47商务英语,B660重庆理工大学,3,58669
26商务英语(实验班),A037北京物资学院,1,59169
36英语,A344浙江中医药大学,3,59672
29英语(师范类),A602广西师范大学,5,59844
12英语,A404华东交通大学,2,59876
16商务英语,A125山西财经大学,2,59923
73英语(师范类),A066天津职业技术师范大学,2,59987
1K英语,A364安徽农业大学,2,61664
15英语,A507湖北中医药大学,2,61903
12英语,A656西南民族大学,3,62707
34商务英语,A378安徽财经大学,2,63281
57商务英语(中外合作办学),A650四川外国语大学,7,63710
1M英语,A426青岛科技大学,76,64521
0F英语(师范类，非西藏生源定向西藏就业),Y006山东师范大学,3,65002
31英语,A732兰州交通大学,1,65294
63英语,A537湖南农业大学,5,65339
43英语,A340浙江海洋大学,2,66163
44商务英语,A340浙江海洋大学,2,66259
