专业代号及名称,院校代号及名称,投档计划数,投档最低位次
04口腔医学,H001北京大学医学部,1,159
05口腔医学,H001北京大学医学部,1,184
06口腔医学(5+3一体化),H248上海交通大学医学院,4,430
65口腔医学,H246复旦大学医学院,2,520
76口腔医学(八年),A610四川大学,2,633
D5口腔医学(八年制),A486武汉大学,2,867
9B口腔医学(5+3一体化培养),H335浙江大学医学院,8,927
74口腔医学(五年),A610四川大学,3,1278
04口腔医学(5+3一体化),A025首都医科大学,1,1320
04口腔医学,P030空军军医大学,1,1416
D6口腔医学(五年制),A486武汉大学,2,1895
08口腔医学,A025首都医科大学,1,2066
92口腔医学(5+3一体化),A533中南大学,2,2196
28口腔医学(5+3一体化),A422山东大学,30,3463
B7临床医学类(临床及口腔五年制医学类),A533中南大学,16,3759
2C口腔医学(5+3一体化),A062天津医科大学,3,4227
03口腔医学(5+3一体化),A312南京医科大学,2,4353
29口腔医学(五年制),A422山东大学,20,4597
95口腔医学,A183吉林大学,2,5329
10口腔医学,A312南京医科大学,2,6136
0A口腔医学,C121南方医科大学,2,6277
05口腔医学,A631重庆医科大学,2,6366
05口腔医学,P030空军军医大学,4,6682
16口腔医学,A159中国医科大学,2,7010
0B口腔医学,A226哈尔滨医科大学,1,7072
3D口腔医学,A559暨南大学,2,7295
04口腔医学,A161大连医科大学,2,9510
61口腔医学,A730兰州大学,11,10490
76口腔医学,A403南昌大学,4,10880
48口腔医学,A459郑州大学,4,11254
0C口腔医学,A366安徽医科大学,2,12532
48口腔医学,A697西北大学,2,13104
08口腔医学,A392福建医科大学,2,15761
08口腔医学,A571广东医科大学,2,17370
08口腔医学,A541湖南中医药大学,8,17432
05口腔医学,A678昆明医科大学,1,19099
04口腔医学,B065青岛大学,35,20179
17口腔医学,A344浙江中医药大学,1,20820
34口腔医学,A160锦州医科大学,1,21068
72口腔医学,A304南通大学,2,21185
11口腔医学,A114山西医科大学,2,23060
39口腔医学,B258大连大学,4,23220
89口腔医学,A081华北理工大学,2,24386
06口腔医学,D284温州医科大学仁济学院,1,25568
15口腔医学,A743青海大学,1,27390
05口腔医学,A164沈阳医学院,1,28016
0M口腔医学技术,A631重庆医科大学,2,30016
54口腔医学,A114山西医科大学,1,31648
0Y口腔医学,A759石河子大学,4,31960
09口腔医学,A598广西医科大学,2,33080
C1口腔医学,A752宁夏医科大学,2,35766
53口腔医学,A694西藏大学,1,39000
0V口腔医学,A439山东第一医科大学,120,42312
0U口腔医学,A440滨州医学院,76,42964
12口腔医学,A438潍坊医学院,72,47035
0A口腔医学,A929湖北医药学院,1,50213
33口腔医学,A352丽水学院,2,52255
06口腔医学,A117长治医学院,1,53899
03口腔医学,A601桂林医学院,1,56466
1E口腔医学,A443济宁医学院,60,56470
02口腔医学,A823长沙医学院,2,57367
08口腔医学,B810海南医学院,3,58297
04口腔医学,A760新疆医科大学,8,60229
10口腔医学,A634川北医学院,5,64738
0H口腔医学技术,A439山东第一医科大学,25,67141
04口腔医学,D661天津医科大学临床医学院,4,77984
02口腔医学,D332昆明医科大学海源学院,2,89975
H2口腔医学,D560新疆第二医学院,8,93200
12口腔医学技术,A262上海健康医学院,5,101718
0B口腔医学技术,A440滨州医学院,20,105870
0H口腔医学技术,E432河北中医学院,3,121014
3Z口腔医学技术,A447聊城大学,69,130284
34口腔医学技术(地方专项计划),A447聊城大学,5,130600
12口腔医学技术,D706吉林医药学院,2,135574
0V口腔医学,A825齐鲁医药学院,68,164646
05口腔医学,D324山东协和学院,15,187381
0B口腔医学技术,A825齐鲁医药学院,15,204824
0G口腔医学技术,E172海南科技职业大学,3,226986
