专业代号及名称,院校代号及名称,投档计划数,投档最低位次
23护理学,A025首都医科大学,2,25443
02护理学,A023北京协和医学院,10,26948
2R护理学,A062天津医科大学,3,28596
09护理学(护师),P020海军军医大学,1,28800
Y2护理学,H614电子科技大学(沙河校区),5,29003
99护理学,A183吉林大学,13,29498
2S护理学(助产方向),A062天津医科大学,1,31939
21护理学,A026北京中医药大学,6,32206
09护理学,P030空军军医大学,3,33049
7C护理学,A403南昌大学,6,34061
10护理学,A631重庆医科大学,1,37271
25护理学,A312南京医科大学,5,42583
0B护理学,A315南京中医药大学,10,45693
36护理学,A184延边大学,3,46561
16护理学类,A313徐州医科大学,2,50514
23护理学,A161大连医科大学,2,50613
24护理学,A572广州中医药大学,3,51740
76护理学,A304南通大学,2,56198
1G护理学,B065青岛大学,35,59319
0Q护理学,A392福建医科大学,3,62879
BL护理学,A343温州医科大学,3,62952
0M护理学,A226哈尔滨医科大学,4,64157
39护理学,A160锦州医科大学,1,67490
22护理学,A344浙江中医药大学,6,68197
25护理学类,A089河北医科大学,5,68434
0J护理学,A633成都中医药大学,10,69309
23护理学,A743青海大学,5,71458
11护理学,A759石河子大学,10,75710
10护理学,A541湖南中医药大学,8,77175
0R护理学,A507湖北中医药大学,2,78012
21护理学,A114山西医科大学,3,78343
25护理学(地方专项计划),B065青岛大学,15,80068
85护理学,B075三峡大学,2,80563
42护理学,B258大连大学,6,86459
1W护理学,A346杭州师范大学,8,87236
F1护理学,A752宁夏医科大学,2,96680
25护理学,A598广西医科大学,4,99277
54护理学,A489长江大学,7,99934
81护理学,A674昆明理工大学,4,100551
56护理学,A694西藏大学,4,102528
11护理学,A555南华大学,9,106953
0B护理学,A164沈阳医学院,1,108970
70护理学,A460河南理工大学,2,110958
0J护理学,A199长春中医药大学,2,111740
HZ护理学(中外合作办学),A678昆明医科大学,1,112372
12护理学,C214湖南医药学院,1,113466
59护理学,A114山西医科大学,4,114293
83护理学,A081华北理工大学,6,114808
1S护理学,A076河北工程大学,2,117822
15护理学,A680云南中医药大学,1,117835
81护理学,A464河南科技大学,8,118434
0X护理学,A661遵义医科大学,5,122747
12护理学,A093承德医学院,3,123374
2G护理学,A361安徽理工大学,6,124212
0N护理学,A412江西中医药大学,6,124567
0G护理学,D437南昌医学院,2,128207
06护理学,A228黑龙江中医药大学,6,129330
PE护理学,A719延安大学,2,129549
02护理学类(地方专项计划),A439山东第一医科大学,10,130304
0U护理学,A369安徽中医药大学,6,132712
D3护理学,A735甘肃中医药大学,2,132996
0G护理学,A471河南中医药大学,4,133166
V1护理学,A201北华大学,6,135273
19护理学,B810海南医学院,2,135698
1D护理学类,A439山东第一医科大学,370,139918
0L护理学,A441山东中医药大学,214,142186
1R护理学(地方专项计划),A441山东中医药大学,15,142911
0L护理学,E432河北中医学院,2,144802
17护理学,B840西安医学院,5,145287
2F护理学,A600广西中医药大学,2,145289
12护理学,A809山西中医药大学,12,148589
2V护理学,A447聊城大学,75,150378
59护理学,A347湖州师范学院,5,150580
09护理学,A438潍坊医学院,174,151814
07护理学,A679大理大学,6,153274
13护理学,A117长治医学院,3,154500
0Z护理学(校企合作，与北京圣辅国际教育科技合作),A439山东第一医科大学,30,155432
A6护理学,A136内蒙古民族大学,2,158869
07护理学,A222佳木斯大学,18,159675
LF护理学,A742西北民族大学,2,159687
02护理学,A440滨州医学院,227,161545
3B护理学,E458张家口学院,1,162781
14护理学,D706吉林医药学院,4,164144
0K护理学,A443济宁医学院,181,164886
31护理学,B653南阳理工学院,2,165204
C1护理学,A132内蒙古医科大学,4,166274
1H护理学,B393昆明学院,2,166603
35护理学,A352丽水学院,3,168822
M4护理学,A417宜春学院,2,170241
0L护理学,A448德州学院,85,170284
23护理学,A760新疆医科大学,20,170743
24护理学,B843九江学院,4,171986
44护理学,A547邵阳学院,3,172326
3G护理学,B508新余学院,1,172866
06护理学,D386山东石油化工学院,28,172973
57护理学,A919平顶山学院,5,173512
77护理学,A576韶关学院,2,173557
0N护理学(校企合作，与水发民生产业投资集团有限公司合作),A443济宁医学院,50,174123
04护理学,D986江苏大学京江学院,1,174565
V3护理学(中外合作办学),A201北华大学,11,176497
09护理学,E623滇西应用技术大学,2,178495
H7护理学,D560新疆第二医学院,4,180898
63护理学,A763喀什大学,4,181594
13护理学,D980南京医科大学康达学院,5,185564
04护理学,D596华北理工大学冀唐学院,5,186813
0E护理学(中外合作办学),A439山东第一医科大学,70,190498
28护理学,B400西安培华学院,1,190554
06护理学,D661天津医科大学临床医学院,9,191074
15护理学,D284温州医科大学仁济学院,3,191398
E2护理学(中外合作办学),A162辽宁中医药大学,10,192195
0B护理学,D250湖北恩施学院,2,195071
13护理学,D899北京中医药大学东方学院,6,197309
09护理学,D594河北地质大学华信学院,2,201440
09护理学,C332烟台南山学院,27,206279
12护理学,A825齐鲁医药学院,75,206948
0Y护理学,D898北京科技大学天津学院,3,206980
19护理学,D658天津外国语大学滨海外事学院,2,208436
03护理学,D643广西中医药大学赛恩斯新医药学院,2,208575
25护理学,D245荆州学院,3,214614
19护理学,E225河北东方学院,2,214681
22护理学,D606长春科技学院,2,216385
1J护理学,C843潍坊科技学院,55,218561
11护理学,D324山东协和学院,61,224165
0Q护理学,D391河北科技学院,3,224595
0B护理学,B798武汉东湖学院,5,225490
21护理学,D123陕西国际商贸学院,3,226348
1L护理学,D320青岛黄海学院,57,227906
A9护理,C915上海中侨职业技术大学,3,228702
0E护理学,A868青岛滨海学院,53,231292
36护理学,C560云南经济管理学院,4,232098
0M护理学,D998齐鲁理工学院,36,233930
1F护理学,D006山东英才学院,10,236470
14护理学,D322山东现代学院,130,237173
16护理学,C729齐齐哈尔工程学院,7,239268
1M护理学,D015青岛恒星科技学院,25,239594
0E护理,E172海南科技职业大学,4,240952
