专业代号及名称,院校代号及名称,投档计划数,投档最低位次
15化学工程与工艺,A532湖南大学,1,5946
38化学工程与工艺(双学士学位项目),A251华东理工大学,4,9521
9K化学工程与工艺,A423中国海洋大学,8,16202
17化学工程与工艺(化工、大数据双学士学位),A010北京化工大学,2,16416
01能源化学工程(能源、资源与生物化工新工科实验班),H141大连理工大学(盘锦校区),10,18241
0T化学工程与工艺(试验班),A112太原理工大学,1,21521
13能源化学工程,A425中国石油大学(华东),10,23312
09化学工程与工艺,A295江南大学,8,25724
5R化学工程与工艺,A425中国石油大学(华东),45,27169
25化学工程与工艺,A710长安大学,4,27459
05能源化学工程,H359合肥工业大学(宣城校区),3,29217
43化学工程与工艺,B413中国矿业大学(北京),7,29464
0R化学工程与工艺,A112太原理工大学,8,29917
0D化学工程与工艺,A359合肥工业大学,4,29950
09化学工程与工艺,A058天津工业大学,6,33300
1H化学工程与工艺,A291南京工业大学,8,33418
34化学工程与工艺,B646宁波大学,4,33888
03化工与制药类(化学工程类),A337浙江工业大学,5,33995
63化学工程与工艺(韶峰班),A530湘潭大学,2,34173
01化学工程与工艺(智能化工、精细化学品、电子化学品材料方向),A490武汉工程大学,2,35948
3W化学工程与工艺,A589海南大学,5,35967
40化学工程与工艺,A225东北林业大学,5,37796
M5化学工程与工艺(厦门大学马来西亚分校招生专业),A384厦门大学,2,38722
62化学工程与工艺,A530湘潭大学,4,40842
22化学工程与工艺(辅修英语专业双学位),A490武汉工程大学,2,41833
43化学工程与工艺,A126内蒙古大学,3,42741
3B化学工程与工艺,A445山东师范大学,12,43011
16化学工程与工艺,A615西南石油大学,4,43439
B2能源化学工程,H414中国石油大学(北京)克拉玛依校区,2,43700
J5化学工程与工艺,B845广东工业大学,2,45087
3M化学工程与工艺,A749宁夏大学,5,45100
55化学工程与工艺,B078广州大学,4,49683
22化学工程与工艺,A057天津科技大学,5,49809
8J化学工程与工艺,A755新疆大学,6,50140
B1化学工程与工艺,H414中国石油大学(北京)克拉玛依校区,13,51441
3K能源化学工程,A755新疆大学,2,52256
2Y化学工程与工艺,B065青岛大学,32,53401
3D化学工程与工艺(地方专项计划),A445山东师范大学,7,53950
43能源化学工程,A704西安科技大学,4,54512
36化学工程与工艺(卓越工程师),A743青海大学,4,54714
45化学工程与工艺,A704西安科技大学,2,55202
97化学工程与工艺(卓越工程师班),A534湖南科技大学,1,55350
51化学工程与工业生物工程,A188东北电力大学,3,55748
59化学工程与工艺,A212黑龙江大学,2,55861
A0化学工程与工艺,A292常州大学,2,57041
0N化学工程与工艺,C599湘潭大学兴湘学院,1,57576
01化学工程与工艺(地方专项计划),B065青岛大学,10,57854
06化学工程与工艺,A759石河子大学,6,58410
Z3化学工程与工艺,A705西安石油大学,2,59761
39化学工程与工艺,A674昆明理工大学,2,59801
44化学工程与工艺,A370安徽师范大学,2,61556
38能源化学工程,A743青海大学,4,65643
37能源化学工程,A534湖南科技大学,2,68306
EB能源化学工程,A142沈阳工业大学,3,68733
50能源化学工程,A705西安石油大学,2,70232
34化学工程与工艺,A534湖南科技大学,4,71551
47能源化学工程,A188东北电力大学,7,72071
33化学工程与工艺,B258大连大学,3,72106
9P化学工程与工艺(中外合作办学),A657贵州大学,5,72215
9N化学工程与工艺(实验班),A220东北石油大学,2,73966
25化学工程与工艺,A144沈阳理工大学,1,74603
05化学工程与工艺,A424山东科技大学,63,74747
42化学工程与工艺,B075三峡大学,10,75780
16化学工程与工艺,A081华北理工大学,7,77282
22化学工程与工艺(地方专项计划),A424山东科技大学,15,79716
H2化学工程与工艺,A186长春理工大学,4,81410
03化学工程与工艺,A426青岛科技大学,144,82693
C2化学工程与工艺,A360安徽工业大学,2,83308
08化学工程与工艺,A538中南林业科技大学,3,85825
F4化学工程与工艺(融创班),A220东北石油大学,2,86841
14能源化学工程,A619西南科技大学,4,88677
17能源化学工程,A081华北理工大学,8,89011
0Z化学工程与工艺(地方专项计划),A426青岛科技大学,25,90399
01化学工程与工艺,A017北京石油化工学院,5,96469
49化学工程与工艺,A513湖北师范大学,3,96631
20化学工程与工艺,A463河南工业大学,4,100411
41化学工程与工艺,A460河南理工大学,2,101108
67化学工程与工艺,B535湖南工业大学,1,103432
05化学工程与工艺,A446曲阜师范大学,41,104193
1D化学工程与工艺,A731兰州理工大学,2,104346
0M能源化学工程,B819东莞理工学院,2,105405
1H化学工程与工艺,A361安徽理工大学,6,105627
1L能源化学工程,A361安徽理工大学,6,107084
28化学工程与工艺,A220东北石油大学,4,107398
52化学工程与工艺,A464河南科技大学,5,108330
14化学工程与工艺,A076河北工程大学,2,109434
25化学工程与工艺(中外合作办学),A490武汉工程大学,5,111915
10化学工程与工艺,A146辽宁科技大学,2,112938
0S化学工程与工艺,A109太原科技大学,2,117355
D1化学工程与工艺,A407江西理工大学,2,118280
24化学工程与工艺(卓越计划班),A148辽宁石油化工大学,2,119048
0W能源化学工程,A109太原科技大学,2,119583
8D化学工程与工艺,A531吉首大学,2,121351
23化学工程与工艺,A148辽宁石油化工大学,1,124649
0C化学工程与工艺,B066烟台大学,95,125381
D4化学工程与工艺,A149沈阳化工大学,6,125697
05化学工程与工艺(中外合作办学),F410广东以色列理工学院,3,129270
52化学工程与工艺,A190长春工业大学,6,129998
21化学工程与工艺,A397武夷学院,1,130049
2C化学工程与工艺,A451鲁东大学,60,134300
D7能源化学工程,A149沈阳化工大学,2,134429
12化学工程与工艺,A462郑州轻工业大学,4,136247
2T化学工程与工艺(地方专项计划),A433山东理工大学,10,136319
35化学工程与工艺(校企合作，与山东金城制药集团合作),A427济南大学,35,142376
88化学工程与工艺,A212黑龙江大学,8,143734
0W化学工程与工艺,A433山东理工大学,145,143791
14能源化学工程,B607北部湾大学,1,145856
14化学工程与工艺,A154辽宁工业大学,3,146522
38化学工程与工艺,A219黑龙江科技大学,3,146896
1P化学工程与工艺(高密校区),Y003青岛科技大学,110,148850
3Y化学工程与工艺,A435青岛农业大学,68,152168
0A化学工程与工艺,A128内蒙古工业大学,4,155054
1S化学工程与工艺,A452临沂大学,49,156097
B5化学工程与工艺,A216燕山大学,4,156482
1P化学工程与工艺,A608广西民族大学,1,158354
30化学工程与工艺,A447聊城大学,115,162571
18化学工程与工艺,A352丽水学院,2,163992
2H化学工程与工艺(菏泽校区),Y005齐鲁工业大学,132,167816
01化学工程与工艺,A192吉林化工学院,1,168758
13化学工程与工艺,B607北部湾大学,1,169333
24化学工程与工艺,A350台州学院,4,170784
0F化学工程与工艺,B067潍坊学院,37,174206
E2化学工程与工艺,B528湖南工学院,2,175835
71化学工程与工艺,B049淮阴工学院,4,176251
35化学工程与工艺,B342湖南工程学院,2,179013
01化学工程与工艺(卓越班),B656广东石油化工学院,3,181097
99化学工程与工艺,A136内蒙古民族大学,3,181331
46化学工程与工艺,A381淮南师范学院,3,181571
1B化学工程与工艺,A748青海民族大学,4,182101
03能源化学工程,B656广东石油化工学院,3,182710
1B化学工程与工艺,A448德州学院,36,184144
C7化学工程与工艺,A762新疆师范大学,2,184339
72化学工程与工艺,A758新疆农业大学,5,184525
01化学工程与工艺,B488衢州学院,6,186385
1T化学工程与工艺,B393昆明学院,2,188513
36化学工程与工艺,A101衡水学院,2,189598
18化学工程与工艺,A449滨州学院,57,190449
1M化学工程与工艺,A454济宁学院,35,192181
17化学工程与工艺,A478周口师范学院,4,192268
0K化学工程与工艺,E435营口理工学院,2,193160
1N化学工程与工艺,A904枣庄学院,30,193684
16化学工程与工艺,M189山西能源学院,3,194290
0U化学工程与工艺,B336荆楚理工学院,2,194917
0K化学工程与工艺,E440贵州理工学院,2,195014
23化学工程与工艺,A455菏泽学院,48,195187
0J化学工程与工艺,B395榆林学院,3,197251
0T化学工程与工艺,B071新乡学院,6,198723
09化学工程与工艺,A235大庆师范学院,8,199404
13化学工程与工艺,D534山西工学院,6,199816
47化学工程与工艺,A721宝鸡文理学院,3,200527
