专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0U材料科学与工程,E430中国科学院大学,2,352
QF理科试验班(理学与材料菁英班),A007北京理工大学,4,1635
QC工科试验班(智能化制造与先进材料类),A247同济大学,10,1938
05材料类,A487华中科技大学,12,3946
05材料类(本研衔接班),A699西北工业大学,2,4352
10工科试验班(土木交通材料实验班),A286东南大学,30,4787
17化学类(含化学化工材料类),A384厦门大学,18,4893
22材料类,A561华南理工大学,3,5572
59工科试验班(先进低碳材料),A610四川大学,3,6717
12材料类(新材料与化工试验班),A699西北工业大学,15,7439
44高分子材料与工程,A610四川大学,9,7618
45材料类(新能源与纳米材料),A610四川大学,12,8295
XV材料类,A422山东大学,40,11724
A7化工与制药类(智能化工、新材料与安全新工科实验班),A141大连理工大学,12,12553
25智能材料与结构,H213哈尔滨工业大学(威海),10,12565
0A新能源材料与器件,A287南京航空航天大学,4,13127
59材料科学与工程,A532湖南大学,5,14179
A8材料类(冶金材料类),A533中南大学,33,14373
03材料科学与工程,A008北京科技大学,19,15176
17材料科学与工程,A287南京航空航天大学,4,15444
87材料类,A280上海大学,3,15769
07材料类,A054华北电力大学(北京),2,15836
1V纳米材料与技术,A285苏州大学,5,16473
3C材料类,A288南京理工大学,15,16966
65材料类,A183吉林大学,24,17034
11材料类,A423中国海洋大学,24,17314
1K材料类,A145东北大学,10,17619
17材料类,A251华东理工大学,18,18573
88材料科学与工程(中外合作办学),A610四川大学,2,18804
98材料科学与工程(中外合作办学)(与蒙纳士大学中外合作办学项目),A533中南大学,6,19193
4J功能材料,A255东华大学,2,19570
32纳米材料与技术,A052中央民族大学,8,19813
24材料类(本研一体班),A425中国石油大学(华东),5,20176
02材料类,A497武汉理工大学,25,20424
45材料类,A255东华大学,9,21102
H2材料科学与工程,A294河海大学,5,21608
01材料科学与工程,A590深圳大学,3,22182
51材料科学与工程(中外合作办学),A699西北工业大学,10,22232
1C工科试验班(先进材料与绿色化学),A010北京化工大学,32,22302
05材料类,H145东北大学秦皇岛分校,18,22827
0Y材料类,A080河北工业大学,2,24019
9B高分子材料与工程,A386福州大学,2,24123
02材料科学与工程,B414中国石油大学(北京),6,24562
4E材料类,B415中国地质大学(北京),5,24745
10高分子材料与工程,A295江南大学,7,24942
10材料成型及控制工程,A497武汉理工大学,9,25174
55材料科学与工程,B413中国矿业大学(北京),3,25176
52高分子材料与工程(中外合作办学),A699西北工业大学,10,25260
05新能源材料与器件,A290中国矿业大学,5,25478
0Z材料成型及控制工程,A080河北工业大学,2,25927
50材料类,A613西南交通大学,19,26388
71材料科学与工程(中外合作办学),A280上海大学,5,26473
E1材料类,A635西南大学,3,27018
11材料类,A217哈尔滨工程大学,13,27081
05材料类,A491中国地质大学(武汉),9,27304
0C高分子材料与工程,A359合肥工业大学,4,27310
3S材料科学与工程(试验班),A112太原理工大学,1,27413
1L材料类,A290中国矿业大学,5,27439
5H宝石及材料工艺学,B415中国地质大学(北京),2,28038
02新能源材料与器件,H359合肥工业大学(宣城校区),3,28280
62材料成型及控制工程,A403南昌大学,2,28643
0X高分子材料与工程,B117扬州大学,1,28761
22宝石及材料工艺学,A491中国地质大学(武汉),6,29138
1P材料成型及控制工程,A359合肥工业大学,6,29165
1M新能源材料与器件(中外合作办学),A285苏州大学,5,29529
63材料类,A425中国石油大学(华东),80,29760
1Q材料物理,A359合肥工业大学,7,30688
1N材料类,A359合肥工业大学,5,30750
06材料科学与工程,A112太原理工大学,5,30956
39材料物理,A300南京信息工程大学,2,31419
3T高分子材料与工程,A112太原理工大学,3,31509
5C材料类,A403南昌大学,10,32385
0R材料成型及控制工程,H359合肥工业大学(宣城校区),2,32403
12材料科学与工程,A336杭州电子科技大学,3,32450
5K材料类,A710长安大学,22,32466
1L新能源材料与器件,A291南京工业大学,2,32500
04材料成型及控制工程,A112太原理工大学,10,32848
08高分子材料与工程,A058天津工业大学,4,33293
1J材料科学与工程,A673云南大学,5,34280
2H材料类,A657贵州大学,2,34484
19材料科学与工程(中外合作办学),A288南京理工大学,5,34611
18纳米材料与技术(中外合作办学),A004北京交通大学,6,34621
05材料科学与工程,A058天津工业大学,4,34756
01化学工程与工艺(智能化工、精细化学品、电子化学品材料方向),A490武汉工程大学,2,35948
10材料类,A225东北林业大学,6,36182
07无机非金属材料工程,A058天津工业大学,3,36606
08材料类,A338浙江理工大学,3,36842
83新能源材料与器件,A616成都理工大学,2,36895
2C材料成型及控制工程,A657贵州大学,2,37586
0S材料物理(中外合作办学),A217哈尔滨工程大学,4,37763
06复合材料与工程,A058天津工业大学,4,38114
55新能源材料与器件,A530湘潭大学,5,38118
08材料类,A589海南大学,12,38184
33高分子材料与工程,A184延边大学,4,38845
02非织造材料与工程,A058天津工业大学,3,38871
26材料科学与工程,A291南京工业大学,2,39200
22材料类,A299江苏大学,6,39330
61高分子材料与工程,A530湘潭大学,3,39992
08材料类,A337浙江工业大学,5,40527
3E新能源材料与器件,A749宁夏大学,4,41022
20新能源材料与器件,A615西南石油大学,6,41034
0L材料成型及控制工程,H359合肥工业大学(宣城校区),2,41295
1C材料类,A291南京工业大学,12,41622
54金属材料工程,A299江苏大学,4,41708
52材料科学与工程,A530湘潭大学,5,41925
31材料类,A512湖北大学,3,42438
04材料化学,A700西安理工大学,2,42470
22高分子材料与工程,A615西南石油大学,3,42553
20材料类,A216燕山大学,6,43676
14材料科学与工程,A356中国计量大学,4,43834
01材料科学与工程,A700西安理工大学,2,43901
3P材料化学,A126内蒙古大学,3,43937
0V材料科学与工程,A616成都理工大学,4,44491
23材料成型及控制工程,A615西南石油大学,3,44986
69新能源材料与器件,A075河北大学,3,45066
1Y材料物理(中外合作办学),A080河北工业大学,2,45218
0S新能源材料与器件(光电与智能材料方向),A490武汉工程大学,2,45730
21材料科学与工程,A615西南石油大学,5,45936
50材料科学与工程,A564华南农业大学,1,46683
03材料物理,A700西安理工大学,2,46872
02材料成型及控制工程,A700西安理工大学,4,47245
09材料化学,A059中国民航大学,2,47995
19高分子材料与工程,A057天津科技大学,4,48139
54材料类,A536长沙理工大学,5,48179
73材料类,A075河北大学,3,48285
95新能源材料与器件,A188东北电力大学,2,48514
