专业代号及名称,院校代号及名称,投档计划数,投档最低位次
02电子信息类(IEEE试点班，含双学士学位项目),A248上海交通大学,4,178
0Y电子信息工程,E430中国科学院大学,2,318
S8电子信息类,A284南京大学,8,761
32电子信息类(启明光电信息本硕博实验班),A487华中科技大学,5,1055
0N电子信息类(光电学院),A487华中科技大学,10,1463
A2电子信息类(成电英才计划拔尖创新人才实验班),A614电子科技大学,3,1766
0M电子信息类(电信学院),A487华中科技大学,15,1968
QD工科试验班(电子信息实验班),A007北京理工大学,37,2155
R5电子信息类(含卓越工程师教育培养计划),A486武汉大学,14,2177
12电子信息类,A286东南大学,21,2610
09工科试验班(计算机与电子通信),A213哈尔滨工业大学,28,2848
QK电子信息类(信息与通信),A614电子科技大学,16,3261
02电子信息类,P002国防科技大学,14,3351
0V电子信息类(广州),A558中山大学,20,3537
QM工科试验班(电子工程类),A614电子科技大学,18,3705
82微电子科学与工程,A269华东师范大学,2,3801
80电子信息科学与技术,A269华东师范大学,2,4024
QU电子信息类(光电集成与光网络),A614电子科技大学,11,4073
04电子信息类,A013北京邮电大学,11,4125
S4集成电路设计与集成系统(国家示范性微电子学院),H614电子科技大学(沙河校区),13,4649
26电子信息类,A384厦门大学,12,4666
14电子信息类(创新班),A141大连理工大学,5,4915
43电子信息类,A610四川大学,10,5117
Q5电子信息类,A699西北工业大学,10,5284
06柔性电子学(本研衔接班),A699西北工业大学,3,5768
31微电子科学与工程,A699西北工业大学,10,6039
4G电子信息类,A019中国农业大学,4,6158
08电子信息类(电信、自动化与计算机新工科实验班),A141大连理工大学,24,6327
B3电子信息类,A533中南大学,10,6415
02电子信息类(通信与控制),A004北京交通大学,17,6875
51电子科学与技术,A141大连理工大学,6,7071
XN电子信息类(通信电子与光电方向),A422山东大学,120,7423
YW电子信息类(微电子与电路集成方向),A422山东大学,70,7912
G1电子信息类(中外合作办学)(电子信息),H614电子科技大学(沙河校区),6,7918
04电子信息工程,A532湖南大学,2,8208
63电子商务类,A561华南理工大学,2,8271
49电子科学与技术,A532湖南大学,5,8928
4B电子商务(中外合作办学),A055南开大学,5,9025
01电子信息类,A701西安电子科技大学,118,9641
12微电子科学与工程(集成电路设计),A287南京航空航天大学,6,9654
0T电子信息类,A054华北电力大学(北京),5,10011
72电子信息类,A183吉林大学,25,10318
11电子信息类,A287南京航空航天大学,10,10881
G2电子信息类(中外合作办学)(通信、微电子),H614电子科技大学(沙河校区),9,10954
11电子信息类,H213哈尔滨工业大学(威海),98,11006
1Y电子信息类,A285苏州大学,4,11137
3E电子信息类,A288南京理工大学,18,11142
1R电子信息类,A145东北大学,4,11378
41电子信息类(通信本硕实验班),A497武汉理工大学,4,11878
02电子信息类(智能与机器人实验班),A251华东理工大学,11,11926
20电子信息类,A251华东理工大学,13,12131
9B电子信息类,A423中国海洋大学,44,12385
92电子信息工程(中外合作办学),A610四川大学,2,12580
40电子信息类(微电子本硕实验班),A497武汉理工大学,3,12683
43电子信息类,A730兰州大学,9,12821
0C电子信息类,H422山东大学威海分校,57,12907
58电子信息工程,A033中国传媒大学,3,13158
10电子商务,A532湖南大学,4,13159
0G交通运输(民航电子电气工程),A287南京航空航天大学,3,13276
11电子信息类(威海走读),Y011山东大学威海分校,3,13592
37电子信息类,A052中央民族大学,12,13598
10电子信息工程,A590深圳大学,3,13699
71电子信息类,A613西南交通大学,3,13979
2E电子信息工程,A559暨南大学,2,14058
10电子信息工程,A613西南交通大学,9,14214
03电子信息工程(中外合作办学),H013北京邮电大学(宏福校区),3,14401
49电子信息科学与技术,A613西南交通大学,3,14538
27电子信息类,A511华中师范大学,5,14730
GH电子信息类(中外合作办学)(海南陵水国际教育创新区),H614电子科技大学(沙河校区),5,15028
16电子信息类,A497武汉理工大学,30,15045
48电子信息类,A255东华大学,12,15249
Y4电子科学与技术(常州校区),A294河海大学,2,15315
04电子科学与技术,A293南京邮电大学,5,15426
1H电子信息工程,A319南京师范大学,3,15616
09电子信息类,A079华北电力大学(保定),11,15735
06电子信息工程,B414中国石油大学(北京),5,15819
46电子信息科学与技术,A022北京林业大学,2,15873
44电子商务,A423中国海洋大学,10,16117
M1电子信息类,A635西南大学,3,16127
4M电子信息工程,B415中国地质大学(北京),3,16273
08理科试验班(数学、物理电子与管理),A010北京化工大学,12,16747
06电子信息类,H145东北大学秦皇岛分校,19,16939
02电子信息工程,A293南京邮电大学,5,17274
0K电子信息工程,A359合肥工业大学,7,17480
52电子信息类,A697西北大学,8,17484
36电子信息工程,A712西北农林科技大学,4,18017
33电子信息工程,A425中国石油大学(华东),22,18163
66电子商务,A559暨南大学,2,18174
04电子科学与技术,A359合肥工业大学,5,18557
09电子信息类,A217哈尔滨工程大学,18,18633
29电子信息类,A459郑州大学,12,19080
05微电子科学与工程,A359合肥工业大学,5,19214
08微电子科学与工程,A293南京邮电大学,6,19267
28电子商务,A590深圳大学,2,19498
51电子信息类,A386福州大学,2,19520
02工科试验班(电子与信息类),A252上海理工大学,5,19808
19电子商务及法律,A726西北政法大学,2,20003
34微电子科学与工程,A295江南大学,10,20187
0G电子信息工程,A357安徽大学,8,20441
05水声工程(含电子水声、水声、海洋信息3个专业),A217哈尔滨工程大学,26,20515
44电子信息工程,A028首都师范大学,4,20633
13电子信息类,A491中国地质大学(武汉),21,20854
28电子信息类,A300南京信息工程大学,4,20877
69电子信息类,A403南昌大学,4,20895
85电子信息类,A300南京信息工程大学,5,21026
0A电子信息科学与技术,H359合肥工业大学(宣城校区),4,21050
06电子信息类(通信学院),A336杭州电子科技大学,6,21163
28电子商务,A497武汉理工大学,5,21259
02电子信息类(电子信息学院),A336杭州电子科技大学,14,21573
29电子科学与技术,A357安徽大学,10,21784
41电子科学与技术(集成电路),A112太原理工大学,2,21895
0G电子科学与技术,A112太原理工大学,1,22404
55电子信息类,A710长安大学,11,22507
0E电子信息工程,A112太原理工大学,6,22630
06电子信息类,A290中国矿业大学,52,22829
30微电子科学与工程,B646宁波大学,1,22973
N0电子信息科学与技术,A542湖南师范大学,2,23021
Z6电子信息类,A151大连海事大学,27,23067
38电子信息类,B646宁波大学,2,23259
38电子信息类,A307南京农业大学,9,23404
64电子信息类,A140辽宁大学,6,24316
54微电子科学与工程,A140辽宁大学,2,24370
1P电子信息工程(理工科实验班),A009北方工业大学,2,24855
10电子信息工程,A564华南农业大学,1,24979
1K电子信息类,A673云南大学,8,25064
62电子信息工程,A256上海电力大学,3,25267
1Y电子信息类,A657贵州大学,6,25638
17电子商务,A151大连海事大学,5,26041
17电子信息工程,A298南京林业大学,2,26064
01电子信息类(通信与信息类),A617重庆邮电大学,12,26230
10电子信息类,A338浙江理工大学,2,26422
21电子信息工程,A058天津工业大学,6,26488
30电子信息类,A184延边大学,5,27021
0J电子信息工程,A009北方工业大学,3,27107
24机械电子工程,A112太原理工大学,8,27257
0H电子信息类(勤信实验班),B232北京信息科技大学,2,27359
24电子科学与技术,A058天津工业大学,4,27574
Z3电子信息工程,A216燕山大学,2,27585
19机械电子工程(中外合作办学),A004北京交通大学,6,27828
25机械电子工程,A300南京信息工程大学,2,27867
12电子信息工程(中外合作办学),A701西安电子科技大学,15,28355
HK电子信息类,A225东北林业大学,10,28374
03电子信息类,A589海南大学,12,28788
43电子信息工程(中外合作办学),A005北京工业大学,4,28972
0K电子信息类,A616成都理工大学,5,28984
06电子信息类(集成电路与电子工程类),A617重庆邮电大学,16,29297
24电子信息类,A216燕山大学,6,29798
16机械电子工程,A058天津工业大学,6,29974
06电子信息工程,A143沈阳航空航天大学,1,30224
15电子信息类,A593广西大学,10,30242
86电子信息工程,A616成都理工大学,4,30794
3R电子科学与技术,A126内蒙古大学,4,30940
3Q电子信息类,A126内蒙古大学,5,31002
49微电子科学与工程,A530湘潭大学,4,31140
37电子信息工程,A536长沙理工大学,2,31318
17电子信息科学与技术,B232北京信息科技大学,4,31524
44电子科学与技术,A593广西大学,10,31549
55电子信息工程(中外合作办学),A613西南交通大学,5,31618
T0电子信息工程,A060天津理工大学,9,32198
15电子科学与技术,A700西安理工大学,4,32288
3B电子信息类,A749宁夏大学,8,32494
64电子信息类,A536长沙理工大学,2,32611
22电子商务,A173东北财经大学,2,32750
40电子商务,A019中国农业大学,90,32780
80电子信息类,A270上海师范大学,13,32942
14电子信息类,B845广东工业大学,4,33191
ZA电子信息工程(中外合作办学),A635西南大学,3,33214
13机械电子工程,A256上海电力大学,4,33292
XD电子信息科学与技术,B664西安邮电大学,6,33566
MB电子信息工程(厦门大学马来西亚分校招生专业),A384厦门大学,3,33638
16电子信息类(物电),A512湖北大学,4,33657
2E机械电子工程(智能制造与新能源汽车),A009北方工业大学,4,33996
25电子信息类,A108山西大学,9,34070
17微电子科学与工程,A700西安理工大学,3,34253
33电子科学与技术,B845广东工业大学,4,34387
48电子信息类,A353浙江工商大学,6,34489
XK微电子科学与工程,B664西安邮电大学,3,34620
08电子信息工程,A188东北电力大学,3,34634
06电子信息类,A356中国计量大学,6,34703
56电子信息科学与技术,A065天津师范大学,2,34829
9Q电子信息工程,A755新疆大学,5,35007
11电子科学与技术,A356中国计量大学,4,35149
54电子信息类,A345浙江师范大学,5,35412
68电子信息工程,B078广州大学,4,35661
07电子信息类,A856上海工程技术大学,8,35815
0N电子商务及法律,B835上海政法学院,2,35896
01化学工程与工艺(智能化工、精细化学品、电子化学品材料方向),A490武汉工程大学,2,35948
58电子信息科学与技术(中外合作办学),A697西北大学,10,36477
0Y电子商务,A327南京财经大学,4,36945
16电子信息类,A385华侨大学,7,37002
94电子信息工程(中外合作办学),A386福州大学,4,37213
0P电子商务,A616成都理工大学,4,37283
J1机械电子工程,B845广东工业大学,3,37507
0R电子信息科学与技术(中外合作办学)(中英合作),A252上海理工大学,3,37545
23电子信息工程,A704西安科技大学,2,37905
Z1电子信息工程(中外合作办学),A151大连海事大学,11,37914
1E光电信息科学与工程(含微电子、光器件方向),A490武汉工程大学,4,38107
48微电子科学与工程,A057天津科技大学,4,38416
G1机械电子工程,A060天津理工大学,7,38436
45电子信息工程,A390集美大学,3,38970
24电子科学与技术,A704西安科技大学,2,39317
02电子信息工程,A621成都信息工程大学,3,39448
26电子信息工程,A150大连交通大学,2,39600
0D电子信息工程(含集成电路设计、模式识别与智能系统方向),A490武汉工程大学,3,39638
50电子信息科学与技术,A351温州大学,1,39680
17电子信息工程,A144沈阳理工大学,1,39731
06电子信息类,A289江苏科技大学,10,39987
24电子信息工程,A534湖南科技大学,1,40746
DF电子商务(中外合作办学),A590深圳大学,3,40799
52机械电子工程,A108山西大学,3,40830
0X电子科学与技术,A406南昌航空大学,2,41253
19电子信息类,A618重庆交通大学,3,41933
3V电子信息类,A445山东师范大学,25,42313
1R电子信息工程,A346杭州师范大学,2,42578
15电子科学与技术,A150大连交通大学,2,42735
2S电子信息工程,B065青岛大学,73,42758
12电子商务类,B482浙江财经大学,2,42974
18电子商务类,A617重庆邮电大学,3,43197
07机械电子工程(半导体芯片方向),A490武汉工程大学,2,43447
0K机械电子工程,A143沈阳航空航天大学,1,43519
47机械电子工程,A304南通大学,2,43529
28电子信息工程(地方专项计划),B065青岛大学,5,44456
0C电子信息工程,A759石河子大学,4,44522
13机械电子工程,A704西安科技大学,2,44862
1U电子信息工程(中外合作办学),A291南京工业大学,3,44973
0L电子商务类,A011北京工商大学,5,45002
1R工科试验班(电子信息与电气自动化),A059中国民航大学,51,45801
1F电子信息工程,A424山东科技大学,102,47028
18微电子科学与工程,B065青岛大学,83,47196
36机械电子工程,A705西安石油大学,2,47254
EG电子信息类,A212黑龙江大学,2,47825
0E电子信息工程,A406南昌航空大学,4,47936
0U电子商务(国家级一流本科专业),A490武汉工程大学,2,47984
5F电子信息类,B660重庆理工大学,4,48036
13电子信息工程,A320江苏师范大学,3,48278
A2电子科学与技术,A186长春理工大学,2,48297
5M电子信息工程,A341浙江农林大学,2,49009
0K电子信息科学与技术,A424山东科技大学,50,49045
06电子信息类,A595桂林电子科技大学,7,49264
0F电子信息工程,B417北京联合大学,1,49414
0L电子商务,B047上海立信会计金融学院,2,49560
2E电子信息类(地方专项计划),A445山东师范大学,12,49659
7M电子信息工程(中外合作办学)(中美合作),A270上海师范大学,7,50179
D2电子信息工程,A186长春理工大学,2,50254
25电子商务,A346杭州师范大学,6,50277
