专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0W电气工程及其自动化,E430中国科学院大学,1,195
2A工科试验班(智能电气专业预选),A698西安交通大学,4,1634
0G电气工程及其自动化,A487华中科技大学,12,1735
9L工科试验班(智能电气与信息类),A698西安交通大学,64,2692
14电气工程及其自动化(卓越班),A561华南理工大学,2,3635
11工科试验班(电气信息类),A056天津大学,30,3860
QS工科试验班(机器人、电气信息、智能制造),A614电子科技大学,20,4557
15电气类,A561华南理工大学,6,5040
49电气类,A610四川大学,14,5788
Y7电气工程及其自动化,A422山东大学,100,6797
01电气类,A054华北电力大学(北京),17,7164
B4自动化类(自动化与电气类),A533中南大学,32,7287
DP工科试验班(电气信息类),A611重庆大学,50,7889
07电气类,A004北京交通大学,7,8097
03电气工程及其自动化,A532湖南大学,11,8650
15电气工程及其自动化,H213哈尔滨工业大学(威海),29,9318
07电气工程及其自动化,A287南京航空航天大学,12,9758
08电气类,A079华北电力大学(保定),24,11409
3L电气工程与智能控制,A285苏州大学,4,12664
86电气类,A280上海大学,9,12685
0G交通运输(民航电子电气工程),A287南京航空航天大学,3,13276
F1电气工程及其自动化,A294河海大学,8,13543
09电气工程及其自动化,A613西南交通大学,15,13739
5A电气工程及其自动化,A559暨南大学,2,14171
1P电气工程及其自动化,A319南京师范大学,3,15006
52电气工程及其自动化,B413中国矿业大学(北京),9,15459
22电气工程及其自动化(中外合作办学),A611重庆大学,2,15544
03电气工程及其自动化,A359合肥工业大学,10,16279
4K电气工程及其自动化,B415中国地质大学(北京),2,16542
H1电气工程及其自动化,A635西南大学,2,16870
33电气工程及其自动化,A295江南大学,4,17051
01电气工程及其自动化,A386福州大学,2,17423
34电气工程及其自动化,A022北京林业大学,4,17507
89电气工程及其自动化(中外合作办学),A610四川大学,3,17872
0J电气工程及其自动化,A293南京邮电大学,4,18315
31电气工程及其自动化,A712西北农林科技大学,4,18448
26电气工程及其自动化,A425中国石油大学(华东),50,19092
6A电气工程及其自动化,A403南昌大学,3,19988
0K电气类,A290中国矿业大学,50,21090
50电气工程及其自动化,A710长安大学,6,21312
2F电气工程及其自动化,A112太原理工大学,10,21453
88电气工程及其自动化(中外合作办学),A280上海大学,2,21477
0K电气工程及其自动化,A357安徽大学,9,21638
0T电气工程与智能控制,H359合肥工业大学(宣城校区),4,22137
D5电气工程及其自动化(全国人防电力工程及自动化技术工程师),P004陆军工程大学,1,22315
31电气工程及其自动化,A256上海电力大学,17,22375
01电气工程及其自动化,A188东北电力大学,14,23556
YF电气工程及其自动化(卓越班),A536长沙理工大学,1,24195
YE电气工程及其自动化(创新人才培养班),A536长沙理工大学,1,24227
36电气工程及其自动化,A536长沙理工大学,4,25000
26电气工程及其自动化,A299江苏大学,3,25108
1K电气工程及其自动化,A080河北工业大学,2,25177
2D电气类,A657贵州大学,3,25464
51电气工程及其自动化,B075三峡大学,4,25672
0N电气工程及其自动化,A291南京工业大学,3,25983
19电气工程及其自动化,A058天津工业大学,6,26021
1M电气工程及其自动化,B117扬州大学,1,26039
42电气工程及其自动化(城市电网),A016北京建筑大学,1,26241
0G电气工程及其自动化,A616成都理工大学,4,27093
0B电气工程及其自动化,B232北京信息科技大学,2,27404
B1电气工程及其自动化,A060天津理工大学,5,27947
0K电气类,A254上海海事大学,2,28336
33电气工程及其自动化(中外合作办学),A256上海电力大学,9,28942
52电气工程及其自动化(输电线路工程方向),B075三峡大学,2,28975
0H电气工程及其自动化,A009北方工业大学,5,29304
36电气类,A224东北农业大学,4,29471
15电气工程及其自动化,A298南京林业大学,2,29475
C1电气工程及其自动化,A142沈阳工业大学,6,29645
31电气工程及其自动化(电力系统及其自动化),B276南京工程学院,3,29764
3A电气工程及其自动化,A749宁夏大学,6,29847
HD电气类,A225东北林业大学,15,30247
48电气类,A593广西大学,20,30599
27电气工程及其自动化,A615西南石油大学,4,30624
23电气类,A216燕山大学,6,30825
04自动化类(自动化与电气工程类),A617重庆邮电大学,15,31039
52电气类,A700西安理工大学,7,31391
XU电气工程及其自动化,B664西安邮电大学,3,32109
44建筑电气与智能化(智能建筑),A016北京建筑大学,1,34264
18电气工程及其自动化,A704西安科技大学,2,34298
33电气工程及其自动化(输配电工程),B276南京工程学院,3,34492
1T电气工程及其自动化(中外合作办学),A080河北工业大学,4,34719
9T电气工程及其自动化,A755新疆大学,6,35086
39电气工程及其自动化,A289江苏科技大学,5,35239
08电气工程及其自动化,A500湖北工业大学,5,35616
49电气工程及其自动化,A108山西大学,10,35791
07电气工程及其自动化,A057天津科技大学,3,36088
J2电气工程及其自动化,B845广东工业大学,2,36094
16电气工程及其自动化,A144沈阳理工大学,1,36375
15电气工程及其自动化,A385华侨大学,6,36805
23电气工程及其自动化,A703西安建筑科技大学,3,37428
2D电气工程及其自动化,A107石家庄铁道大学,2,37506
9A电气工程及其自动化(中外合作办学),A300南京信息工程大学,2,37524
36电气工程与智能控制,B276南京工程学院,2,37717
0C电气工程及其自动化,A490武汉工程大学,5,38966
0D电气工程及其自动化,A759石河子大学,2,39033
22电气工程及其自动化,A150大连交通大学,3,39398
12电气工程及其自动化,A618重庆交通大学,3,39570
0L电气工程及其自动化,A424山东科技大学,98,39991
57农业电气化,A299江苏大学,2,40480
30电气工程及其自动化,A674昆明理工大学,5,40857
44电气工程及其自动化,A743青海大学,8,40948
1L电气工程及其自动化,B065青岛大学,194,41816
0E电气工程及其自动化,A621成都信息工程大学,2,42070
21电气工程及其自动化,A534湖南科技大学,1,42463
