专业代号及名称,院校代号及名称,投档计划数,投档最低位次
2D石油工程,B414中国石油大学(北京),8,25056
5N石油工程,A425中国石油大学(华东),56,28085
01石油工程,A615西南石油大学,9,39871
05石油工程,A616成都理工大学,6,45143
D7石油工程,H414中国石油大学(北京)克拉玛依校区,19,50210
21石油工程,A705西安石油大学,2,51214
Z0石油工程,A705西安石油大学,2,55135
D3石油工程,A292常州大学,4,66124
9P石油工程(实验班),A220东北石油大学,3,72874
39石油工程(含中俄能源方向、教育部卓越工程师培养计划),A489长江大学,14,79697
34资源勘查工程(石油勘探、新能源、油气测录工程),A489长江大学,7,84661
45石油工程,A220东北石油大学,11,97226
39石油工程,A148辽宁石油化工大学,2,119305
41石油工程,B551重庆科技学院,5,138794
12石油工程,B656广东石油化工学院,3,158410
0Y石油工程,A737兰州城市学院,3,182083
14石油工程技术,F202河北石油职业技术大学,6,203737
03应用化工技术(石油化工技术),F209兰州石化职业技术大学,2,216647
