专业代号及名称,院校代号及名称,投档计划数,投档最低位次
2C工科试验班(智慧能源专业预选),A698西安交通大学,5,1944
06能源动力类,A487华中科技大学,10,3023
9N工科试验班(智慧能源与智能制造类),A698西安交通大学,50,3404
23能源动力类,A384厦门大学,3,4803
9D化工与制药类(化工能源与生命医药试验班),A056天津大学,20,5548
15能源动力类(航空动力与新能源试验班),A699西北工业大学,10,5933
45材料类(新能源与纳米材料),A610四川大学,12,8295
Y4能源动力类,A422山东大学,60,9769
22能源与动力工程,A532湖南大学,2,10147
05能源动力类(氢能),A054华北电力大学(北京),1,10285
B2能源动力类(能源类),A533中南大学,14,10317
47能源与动力工程,A141大连理工大学,15,10900
DM工科试验班(工程能源类),A611重庆大学,60,11200
84新能源科学与工程,A183吉林大学,2,11370
04能源与动力工程,A287南京航空航天大学,3,11578
0G能源动力类(新能源),A054华北电力大学(北京),3,12742
04能源动力类(储能),A054华北电力大学(北京),2,13004
08工科试验班(能源与环境),A251华东理工大学,6,13028
0A新能源材料与器件,A287南京航空航天大学,4,13127
42能源与动力工程(双学士学位项目),A251华东理工大学,3,13624
07能源动力类(能源、环境专业),A008北京科技大学,13,13708
42建筑环境与能源应用工程(低碳建筑实验班),A532湖南大学,3,13853
0V能源动力类(能动),A054华北电力大学(北京),8,14007
64能源与动力工程,A183吉林大学,15,14515
Z5新能源科学与工程,A294河海大学,2,14734
20能源动力类,A288南京理工大学,14,15587
5H物理学类(光电与能源新技术),A255东华大学,3,15779
21新能源科学与工程,A288南京理工大学,10,16149
F2能源与动力工程,A294河海大学,4,17052
08能源动力类,A613西南交通大学,3,18182
01能源化学工程(能源、资源与生物化工新工科实验班),H141大连理工大学(盘锦校区),10,18241
57能源与环境系统工程,A255东华大学,2,18523
0D能源动力类(储能),A079华北电力大学(保定),3,18621
67新能源科学与工程,A613西南交通大学,8,18987
X2能源与动力工程(常州校区),A294河海大学,2,19015
0L能源动力类(氢能),A079华北电力大学(保定),4,19247
0W能源动力类(能动),A079华北电力大学(保定),8,19253
30新能源科学与工程,A425中国石油大学(华东),6,19817
19新能源科学与工程,B414中国石油大学(北京),4,19949
1C能源动力类,A319南京师范大学,4,20629
4Y建筑环境与能源应用工程,A255东华大学,2,20889
13新能源科学与工程,B413中国矿业大学(北京),3,20903
14能源与动力工程,B414中国石油大学(北京),4,21061
29能源与动力工程,A425中国石油大学(华东),8,21219
09能源动力类,A080河北工业大学,2,21715
11能源与动力工程,A359合肥工业大学,4,23088
13能源化学工程,A425中国石油大学(华东),10,23312
49能源与动力工程,A710长安大学,2,23752
48新能源科学与工程,A710长安大学,3,23827
0X能源动力类,A217哈尔滨工程大学,16,24239
19建筑环境与能源应用工程,A425中国石油大学(华东),2,24357
05新能源材料与器件,A290中国矿业大学,5,25478
0B能源与动力工程,A112太原理工大学,4,26492
23新能源科学与工程,A673云南大学,1,26649
0D能源动力类,A290中国矿业大学,18,26798
1K新能源科学与工程,A291南京工业大学,2,27771
02新能源材料与器件,H359合肥工业大学(宣城校区),3,28280
0A能源与动力工程,A143沈阳航空航天大学,1,29111
05能源化学工程,H359合肥工业大学(宣城校区),3,29217
33地质类(资源能源),A491中国地质大学(武汉),13,29474
1M新能源材料与器件(中外合作办学),A285苏州大学,5,29529
14新能源科学与工程,A256上海电力大学,3,30475
53地质类(能源类),B415中国地质大学(北京),9,30690
77新能源科学与工程,A299江苏大学,2,30722
15能源与动力工程,A338浙江理工大学,2,30801
1M能源动力类,A291南京工业大学,5,31117
0Y建筑环境与能源应用工程,A112太原理工大学,2,31550
2J新能源科学与工程,A657贵州大学,3,31575
D1建筑环境与能源应用工程(全国人防通风空调与给排水工程师),P004陆军工程大学,1,31703
11能源与动力工程,A256上海电力大学,4,31804
24能源与动力工程,A298南京林业大学,3,32331
1L新能源材料与器件,A291南京工业大学,2,32500
04能源与动力工程,A254上海海事大学,2,32843
78新能源汽车工程,A299江苏大学,2,33580
21能源动力类,A224东北农业大学,3,33908
M7新能源科学与工程(厦门大学马来西亚分校招生专业),A384厦门大学,2,33944
2E机械电子工程(智能制造与新能源汽车),A009北方工业大学,4,33996
G4能源与动力工程,A060天津理工大学,2,34273
82新能源科学与工程,A616成都理工大学,2,34692
71能源与动力工程,A530湘潭大学,3,35557
24新能源科学与工程,A615西南石油大学,3,36225
56能源与动力工程,A299江苏大学,8,36497
83新能源材料与器件,A616成都理工大学,2,36895
33新能源科学与工程,A536长沙理工大学,3,36897
22能源动力类,A216燕山大学,4,36968
32能源与动力工程,A536长沙理工大学,3,37183
28能源与动力工程,A700西安理工大学,2,37616
55新能源材料与器件,A530湘潭大学,5,38118
77能源服务工程,A256上海电力大学,3,38367
32新能源科学与工程,A188东北电力大学,4,38608
30建筑环境与能源应用工程,A225东北林业大学,3,38763
2V能源与动力工程,A755新疆大学,2,39017
35能源化学,A351温州大学,1,39953
04能源与动力工程,A356中国计量大学,5,40671
32建筑环境与能源应用工程,A016北京建筑大学,2,40731
3E新能源材料与器件,A749宁夏大学,4,41022
20新能源材料与器件,A615西南石油大学,6,41034
48建筑环境与能源应用工程,A299江苏大学,2,42015
1J能源与动力工程,A080河北工业大学,2,42751
13新能源科学与工程,A674昆明理工大学,3,43297
1Q建筑环境与能源应用工程,B117扬州大学,3,43574
B2能源化学工程,H414中国石油大学(北京)克拉玛依校区,2,43700
69新能源材料与器件,A075河北大学,3,45066
0S新能源材料与器件(光电与智能材料方向),A490武汉工程大学,2,45730
48能源动力类,A108山西大学,5,46008
11能源与环境系统工程,A143沈阳航空航天大学,1,46138
33新能源科学与工程,B065青岛大学,36,46186
10新能源科学与工程,A143沈阳航空航天大学,2,46282
1F能源与动力工程,A490武汉工程大学,5,47055
09过程装备与控制工程(含智能装备与控制、新能源装备方向),A490武汉工程大学,4,48091
08新能源科学与工程,E655深圳技术大学,3,48371
95新能源材料与器件,A188东北电力大学,2,48514
40新能源科学与工程,A705西安石油大学,2,49691
1T能源与动力工程,B065青岛大学,57,50772
13建筑环境与能源应用工程,A703西安建筑科技大学,5,51162
3K能源化学工程,A755新疆大学,2,52256
19能源与动力工程,A188东北电力大学,19,52361
58新能源材料与器件,A743青海大学,8,52865
12能源与动力工程,A674昆明理工大学,3,52877
02能源与动力工程,A214哈尔滨理工大学,2,53027
2E能源与动力工程(地方专项计划),B065青岛大学,10,53260
0C建筑环境与能源应用工程,A153沈阳建筑大学,1,54150
43能源化学工程,A704西安科技大学,4,54512
41新能源材料与器件,A704西安科技大学,2,54547
D0能源与动力工程,A292常州大学,2,54798
32建筑环境与能源应用工程,A289江苏科技大学,2,55459
01建筑环境与能源应用工程,A704西安科技大学,2,56628
04能源与动力工程,B660重庆理工大学,3,57016
41能源经济,A500湖北工业大学,2,57626
2N能源与动力工程,A424山东科技大学,54,58916
9X建筑环境与能源应用工程,A755新疆大学,3,59412
26金融学(中外合作办学)(能源金融),A070天津财经大学,13,59939
06新能源汽车工程,A110中北大学,2,61281
1M新能源材料与器件,A424山东科技大学,47,64236
08能源动力类,A110中北大学,6,64989
38能源化学工程,A743青海大学,4,65643
07能源与动力工程,D991江苏科技大学苏州理工学院,2,65785
71能源动力类,B276南京工程学院,8,65893
23新能源科学与工程,A426青岛科技大学,68,66651
37能源化学工程,A534湖南科技大学,2,68306
EB能源化学工程,A142沈阳工业大学,3,68733
39能源与动力工程,A705西安石油大学,2,69081
44新能源材料与器件,A705西安石油大学,2,69680
11新能源科学与工程,A069天津商业大学,4,69980
39特种能源技术与工程,A110中北大学,8,70217
50能源化学工程,A705西安石油大学,2,70232
20能源与动力工程,A426青岛科技大学,64,71347
41新能源科学与工程,B641江苏海洋大学,3,71867
13能源动力类,A538中南林业科技大学,6,71885
47能源化学工程,A188东北电力大学,7,72071
1Q新能源材料与器件,A426青岛科技大学,60,73954
07能源动力类,A081华北理工大学,12,74024
27建筑环境与能源应用工程,A188东北电力大学,4,74400
D2建筑环境与能源应用工程,A292常州大学,3,74674
02能源经济,A125山西财经大学,3,74733
02建筑环境与能源应用工程,A404华东交通大学,2,75543
G5新能源材料与器件,A186长春理工大学,6,75670
