专业代号及名称,院校代号及名称,投档计划数,投档最低位次
06风景园林,A561华南理工大学,1,5743
19风景园林,A022北京林业大学,9,13869
30风景园林(景观建筑规划方向),A251华东理工大学,2,17253
63风景园林,A559暨南大学,2,20467
3R园林(国家卓越农林人才计划),A504华中农业大学,1,20594
14风景园林,A016北京建筑大学,1,20697
20园林,A022北京林业大学,9,20713
24风景园林,A712西北农林科技大学,4,21543
23园林,A712西北农林科技大学,3,21699
41风景园林,A504华中农业大学,2,21819
ZJ风景园林,A635西南大学,2,22349
07风景园林,A307南京农业大学,4,23033
09园林,A307南京农业大学,2,24219
Q2园林,A635西南大学,1,26559
A1风景园林,A298南京林业大学,2,28308
03风景园林,A703西安建筑科技大学,2,29096
09风景园林,A355中国美术学院,2,30423
A2园林,A298南京林业大学,2,31098
27风景园林,A225东北林业大学,6,33781
68园林,A626四川农业大学,3,34972
03风景园林,A153沈阳建筑大学,1,35381
08风景园林,A224东北农业大学,3,35941
26园林,A225东北林业大学,4,36285
2A风景园林,A589海南大学,2,36677
4G园林,A589海南大学,4,37613
29风景园林(五年),A385华侨大学,2,39440
4T风景园林,A341浙江农林大学,2,44861
85风景园林,A674昆明理工大学,2,49292
52风景园林,A534湖南科技大学,1,56714
33园林,A743青海大学,1,63676
19园林,A538中南林业科技大学,3,66412
0Q园林,A759石河子大学,4,68726
1C风景园林,A429青岛理工大学,30,69041
46风景园林,A489长江大学,5,70368
55园林(教育部卓越农林培养计划),A489长江大学,2,84812
07风景园林(景观规划设计方向),A430山东建筑大学,34,86671
44风景园林,A709西安工程大学,2,87054
QS风景园林(中外合作办学),A389福建农林大学,6,87088
0L风景园林,A555南华大学,3,87758
0C风景园林,A878安徽建筑大学,2,94506
1Y园林,A677西南林业大学,2,105614
24风景园林(园林规划设计方向),A430山东建筑大学,68,105955
53园林,A566广东海洋大学,2,108426
0K园林,A676云南农业大学,1,116501
B4园林,A410江西农业大学,2,118171
0W园林,A157沈阳农业大学,2,118218
1M园林,A076河北工程大学,2,119204
1G风景园林,A076河北工程大学,3,119984
S3风景园林,A201北华大学,2,121946
43风景园林,A191吉林建筑大学,2,123038
0M风景园林,A434山东农业大学,90,123340
0M风景园林,A193吉林农业大学,2,126930
0K园林,A434山东农业大学,50,128156
22风景园林,A219黑龙江科技大学,2,129652
70风景园林,A113山西农业大学,3,131946
26风景园林,B726长春大学,2,133438
1P园林,A086河北农业大学,5,135424
0C风景园林,A435青岛农业大学,81,138431
22园林,B726长春大学,2,141975
2J风景园林,A642重庆文理学院,3,143758
1T园林(含创新实验班30人),A435青岛农业大学,85,147209
23园林,A113山西农业大学,2,151586
13风景园林,C689东南大学成贤学院,1,153683
83风景园林,A129内蒙古农业大学,4,155163
1G风景园林,A128内蒙古工业大学,2,159602
0U园林,A447聊城大学,56,160063
02园林,B049淮阴工学院,2,163201
17风景园林,A733甘肃农业大学,8,163589
34园林,A129内蒙古农业大学,4,164679
0V风景园林,A879安徽科技学院,3,165189
01风景园林(校企合作，与山东骏文信息科技有限公司合作),A435青岛农业大学,60,166371
13风景园林,B527湖南城市学院,2,167928
23园林(地方专项计划),A447聊城大学,10,168153
15园林,A733甘肃农业大学,6,170708
02风景园林,A448德州学院,5,172238
K2园林,A223黑龙江八一农垦大学,4,174464
07园林,E276齐鲁师范学院,80,179875
24园林,B067潍坊学院,50,182774
K4风景园林,A480许昌学院,5,187454
39风景园林,B765河南城建学院,4,187762
44园林,A483商丘师范学院,2,188667
37园林,A548怀化学院,3,191273
02风景园林,A908山东工艺美术学院,10,197985
56风景园林,A607广西艺术学院,3,198120
32园林,A123运城学院,5,199043
11园林,A812吕梁学院,5,199684
06风景园林,B837桂林旅游学院,2,200801
1A风景园林(校企合作，与山东兴润园林生态股份有限公司合作),E439山东农业工程学院,80,205138
07园林,A757塔里木大学,13,206185
0R园林,D997青岛农业大学海都学院,10,208903
10风景园林,E043四川文化艺术学院,2,218155
23风景园林,D605长春建筑学院,2,221887
1C园林,C843潍坊科技学院,67,224950
1H园林,A693西藏农牧学院,3,227210
05风景园林,C779山西应用科技学院,10,228046
0R风景园林,E000潍坊理工学院,50,232485
25园林,D605长春建筑学院,4,233204
