专业代号及名称,院校代号及名称,投档计划数,投档最低位次
05大气科学类,P002国防科技大学,10,6189
99大气科学,A423中国海洋大学,22,14330
36大气科学类,A730兰州大学,10,17613
06大气科学,A491中国地质大学(武汉),5,22147
02大气科学类,A300南京信息工程大学,26,22974
19大气科学,A673云南大学,3,25883
3C大气科学,A126内蒙古大学,2,39444
01大气科学类,A621成都信息工程大学,5,43571
06大气科学,A624中国民用航空飞行学院,1,75005
25大气科学,D982无锡学院,2,81082
17大气科学,A566广东海洋大学,4,84786
03应用气象学,A300南京信息工程大学,4,24451
07气象技术与工程,A300南京信息工程大学,2,26484
05应用气象学(航空气象),A059中国民航大学,8,36646
07应用气象学(机场气象预报、航空公司气象分析),A624中国民用航空飞行学院,1,46044
18应用气象学,A566广东海洋大学,3,93078
05应用气象学,A157沈阳农业大学,3,116172
BF智慧气象技术,F208兰州资源环境职业技术大学,5,219995
