专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0G数学与应用数学,E430中国科学院大学,2,203
4N数学类(拔尖学生培养基地),A246复旦大学,3,228
02理科试验班类(华罗庚数学拔尖计划),A006北京航空航天大学,1,616
1F数学与应用数学(国家拔尖计划),A698西安交通大学,3,1515
J1数学与应用数学(数学拔尖学生培养),A247同济大学,3,1601
QH数学类(含数学国家拔尖学生培养基地),A486武汉大学,6,1633
0D经济学(双学士学位、经济学院和数学学院培养),A272上海财经大学,2,1893
1R数学类,A027北京师范大学,13,1993
3T数学类,A487华中科技大学,2,2172
0K数学类(广州),A558中山大学,6,2865
0X投资学(双学士学位、公管学院和数学学院培养),A272上海财经大学,3,3011
76数学与应用数学,A269华东师范大学,2,3219
34数学与应用数学(基地班),A610四川大学,2,3402
35数学与应用数学(数学经济学双学士学位),A610四川大学,2,3711
36数学类,A610四川大学,2,3914
12数学类,A272上海财经大学,5,4084
19数学类(含物理类),A384厦门大学,10,4253
11数学类,A034中央财经大学,4,4447
32金融数学,A036对外经济贸易大学,4,4488
10数学类,A422山东大学,72,4646
29数学类,A561华南理工大学,3,5021
19数学类,A699西北工业大学,4,6091
04数学与应用数学(中外合作办学),H002中国人民大学(苏州校区),2,6574
A5数学类(数学物理类),A533中南大学,12,6858
23数学与应用数学,A019中国农业大学,2,7415
DH理科试验班(数学物理类),A611重庆大学,5,7564
52数学类,A183吉林大学,10,7869
49数学类(数学类及华罗庚数学基础科学拔尖计划班),A141大连理工大学,9,8302
0T数学与应用数学(数学与经济学双学位),A651西南财经大学,1,8382
0U金融数学,A651西南财经大学,1,8399
09理科试验班(数学与统计),A004北京交通大学,4,8410
22数学类,A511华中师范大学,1,8498
38数学类,A532湖南大学,6,8501
1E金融数学,A285苏州大学,3,8635
0S数学与应用数学,A651西南财经大学,1,8978
1F数学类,A285苏州大学,2,9706
16数学类,A008北京科技大学,5,10407
18数学类,H213哈尔滨工业大学(威海),30,11436
22数学类,A251华东理工大学,3,11457
0T金融数学,A520中南财经政法大学,4,12688
9X数学类,A423中国海洋大学,24,13185
0Q数学类,H027北京师范大学(珠海校区),23,13383
0F数学类,H422山东大学威海分校,67,14031
28数学类,A730兰州大学,10,14063
0K数学类,A054华北电力大学(北京),4,14535
1B数学类,A145东北大学,8,14556
2A数学与应用数学,A559暨南大学,2,14711
29数学与应用数学,A613西南交通大学,2,14886
5F数学类(金融与统计),A255东华大学,3,14906
30数学与应用数学(教育部拔尖计划实验班),A028首都师范大学,2,15012
76数学与应用数学,A590深圳大学,2,15018
K2数学类,A635西南大学,3,15110
31数学类(数理实验班),A028首都师范大学,2,15560
14数学类(威海走读),Y011山东大学威海分校,3,15748
32数学类,A028首都师范大学,2,15927
66数学与应用数学,B415中国地质大学(北京),2,15968
M0数学类,A542湖南师范大学,4,16106
03数学类,H145东北大学秦皇岛分校,7,16307
C5数学类,A200东北师范大学,5,16475
39数学与应用数学(中外合作办学),A213哈尔滨工业大学,4,16594
08理科试验班(数学、物理电子与管理),A010北京化工大学,12,16747
Z9数学类,A294河海大学,7,16854
45数学与应用数学,A022北京林业大学,3,16990
4B数学类,A497武汉理工大学,19,17735
17数学类,B414中国石油大学(北京),4,17768
40数学类,A697西北大学,6,17980
H5金融数学(中外合作办学)(金融服务与量化分析方向),A651西南财经大学,4,18581
43数学类,A425中国石油大学(华东),26,19132
97数学类,A386福州大学,2,19425
81数学类,B413中国矿业大学(北京),8,19629
01数学类,A080河北工业大学,2,19769
44数学类(韶峰班),A530湘潭大学,2,19775
04数学类,A079华北电力大学(保定),7,20308
26数学类,A459郑州大学,10,20361
17数学与应用数学,A359合肥工业大学,4,20548
18数学与应用数学(中外合作办学),H422山东大学威海分校,40,20754
02数学类,A357安徽大学,4,21176
20数学类,A491中国地质大学(武汉),8,21394
3M数学与应用数学(试验班),A112太原理工大学,1,21493
39数学类,A710长安大学,2,21670
11数学类,A151大连海事大学,4,21752
0E数学与应用数学,A217哈尔滨工程大学,9,22157
18数学与应用数学,A112太原理工大学,1,22678
43数学类,A530湘潭大学,4,22811
7G数学与应用数学(师范类),A345浙江师范大学,3,23713
39数学与应用数学(师范类),A065天津师范大学,1,24075
0Q数学类,A290中国矿业大学,32,24317
11数学与应用数学,A673云南大学,4,24394
49数学与应用数学,A140辽宁大学,4,24435
76数学与应用数学(师范类),A300南京信息工程大学,2,24797
32数学与应用数学,A300南京信息工程大学,2,25521
14数学类,A336杭州电子科技大学,4,25794
0Y数学与应用数学,A291南京工业大学,2,27733
9T数学类,A657贵州大学,3,27864
33数学类,A058天津工业大学,8,28698
6D数学与应用数学(数学金融AI实验班),A270上海师范大学,7,28878
04金融数学,A327南京财经大学,2,29097
2E数学与应用数学,A589海南大学,6,29821
2Z金融数学,A070天津财经大学,3,30266
6B数学与应用数学(中外合作办学),A559暨南大学,4,30721
36数学与应用数学,A225东北林业大学,5,31032
01数学类(按数理类培养),A338浙江理工大学,2,31144
35数学类,A126内蒙古大学,4,31357
0E数学与应用数学,A327南京财经大学,4,32095
1V数学类,A475河南大学,5,32135
55数学与应用数学(中外合作办学),A423中国海洋大学,50,32408
2E数学与应用数学(经济数学与数学建模),A070天津财经大学,3,33084
01数学类,A593广西大学,10,33443
04数学与应用数学(师范类),A445山东师范大学,175,34460
6F数学与应用数学,A755新疆大学,6,34754
MD数学与应用数学(厦门大学马来西亚分校招生专业),A384厦门大学,3,34887
1X数学与应用数学(师范类，地方专项计划),A445山东师范大学,2,34919
38数学与应用数学(师范),A749宁夏大学,4,34937
24数学与应用数学,A356中国计量大学,2,35092
11数学类(数学与信息科学类),A617重庆邮电大学,5,35897
37数学与应用数学(基础拔尖人才培养班),A749宁夏大学,4,36012
0H金融数学,B047上海立信会计金融学院,2,36572
34数学与应用数学,A615西南石油大学,4,36782
0R数学与应用数学(师范类),A320江苏师范大学,5,36900
