专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0N理科试验班类(物理基础类),A003清华大学,64,155
0J物理学,E430中国科学院大学,4,341
4Z自然科学试验班(物理化学方向，拔尖学生培养基地),A246复旦大学,14,569
B4物理学类(含物理学国家拔尖学生培养基地),A486武汉大学,9,2016
02物理学类,A487华中科技大学,5,2113
1S物理学类,A027北京师范大学,22,3125
79物理学,A269华东师范大学,2,3886
19数学类(含物理类),A384厦门大学,10,4253
1E物理学类(珠海),A558中山大学,15,4578
37物理学类,A610四川大学,3,5001
32物理学类,A561华南理工大学,2,5252
A5数学类(数学物理类),A533中南大学,12,6858
20物理学类,A699西北工业大学,8,6869
DH理科试验班(数学物理类),A611重庆大学,5,7564
XJ物理学类,A422山东大学,80,7882
53应用物理学(王大珩物理基础科学拔尖计划班),A141大连理工大学,4,8155
54物理学类,A183吉林大学,10,8855
26物理学类,A511华中师范大学,2,9172
48应用物理学,A532湖南大学,5,9703
17应用物理学,A008北京科技大学,3,10685
9F物理学,A423中国海洋大学,10,12976
1M物理学(师范类、非师范类),A319南京师范大学,3,13481
1T应用物理学,A287南京航空航天大学,6,13786
72物理学类,A730兰州大学,24,14287
23物理学类,A251华东理工大学,7,14714
0L物理学类,A054华北电力大学(北京),1,14845
0E物理学,H422山东大学威海分校,33,14880
1C应用物理学,A145东北大学,8,15357
5H物理学类(光电与能源新技术),A255东华大学,3,15779
D2物理学,A635西南大学,2,16331
08理科试验班(数学、物理电子与管理),A010北京化工大学,12,16747
M2应用物理学,A294河海大学,4,17617
1D物理学类,A718陕西师范大学,9,17831
C7物理学类,A200东北师范大学,6,17956
N1物理学类,A542湖南师范大学,2,18002
41物理学类,A697西北大学,6,18128
40应用物理学(中外合作办学),A213哈尔滨工业大学,2,18387
13物理学(威海走读),Y011山东大学威海分校,3,18601
17康复治疗学(物理治疗),A025首都医科大学,1,20074
44应用物理学,A425中国石油大学(华东),12,20904
28物理学类,A459郑州大学,8,21184
48应用物理学,A613西南交通大学,14,21737
10地球物理学(国家拔尖计划),A491中国地质大学(武汉),5,22209
05物理学类,A079华北电力大学(保定),3,22487
0G应用物理学,A217哈尔滨工程大学,3,22611
27地球物理学类,B414中国石油大学(北京),2,22951
55物理学类,A403南昌大学,3,23235
07应用物理学,A359合肥工业大学,4,23533
77物理学(师范类),A300南京信息工程大学,2,23914
53地球物理学,A425中国石油大学(华东),6,24154
5K地球物理学,B415中国地质大学(北京),4,24339
23物理学(国家基地),A108山西大学,2,24846
0R物理学类,A290中国矿业大学,16,25025
1C应用物理学,A112太原理工大学,3,25095
19应用物理学(中外合作办学),H422山东大学威海分校,40,26033
51物理学,A140辽宁大学,2,26405
56应用物理学(中外合作办学),A141大连理工大学,6,26920
31物理学,B646宁波大学,2,27016
14物理学,A673云南大学,4,27260
53物理学类,A345浙江师范大学,3,27663
56物理学(中外合作办学),A183吉林大学,6,28050
54物理学(师范类),A065天津师范大学,6,28220
1U物理学,A657贵州大学,2,28260
37物理学,A126内蒙古大学,2,29708
33地球物理学,B413中国矿业大学(北京),4,29734
36应用物理学,A058天津工业大学,4,29983
66物理学类,A075河北大学,2,30233
21物理学(师范类),A475河南大学,3,30451
49康复物理治疗,A043北京体育大学,3,30493
1Q材料物理,A359合肥工业大学,7,30688
2L应用物理学,A589海南大学,6,31220
59地球物理学类,A710长安大学,3,31261
39材料物理,A300南京信息工程大学,2,31419
18物理学类(物理与光电信息类),A337浙江工业大学,6,31976
38物理学,A225东北林业大学,5,32375
1B地球物理学,A673云南大学,4,32893
38物理学类,A126内蒙古大学,4,33011
82应用物理学,A256上海电力大学,3,33289
47物理学,A530湘潭大学,3,33324
0L应用物理学,A616成都理工大学,4,35029
MH物理学(厦门大学马来西亚分校招生专业),A384厦门大学,2,35998
15物理学,A512湖北大学,3,36116
25物理学类,A356中国计量大学,1,36602
47物理学,A184延边大学,4,37412
12应用物理学,A216燕山大学,6,37649
0S材料物理(中外合作办学),A217哈尔滨工程大学,4,37763
0N物理学(师范类),A445山东师范大学,120,38979
3D物理学(基础拔尖人才培养班),A749宁夏大学,4,40115
3K物理学(师范类，地方专项计划),A445山东师范大学,6,40510
17物理学,A536长沙理工大学,2,41479
0S物理学(师范类),A320江苏师范大学,5,41501
27应用物理学,A289江苏科技大学,3,41660
13应用物理学,A143沈阳航空航天大学,2,41946
14应用物理学(拔尖人才试点班),A385华侨大学,4,42781
0C地球物理学,A616成都理工大学,8,43072
1W应用物理学(中外合作办学),A080河北工业大学,2,43776
5G物理学,A755新疆大学,6,45201
1Y材料物理(中外合作办学),A080河北工业大学,2,45218
40物理学(师范类),A637重庆师范大学,5,46742
03材料物理,A700西安理工大学,2,46872
37物理学(师范类),A370安徽师范大学,2,48083
16物理学(师范类),A094河北师范大学,5,48112
18应用物理学,E655深圳技术大学,2,48241
0Q材料物理(半导体芯片制造方向),A490武汉工程大学,2,48569
2E应用物理学(中外合作办学),A357安徽大学,8,49662
61应用物理学,A390集美大学,3,49864
0R物理学,A636四川师范大学,4,52876
08材料物理(无损检测与表面工程),A059中国民航大学,5,53345
2B应用物理学,B065青岛大学,66,54154
56物理学(师范类),A736西北师范大学,2,54678
08核物理,A555南华大学,2,54793
2R物理学(师范类),A414江西师范大学,9,55461
14应用物理学(地方专项计划),B065青岛大学,10,57058
1D应用物理学,A759石河子大学,8,57600
7F物理学(师范类),A231哈尔滨师范大学,3,57617
1C物理学(师范类),A759石河子大学,5,58231
1L应用物理学,A424山东科技大学,31,59204
25应用物理学,B660重庆理工大学,3,62302
A1应用物理学,A186长春理工大学,6,62404
E2应用物理学,A142沈阳工业大学,3,63118
45物理学(师范类),A513湖北师范大学,8,65008
28应用物理学,A214哈尔滨理工大学,6,65366
10康复物理治疗,A678昆明医科大学,1,65405
03应用物理学,A702西安工业大学,3,66765
0V物理学(师范类),A118山西师范大学,2,66815
B1物理学(设物理学、教师教育、光电信息3个专业方向),B075三峡大学,4,67878
1R应用物理学,A426青岛科技大学,25,68262
32物理学(师范类),A340浙江海洋大学,2,68628
33物理学,A212黑龙江大学,11,71618
