专业代号及名称,院校代号及名称,投档计划数,投档最低位次
01会计学,A272上海财经大学,3,1767
06工商管理类(会计学院),A034中央财经大学,7,2586
3D会计学(ACCA),A698西安交通大学,2,2693
12会计学(含会计、财务、审计),A384厦门大学,7,3179
36会计学,A561华南理工大学,1,4396
04外国语言文学类(外国语言文学加会计或财务),A384厦门大学,3,4626
0C会计学(注册会计师专门化方向),A651西南财经大学,2,6358
0D会计学(双语实验班),A651西南财经大学,2,6745
0L法学(法学与会计学双学位),A651西南财经大学,2,7305
0B工商管理类(会计学院),A651西南财经大学,4,7767
09会计学,A532湖南大学,7,9426
H1会计学(中外合作办学),A007北京理工大学,4,9493
A9会计学,A423中国海洋大学,17,10690
0P工商管理类(会计学院),A520中南财经政法大学,10,11212
47会计学,A183吉林大学,20,12307
N1会计学,A294河海大学,3,13906
0N会计学,A287南京航空航天大学,3,14227
31会计学(注册会计师方向),A173东北财经大学,2,14314
61会计学,A590深圳大学,2,15107
32会计学(国际会计方向),A173东北财经大学,2,17061
H2会计学(中外合作办学),A651西南财经大学,4,18278
32会计学,A386福州大学,2,18418
06会计学,A038首都经济贸易大学,3,18703
10会计学(国际会计方向),A273上海对外经贸大学,3,18750
55会计学,A295江南大学,9,19094
46会计学,A425中国石油大学(华东),33,19876
0X会计学,A080河北工业大学,2,20290
33会计学,A307南京农业大学,8,21164
4D会计学(国际会计师),A403南昌大学,3,21283
1A会计学,B287南京审计大学,3,21519
1P会计学,A112太原理工大学,2,21843
26会计学,A032北京语言大学,2,22495
M3会计学(厦门大学马来西亚分校招生专业),A384厦门大学,3,22642
28工商管理(国际会计),A038首都经济贸易大学,2,22962
0E法学(法务会计),B287南京审计大学,3,23437
2P会计学(注册会计师),A070天津财经大学,5,23788
58会计学,A353浙江工商大学,4,23917
54会计学(注册会计师),A421江西财经大学,3,25116
2Q会计学,A070天津财经大学,4,25222
15会计学(ACCA),A421江西财经大学,4,25263
12会计学,A421江西财经大学,3,26258
80会计学,A626四川农业大学,3,26750
3K会计学,A589海南大学,7,27175
4H会计学,A126内蒙古大学,2,27484
05会计学(中外合作办学),H004北京交通大学(威海校区),9,27695
14会计学(CIMA),A421江西财经大学,3,27721
05会计学(智能会计),A011北京工商大学,5,28255
YD会计学(卓越班),A536长沙理工大学,1,28565
44会计学(国际会计),A421江西财经大学,2,28786
35法学(法务会计),A421江西财经大学,2,29352
14会计学,A530湘潭大学,4,29617
85会计学(中外合作办学),A140辽宁大学,1,29894
01会计学,B047上海立信会计金融学院,6,30121
17会计学,C689东南大学成贤学院,1,31033
0Q会计学(智能会计勤信实验班),B232北京信息科技大学,2,31563
06会计学,A536长沙理工大学,2,31871
15会计学,A264上海海洋大学,10,31933
40会计学,A615西南石油大学,2,32080
23会计学,A700西安理工大学,2,32795
82会计学(中外合作办学),A140辽宁大学,5,33275
G1会计学(中外合作办学),A200东北师范大学,6,33440
31会计学,B078广州大学,3,34235
KG会计学,B664西安邮电大学,2,37210
06会计学(中外合作办学),B482浙江财经大学,2,38156
27会计学,A125山西财经大学,3,40562
53会计学(中外合作办学)(与英国奥斯特大学合作办学),A173东北财经大学,6,40722
28会计学(注册会计师),A037北京物资学院,1,42011
0X会计学(辅修英语专业双学位),A490武汉工程大学,2,42027
14会计学,A484河南财经政法大学,2,42706
0N会计学,A456山东财经大学,170,43243
0W会计学(英国高等教育文凭项目),A749宁夏大学,5,44326
22会计学,A304南通大学,2,45412
0U会计学,A404华东交通大学,2,45961
29会计学(智能会计),A037北京物资学院,1,46147
0W会计学(含大数据会计、智能财务方向),A490武汉工程大学,4,46325
38会计学,A069天津商业大学,3,46402
1Q会计学(地方专项计划),B065青岛大学,5,46607
D2会计学,H414中国石油大学(北京)克拉玛依校区,7,47008
10会计学,B065青岛大学,110,47402
ZS会计学,A636四川师范大学,2,47413
16会计学,B560西安财经大学,2,48941
1P会计学,A424山东科技大学,29,49144
2M会计学(中外合作办学)(与澳大利亚维多利亚大学合作办学),A475河南大学,6,49494
1H会计学,A292常州大学,1,50115
18会计学,A703西安建筑科技大学,3,50325
0N会计学,B417北京联合大学,3,50493
08会计学,A378安徽财经大学,2,50814
18会计学,A636四川师范大学,2,51391
29会计学,B660重庆理工大学,4,51687
2V会计学,A759石河子大学,4,53436
52会计学,A188东北电力大学,10,53579
51会计学,B276南京工程学院,2,53841
09会计学,C050上海商学院,4,54013
01会计学,A207吉林财经大学,5,54799
75会计学,A534湖南科技大学,2,55148
11会计学,A370安徽师范大学,2,55982
1H会计学(国际会计),B417北京联合大学,2,56330
0A会计学,A414江西师范大学,4,56784
13会计学,A708陕西科技大学,3,56812
45会计学,A689云南财经大学,4,58143
17会计学(地方专项计划),A424山东科技大学,15,58581
1K会计学(校企合作，与信永中和会计事务所合作),A456山东财经大学,100,59446
0D会计学,A623西华大学,4,59778
17会计学,A656西南民族大学,3,60855
05会计学,B540广东金融学院,1,61487
N6会计学,A360安徽工业大学,2,61801
29会计学,A732兰州交通大学,1,63245
80工商管理类(会计学院),A240哈尔滨商业大学,9,63678
60会计学,A538中南林业科技大学,2,63999
0F会计学,A429青岛理工大学,61,65034
28会计学,B832河北经贸大学,10,66092
97财务会计教育(师范类),A066天津职业技术师范大学,3,66966
48会计学(中外合作办学),B799重庆工商大学,4,67149
53会计学,B535湖南工业大学,2,67807
05会计学(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,14,68619
15会计学,B048金陵科技学院,1,68868
57会计学,A537湖南农业大学,3,68965
0Z会计学,A741兰州财经大学,3,68976
26财务会计教育(师范类),A513湖北师范大学,2,69805
48会计学,A709西安工程大学,3,70322
52会计学,A460河南理工大学,2,70915
H4会计学,A142沈阳工业大学,6,71162
23会计学,A595桂林电子科技大学,2,71410
24会计学(中外合作办学)(国际会计方向),F405温州肯恩大学,5,75150
37会计学,A144沈阳理工大学,3,75407
05会计学,A354嘉兴学院,2,75536
0V会计学,B066烟台大学,65,76452
46会计学,A373淮北师范大学,1,76469
22会计学,A463河南工业大学,2,76568
2A会计学,A361安徽理工大学,2,76973
39会计学,C026大连民族大学,2,76987
0R会计学,A878安徽建筑大学,2,77012
H1会计学,A407江西理工大学,2,77241
29会计学,A694西藏大学,4,77859
0T会计学,A153沈阳建筑大学,1,78066
8S大数据与会计,A850南京工业职业技术大学,1,78664
14会计学,A109太原科技大学,2,79482
1G会计学(中外合作办学),A207吉林财经大学,4,80296
05会计学,A167渤海大学,1,80482
15会计学,B149中华女子学院,4,82863
22会计学,A602广西师范大学,3,82978
E3会计学,A061天津农学院,1,83363
29会计学,A154辽宁工业大学,1,84477
Q2软件工程(会计方向),A407江西理工大学,2,86419
1W会计学,A731兰州理工大学,5,91262
50会计学(中外合作办学),A125山西财经大学,5,91890
