专业代号及名称,院校代号及名称,投档计划数,投档最低位次
C8信息管理与信息系统,A486武汉大学,3,2497
86信息管理与信息系统,A269华东师范大学,1,4530
27信息管理与信息系统(法治信息管理实验班),A053中国政法大学,2,7916
21信息管理与信息系统,H213哈尔滨工业大学(威海),18,12113
38信息管理与信息系统,A288南京理工大学,6,15591
2D信息管理与信息系统,A559暨南大学,2,17128
25信息管理与信息系统,A497武汉理工大学,4,17317
N2信息管理与信息系统,A294河海大学,3,18089
20信息管理与信息系统,B414中国石油大学(北京),4,18678
43信息管理与信息系统,A022北京林业大学,3,19347
27信息管理与信息系统(管理信息方向),A022北京林业大学,2,19470
36信息管理与信息系统,A697西北大学,3,20556
5B信息管理与信息系统,B415中国地质大学(北京),2,20793
08信息管理与信息系统,A359合肥工业大学,5,20998
68信息管理与信息系统(中外合作办学),A280上海大学,3,21059
42信息管理与信息系统,A307南京农业大学,4,23575
H4信息管理与信息系统(中外合作办学)(信息系统与数据管理方向),A651西南财经大学,5,26947
07信息管理与信息系统,B646宁波大学,2,28735
81信息管理与信息系统,H635西南大学(荣昌校区),6,31716
4D信息管理与信息系统,A126内蒙古大学,1,32441
21信息管理与信息系统,A530湘潭大学,4,35774
16信息管理与信息系统,A617重庆邮电大学,2,35813
20信息管理与信息系统,A356中国计量大学,2,36941
01信息管理与信息系统(中外合作办学),H004北京交通大学(威海校区),12,37648
25信息管理与信息系统,A700西安理工大学,2,38609
1E信息管理与信息系统,A445山东师范大学,5,39404
40信息管理与信息系统,A184延边大学,3,39727
0Y信息管理与信息系统,A631重庆医科大学,1,42601
27信息管理与信息系统(金融智能),A421江西财经大学,4,43217
0J信息管理与信息系统,B047上海立信会计金融学院,2,48587
2X信息管理与信息系统,B065青岛大学,23,48686
0K信息管理与信息系统(地方专项计划),A445山东师范大学,6,49602
04信息管理与信息系统,A743青海大学,9,49907
0U信息管理与信息系统(地方专项计划),B065青岛大学,5,50462
17信息管理与信息系统(中外合作办学),B287南京审计大学,2,51161
44信息管理与信息系统(中外合作办学),A058天津工业大学,12,51544
4H信息管理与信息系统(中外合作办学),A264上海海洋大学,15,51879
58信息管理与信息系统,A188东北电力大学,3,55245
44信息管理与信息系统,A674昆明理工大学,3,55912
0Z信息管理与信息系统(商务智能决策方向),A490武汉工程大学,2,59332
69信息管理与信息系统,A212黑龙江大学,2,59538
18信息管理与信息系统,A214哈尔滨理工大学,2,60231
L3信息管理与信息系统,A186长春理工大学,1,63198
H3信息管理与信息系统,A292常州大学,2,63260
23信息管理与信息系统,A541湖南中医药大学,1,64678
56信息管理与信息系统,A705西安石油大学,2,70881
03信息管理与信息系统,A732兰州交通大学,2,76713
0B信息管理与信息系统,A427济南大学,16,77001
30信息管理与信息系统,B057浙江科技学院,2,77802
H8信息管理与信息系统,A360安徽工业大学,4,81151
35信息管理与信息系统,A144沈阳理工大学,1,82901
10信息管理与信息系统,A489长江大学,4,83307
79信息管理与信息系统,A081华北理工大学,5,83356
21信息管理与信息系统,A125山西财经大学,2,83682
60信息管理与信息系统,B535湖南工业大学,2,84993
0M信息管理与信息系统,A207吉林财经大学,2,85549
27信息管理与信息系统,A378安徽财经大学,4,85957
24信息管理与信息系统(医学信息学方向),A114山西医科大学,2,90086
BJ信息管理与信息系统,A343温州医科大学,2,91398
09信息管理与信息系统,A012北京服装学院,2,94947
16信息管理与信息系统,A109太原科技大学,2,100079
1F信息管理与信息系统(校企合作，与浪潮集团有限公司合作),A456山东财经大学,100,101962
26信息管理与信息系统,B406甘肃政法大学,1,105264
1C信息管理与信息系统(济南走读),Y016济南大学,20,107550
0Y信息管理与信息系统,A507湖北中医药大学,3,112857
1W信息管理与信息系统,A433山东理工大学,45,121218
1N信息管理与信息系统,A430山东建筑大学,33,123107
0R信息管理与信息系统(校企合作，与青岛英谷教育公司合作),A429青岛理工大学,35,127246
45信息管理与信息系统,A190长春工业大学,3,128435
27信息管理与信息系统(档案信息化管理方向),A433山东理工大学,40,131517
0Y信息管理与信息系统,A226哈尔滨医科大学,8,136557
20信息管理与信息系统,A598广西医科大学,2,141653
27信息管理与信息系统,A741兰州财经大学,3,143271
49信息管理与信息系统,A219黑龙江科技大学,4,147409
27信息管理与信息系统,A809山西中医药大学,2,151112
19信息管理与信息系统,A441山东中医药大学,31,151296
