专业代号及名称,院校代号及名称,投档计划数,投档最低位次
48市场营销,A423中国海洋大学,8,16953
18市场营销,A559暨南大学,2,18176
48市场营销,A425中国石油大学(华东),10,23907
H1市场营销(中外合作办学)(金融服务与营销),A651西南财经大学,6,28974
38市场营销,A019中国农业大学,109,31535
82市场营销,H635西南大学(荣昌校区),6,33383
14市场营销(一带一路营销管理),A031北京第二外国语学院,2,37038
0Q市场营销,A327南京财经大学,4,37102
67市场营销,A065天津师范大学,2,44566
4J市场营销(中外合作办学),A264上海海洋大学,5,46987
83市场营销(中外合作办学),A140辽宁大学,5,47297
15市场营销,A299江苏大学,3,54437
59市场营销(数字营销),A421江西财经大学,2,54848
17市场营销,A636四川师范大学,2,58933
10市场营销(国际营销),A421江西财经大学,4,71308
2L市场营销,A426青岛科技大学,14,73871
10市场营销(中外合作办学),B482浙江财经大学,7,74057
35市场营销,A344浙江中医药大学,1,74127
24市场营销,A541湖南中医药大学,1,75515
12市场营销,A708陕西科技大学,3,78543
15市场营销,B560西安财经大学,2,78846
2H市场营销,A292常州大学,7,79676
25市场营销,A125山西财经大学,3,80072
0T市场营销,A507湖北中医药大学,2,80186
25市场营销(中外合作办学)(国际方向),F405温州肯恩大学,4,83792
0G市场营销,A429青岛理工大学,30,85664
0Q市场营销,A207吉林财经大学,2,87963
05市场营销,B048金陵科技学院,1,88866
21市场营销,A694西藏大学,2,89466
28市场营销,A732兰州交通大学,1,99455
34市场营销,A078华北水利水电大学,5,105964
10市场营销,A354嘉兴学院,2,107999
29市场营销,A361安徽理工大学,8,108017
01市场营销,C026大连民族大学,2,108800
28市场营销,B406甘肃政法大学,1,115634
0T市场营销,A624中国民用航空飞行学院,2,124992
47市场营销,A622四川轻化工大学,3,128679
1V市场营销,A731兰州理工大学,2,130632
0H市场营销,A433山东理工大学,41,130821
14市场营销,B726长春大学,2,132360
08市场营销,A167渤海大学,6,134846
32市场营销,C034湖南第一师范学院,4,140150
90市场营销,A166沈阳师范大学,4,142987
48市场营销,A219黑龙江科技大学,3,144217
32市场营销,A408景德镇陶瓷大学,1,145529
0J市场营销,B532湖南财政经济学院,2,146014
77市场营销,B053徐州工程学院,2,147295
51市场营销,A113山西农业大学,2,148543
10市场营销,A071天津体育学院,4,153182
12市场营销,A127内蒙古科技大学,1,154243
0Z市场营销,A441山东中医药大学,54,154504
07市场营销(地方专项计划),A441山东中医药大学,5,155135
45市场营销(中外合作办学),A463河南工业大学,6,156184
0A市场营销,A608广西民族大学,2,156790
10市场营销,A412江西中医药大学,2,157342
72市场营销,Y000哈尔滨理工大学,14,158467
0V市场营销,B319南昌工程学院,2,159930
22市场营销,A809山西中医药大学,6,159935
0N市场营销,A879安徽科技学院,2,160999
G1市场营销,A162辽宁中医药大学,3,162533
19市场营销,B840西安医学院,3,163905
27市场营销,A418赣南师范大学,2,165142
1X市场营销(校企合作，与中兴协力教育山东公司合作),A430山东建筑大学,70,166602
1V市场营销(菏泽校区),Y005齐鲁工业大学,132,167293
19市场营销,B510山东交通学院,26,168841
0Z市场营销,B104华北科技学院,8,171673
07市场营销,A438潍坊医学院,18,171930
1J市场营销,B067潍坊学院,44,174833
18市场营销,A245哈尔滨金融学院,4,175358
1F市场营销,B688山东工商学院,36,176173
40市场营销,A465中原工学院,4,178145
3D市场营销,B508新余学院,1,180960
11市场营销,A766新疆财经大学,3,181753
02市场营销,B538湖南女子学院,2,185131
1J市场营销(校企合作，与鼎利集团合作；菏泽校区),Y005齐鲁工业大学,240,187635
15市场营销,B802黑龙江工程学院,2,189137
0H市场营销,A443济宁医学院,37,190260
17市场营销,E277山东青年政治学院,70,190313
2D市场营销,A449滨州学院,40,191882
27市场营销,A192吉林化工学院,2,192376
1K市场营销(数字营销),A448德州学院,40,192728
25市场营销,B261吉林工商学院,2,192905
22市场营销,B311三明学院,2,195380
63市场营销,A233牡丹江师范学院,4,195520
23市场营销,D706吉林医药学院,2,196289
0Z市场营销,A398宁德师范学院,4,196405
0D市场营销,C331山东女子学院,69,196902
38市场营销,D469厦门大学嘉庚学院,4,196929
24市场营销,A469河南牧业经济学院,5,199011
20市场营销,C689东南大学成贤学院,1,199520
83市场营销,D534山西工学院,6,199854
06市场营销,B825桂林航天工业学院,2,199947
2F市场营销,A609百色学院,2,200875
02市场营销,D290浙江工商大学杭州商学院,2,201441
17市场营销,F202河北石油职业技术大学,4,202525
0D市场营销(校企合作，与青岛英谷教育科技公司合作),B067潍坊学院,70,202576
1J市场营销(校企合作，与山东华仁教育发展公司合作),A453泰山学院,40,202717
06市场营销(校企合作，与山东开创集团股份有限公司合作),A443济宁医学院,40,202753
0S市场营销(校企合作，与淄博开创云计算有限公司合作),E438山东管理学院,80,203717
17市场营销,D985苏州科技大学天平学院,2,204063
12市场营销(校企合作，与中软创新国际信息研究院合作),A449滨州学院,40,204072
11市场营销,B445黑龙江工业学院,3,204171
13市场营销,B837桂林旅游学院,2,204311
1C市场营销,D558新疆理工学院,2,204691
3D市场营销,D198大连理工大学城市学院,1,208161
03市场营销(品牌管理与策划),D904北京工业大学耿丹学院,1,209113
GS市场营销,A758新疆农业大学,15,209130
H0市场营销,D561新疆科技学院,7,209393
08市场营销,D986江苏大学京江学院,3,209736
12市场营销,D987扬州大学广陵学院,3,209749
09市场营销,E625茅台学院,2,210066
04市场营销,D635长沙理工大学城南学院,2,210562
11市场营销,D538山西晋中理工学院,2,210925
05市场营销,D990南京财经大学红山学院,4,211456
0P市场营销,D997青岛农业大学海都学院,10,212385
16市场营销(数字营销),D433南昌航空大学科技学院,3,212580
11市场营销,B400西安培华学院,2,213798
13市场营销(中外合作办学),B100海南热带海洋学院,5,213851
0C市场营销,D441江西财经大学现代经济管理学院,2,214020
03市场营销,D992常州大学怀德学院,2,214641
06市场营销,D999山东财经大学东方学院,10,214744
18市场营销,D684珠海科技学院,3,216878
1B市场营销(中外合作办学),B688山东工商学院,16,218949
0L市场营销,C332烟台南山学院,22,219194
17市场营销,D899北京中医药大学东方学院,4,222906
04市场营销,E040郑州商学院,5,223514
0V市场营销,C843潍坊科技学院,70,224144
0R市场营销,E002烟台科技学院,30,225179
29市场营销,D245荆州学院,2,225475
0C市场营销,A825齐鲁医药学院,45,226284
C7市场营销,D903成都锦城学院,2,227087
04市场营销,C544宁夏理工学院,2,228188
0S市场营销,D830广西外国语学院,1,231816
22市场营销,C779山西应用科技学院,10,231957
05市场营销,D431南昌交通学院,3,233162
03市场营销,D359烟台理工学院,45,234311
26市场营销,C560云南经济管理学院,2,234751
07市场营销,D894西安明德理工学院,3,235194
17市场营销,D242武汉工商学院,2,236049
0B市场营销,D324山东协和学院,35,236662
27市场营销(数字营销精英班),C310武昌理工学院,3,237718
1M市场营销(新媒体营销),C308海口经济学院,2,240782
0B市场营销,D995青岛工学院,17,241582
24市场营销,D607吉林动画学院,5,242585
11市场营销,D322山东现代学院,50,243534
01市场营销(校企合作，与中科启智合作),D324山东协和学院,40,243584
0W市场营销,D387山东外国语职业技术大学,45,243722
0W市场营销,A868青岛滨海学院,27,245155
1G市场营销,D006山东英才学院,15,245585
1F市场营销,D320青岛黄海学院,32,246685
4D市场营销(创意产业管理),C308海口经济学院,2,247818
B7市场营销,D418江西服装学院,3,248240
0W市场营销,D378青岛城市学院,49,248251
0K市场营销,D624泰山科技学院,35,249895
1J市场营销,D356山东工程职业技术大学,122,250318
0S市场营销,D874山东外事职业大学,40,250339
04市场营销,D304黑龙江工程学院昆仑旅游学院,54,252608
4B市场营销,C308海口经济学院,8,253039
