专业代号及名称,院校代号及名称,投档计划数,投档最低位次
G7国际经济与贸易(弘毅学堂数字贸易与金融试验班),A486武汉大学,2,1617
0A国际经济与贸易,A272上海财经大学,3,3034
04国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),A036对外经济贸易大学,3,3114
05国际商务(数字贸易方向),A036对外经济贸易大学,4,5205
02国际经济与贸易,A030北京外国语大学,2,5434
08国际经济与贸易,E596中国社会科学院大学,2,5805
A3国际经济与贸易,A271上海外国语大学,1,6455
13国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),A034中央财经大学,8,8639
33国际经济与贸易(实验班),A532湖南大学,6,10030
H7经济与贸易类,A651西南财经大学,5,11153
22经济与贸易类(国贸、法学、行管),A699西北工业大学,4,11857
0N经济与贸易类,A520中南财经政法大学,11,14274
49国际经济与贸易,A423中国海洋大学,18,14291
52经济与贸易类,A255东华大学,4,15055
43国际经济与贸易,A559暨南大学,2,15205
1A英语(民航业务、国际贸易),A287南京航空航天大学,2,15854
Z2国际经济与贸易(常州校区),A294河海大学,2,17035
58经济与贸易类,A613西南交通大学,3,17968
24国际经济与贸易,A022北京林业大学,3,18228
16国际经济与贸易(中外合作办学),A280上海大学,2,19312
59国际经济与贸易,A590深圳大学,2,19553
01国际经济与贸易(全英语),A273上海对外经贸大学,2,20044
0X国际经济与贸易,A652西南政法大学,2,20980
51国际经济与贸易,A295江南大学,12,21932
33国际经济与贸易(中外合作办学),A019中国农业大学,7,22125
04商务英语(国际文化贸易),A031北京第二外国语学院,1,22474
14国际经济与贸易,A307南京农业大学,7,23936
52贸易经济,A038首都经济贸易大学,3,24032
07国际经济与贸易,A173东北财经大学,2,25428
1Q国际经济与贸易,A112太原理工大学,3,25589
3H国际经济与贸易,A589海南大学,4,26919
06国际经济与贸易,B846广东外语外贸大学,1,27191
05国际经济与贸易,A327南京财经大学,3,27466
27国际经济与贸易,A032北京语言大学,2,28462
83国际经济与贸易,H635西南大学(荣昌校区),2,28524
47国际经济与贸易,A300南京信息工程大学,3,28905
37机械设计制造及其自动化(国际贸易班),B646宁波大学,2,28976
1G贸易经济(国际文化贸易),A031北京第二外国语学院,2,29291
9R经济与贸易类,A657贵州大学,4,30725
07国际经济与贸易(CITF方向),A421江西财经大学,2,30783
03经济与贸易类,A011北京工商大学,5,31379
06国际经济与贸易,A299江苏大学,2,31987
22经济与贸易类,A338浙江理工大学,2,32605
19国际经济与贸易,A068天津外国语大学,1,33026
16国际经济与贸易(数字贸易),A421江西财经大学,4,33694
12国际经济与贸易,A530湘潭大学,4,33942
22国际经济与贸易,A337浙江工业大学,4,34265
A3国际经济与贸易,A724西安外国语大学,2,34269
02国际经济与贸易,A291南京工业大学,2,34562
39国际经济与贸易,A615西南石油大学,2,35099
13经济与贸易类,B482浙江财经大学,10,35334
43国际经济与贸易,A592广东财经大学,1,36607
0W国际经济与贸易,B232北京信息科技大学,3,36826
20国际经济与贸易(英文授课班),A338浙江理工大学,5,37580
13国际经济与贸易,A856上海工程技术大学,1,37766
03国际经济与贸易,B078广州大学,3,37859
24国际经济与贸易,A390集美大学,2,37902
1T国际经济与贸易(中外合作办学),A359合肥工业大学,8,38525
0U经济与贸易类,A488武汉科技大学,5,41578
97国际经济与贸易(中外合作办学),A300南京信息工程大学,2,41596
69国际经济与贸易,A065天津师范大学,9,42500
48国际经济与贸易,B845广东工业大学,4,42868
18国际经济与贸易,A075河北大学,3,42986
49国际经济与贸易,A650四川外国语大学,2,43511
30国际经济与贸易,A536长沙理工大学,2,44291
54国际经济与贸易,A755新疆大学,3,45696
03国际经济与贸易,A743青海大学,6,50652
32国际经济与贸易,E275浙江外国语学院,2,51141
34国际经济与贸易,A057天津科技大学,3,51929
15国际经济与贸易,A304南通大学,2,52213
2A国际经济与贸易(地方专项计划),A445山东师范大学,3,52942
2K国际经济与贸易(中外合作办学)(与澳大利亚维多利亚大学合作办学),A475河南大学,5,53350
02经济与贸易类,B799重庆工商大学,2,53483
43国际经济与贸易,A674昆明理工大学,3,55332
0C国际经济与贸易,C050上海商学院,3,56172
5F国际经济与贸易(中外合作办学)(与德国安哈尔特应用技术大学合作办学),A475河南大学,5,57371
0H国际经济与贸易,A292常州大学,1,57771
0T国际经济与贸易,A404华东交通大学,2,59705
07国际经济与贸易,B560西安财经大学,2,60069
3C国际经济与贸易,B065青岛大学,41,61252
17经济与贸易类,A456山东财经大学,195,62784
1A国际经济与贸易,A424山东科技大学,47,64713
10国际经济与贸易,B540广东金融学院,1,64976
07贸易经济,A125山西财经大学,3,65423
06国际经济与贸易,A125山西财经大学,4,66027
03国际经济与贸易,B258大连大学,2,66250
32国际经济与贸易,A094河北师范大学,5,66859
72国际经济与贸易,B075三峡大学,2,67124
21经济与贸易类,A378安徽财经大学,6,67678
0A国际经济与贸易(中外合作办学),F409深圳北理莫斯科大学,5,68738
16国际经济与贸易,A708陕西科技大学,3,68830
45国际经济与贸易(中外合作办学),B799重庆工商大学,1,69448
11国际经济与贸易,A705西安石油大学,2,69474
2C国际经济与贸易,A426青岛科技大学,46,71029
5K国际经济与贸易,B660重庆理工大学,2,71283
02国际经济与贸易,B832河北经贸大学,5,75251
0A国际经济与贸易,A207吉林财经大学,4,77271
1B国际经济与贸易,A364安徽农业大学,3,77346
02国际经济与贸易,A566广东海洋大学,2,77733
L2国际经济与贸易,A186长春理工大学,2,80480
07国际经济与贸易,A012北京服装学院,2,81554
02国际经济与贸易,B048金陵科技学院,1,81995
18国际经济与贸易,A463河南工业大学,4,83110
51国际经济与贸易,B535湖南工业大学,2,83350
02国际经济与贸易,A110中北大学,6,83670
80国际经济与贸易,A081华北理工大学,7,85285
0J国际经济与贸易,A429青岛理工大学,81,85959
04贸易经济,B832河北经贸大学,4,87076
02国际经济与贸易,A127内蒙古科技大学,1,87903
02国际经济与贸易,A373淮北师范大学,1,88190
54国际经济与贸易,A460河南理工大学,1,88840
22国际经济与贸易,A220东北石油大学,2,90613
N3国际经济与贸易,A360安徽工业大学,2,91241
G1国际经济与贸易,A142沈阳工业大学,3,91646
32国际经济与贸易,A078华北水利水电大学,5,91833
0R国际经济与贸易,B066烟台大学,47,93109
1X国际经济与贸易,A446曲阜师范大学,64,100253
34国际经济与贸易,A154辽宁工业大学,1,101155
0U国际经济与贸易,B819东莞理工学院,2,101282
0C国际经济与贸易,A741兰州财经大学,2,103825
2Y国际经济与贸易,A451鲁东大学,50,106196
04经济与贸易类,B532湖南财政经济学院,2,107369
02国际经济与贸易,B406甘肃政法大学,1,110994
4F国际经济与贸易(中外合作办学)(中美合作),B458上海电机学院,3,112585
02国际经济与贸易,A731兰州理工大学,2,114189
85经济与贸易类(经济学院),A240哈尔滨商业大学,15,114313
X2国际经济与贸易,A201北华大学,2,116673
0T国际经济与贸易,A431齐鲁工业大学,130,116791
2B国际经济与贸易,A596桂林理工大学,4,117572
6E国际经济与贸易,A531吉首大学,2,117698
2F国际经济与贸易,B726长春大学,1,119427
53国际经济与贸易,A113山西农业大学,2,119813
47国际经济与贸易,A190长春工业大学,2,120016
1H国际经济与贸易,B318江西科技师范大学,2,120774
0D贸易经济,A741兰州财经大学,2,122886
06国际经济与贸易,A433山东理工大学,78,123371
